print_id,ok,err,tets,peak_top_g,e_rebound_article,fn_hz,zeta_pct,ringdown_r2,rho_pla_eff
r2d2c2,False,"terminate called after throwing an instance of 'std::runtime_error'
  what():  Unable to solve, initial solution has intersections!
",,,,,,,
bag26v,True,,7663.0,355.07648492602755,0.0,381.12564391556975,2.2431680645627385,0.21456313078510425,1428.3587860355772
nvxsrv,True,,5923.0,397.3029660580136,0.0,233.86546212399372,8.836769435340917,0.5835813473563762,1245.3508631729821
r2d2c3,True,,3826.0,679.5969642115933,0.07474783346232523,412.63805121514423,66.91799794262941,0.4503948209278539,1070.5455149006398
r2d2c6,True,,5338.0,3667.1115854375485,0.0646176043094354,77.06169425806658,39.40317350183924,0.9863364261118803,967.6576246721315
r2d2c7,True,,5419.0,384.77123213322596,0.0,59.95394634718788,2.223140348764999,0.7563047349322494,1069.7842078538
ebdna8,True,,4451.0,464.5933710800714,0.10973380932876872,228.30557658186436,21.570843691393378,0.8914287923527888,1192.451752628941
r2d2c9,True,,4463.0,1920.0992000110705,0.21606234647554612,75.19553391232834,23.63428639843499,0.9890643024296027,873.5620633751345
ajhby6,True,,5379.0,495.0018152823134,0.010267401049791047,79.99200528498469,12.72157487291218,0.9521516482808561,1223.4146688592061
dea4ls,True,,7663.0,410.51187047221686,0.0,374.250073325068,2.0139056322233584,0.21950603444175076,1510.1722301321443
ghmj4y,True,,7663.0,444.95008478201424,0.0,377.17589440105405,2.0146081025327125,0.22271967038132834,1492.304926248986
1zm8rv,True,,7339.0,2572.4431698303383,0.0,267.84741235188307,6.381874814712471,0.6755305852854345,1000.2854042552635
