specimen,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,mass_g,meas_fn_hz,meas_zeta_pct,meas_t180,meas_e_rebound,sim_fn_hz,sim_zeta,sim_zeta_pct,sim_r2,sim_dominant_frac,sim_n_cycles,sim_amp0_g,sim_t180,sim_e_rebound,sim_in_180_g
6lhxfy,33.7842,80.0836,77.408,10.8717,3.0003,18.5,368.3766929752503,10.146626604741746,0.8930777877843858,0.0503762215482448,44.834132474426866,0.0957870106169511,9.57870106169511,0.7153708810657569,0.7130631970567429,7.663049922528681,9.712738705526393,0.7576702328263232,0.6151741204553189,208.28834283877768
6nheas,36.3001,63.2297,52.994,6.4571,4.055,21.73,321.99195771799134,19.309100372688224,0.9970082901461372,0.0402459500191387,49.54916244545632,0.09275540153277881,9.27554015327788,0.9538071512130923,0.9510679355307647,8.468942845176997,82.44335563909446,0.6549527238364539,0.6127857773865927,208.23952286119027
9hhbkp,32.1266,89.6262,59.7792,7.8831,5.3902,21.62,364.0882452756041,11.213840199194124,1.0183360091957676,0.021501191564831,52.225164302044476,0.21664582135208188,21.66458213520819,0.9280523951597763,0.5961903640477837,8.925280579218983,9.431237971434461,0.7916287012170006,0.6143279599260867,208.122840170874
autv5r,38.9665,99.995,47.6915,7.0737,3.9241,22.04,385.715264593775,6.380085566114936,1.0404303364999212,0.0268095680946958,27.337641721400537,0.5129018425649722,51.29018425649722,0.9037459415410144,0.478906412914837,4.672549723021561,19.705272650310384,0.752253612889714,0.6141816986773456,208.13665796469036
bag26v,29.0207,100.8663,63.7624,6.199,3.1969,21.42,,,1.0616197738255833,0.0240981269394512,76.8803135335763,0.15938586210409436,15.938586210409436,0.757767223536296,0.9040324951877167,13.140383189158246,16.985535520108463,0.8272400124378039,0.6151652404786188,208.1072498228018
bpx68c,25.0,70.0,60.0,6.0,3.0,20.23,467.5722992210511,16.72640738125103,1.011071663223434,0.0204417509682657,68.22689866373108,0.16114616169420665,16.114616169420664,0.9096317831863201,0.7123742480260749,11.66134151960437,16.279685313121814,0.7846501788233232,0.6145421551043926,208.18870882401026
nvxsrv,27.6114,104.1304,70.4432,9.2816,4.4922,20.66,294.2530703381057,31.04212539503506,1.0275491969473938,0.02656356443883,83.71563548503856,0.15119799117296168,15.119799117296168,0.9306143282720186,0.8042311372550509,14.30867641710212,19.3984812385007,0.8465318567591988,0.6151772099386589,208.1212869335606
