arrangement,metric,n,mean,sd,CV_pct,mean_CI95_low,mean_CI95_high
A,input_raw_G,10,2042.7088325,296.9378668448333,14.536475395831202,1830.2922788083508,2255.1253861916493
A,output_raw_G,10,2097.377680518967,155.13813061208558,7.396766545818243,1986.3985474062324,2208.3568136317012
A,T_raw,10,1.0381593363701445,0.09694993945174799,9.338637726914545,0.9688055276498988,1.1075131450903901
A,input_CFC1000_G,10,806.4291795930287,40.18564166101375,4.983158183995,777.6821033099601,835.1762558760973
A,output_CFC1000_G,10,944.4174609541531,17.904289781963573,1.8958024943624736,931.6095036121254,957.2254182961807
A,T_CFC1000,10,1.1744674235800134,0.07530892106631856,6.412176238721189,1.1205946668140228,1.2283401803460041
A,input_CFC180_G,10,363.458884364369,6.284888503858935,1.7291883000329435,358.96294596987786,367.95482275886013
A,output_CFC180_G,10,376.9977373002264,4.635376064926582,1.2295501023750572,373.68178902041,380.3136855800428
A,T_CFC180,10,1.0373316725242776,0.005576350262045318,0.5375667599617044,1.033342591854212,1.0413207531943431
A,pulse_FWHM_ms,10,1.6443621218937328,0.02427413201976844,1.4762035500923052,1.6269974539169478,1.6617267898705177
A,captured_delta_v_0_12ms_m_s,10,5.428550234210297,0.03437161222730438,0.63316374988477,5.403962264034149,5.453138204386445
A,CFC180_t0_fraction,10,0.5206222512625706,0.008171362139802458,1.5695376292476815,0.5147768109246756,0.5264676916004655
B,input_raw_G,10,526.028266,28.578039482884286,5.432795408542606,505.58476809681645,546.4717639031836
B,output_raw_G,10,409.2385089240189,31.11357716289347,7.602797997846816,386.9811966310919,431.4958212169459
B,T_raw,10,0.7783282696056418,0.0497961692738754,6.397836390949258,0.7427062360246909,0.8139503031865928
B,input_CFC1000_G,10,326.739610717739,14.964258619640304,4.579872818838454,316.0348249714483,337.44439646402975
B,output_CFC1000_G,10,340.4622706644891,18.02618346586801,5.294619997301268,327.5671158338862,353.357425495092
B,T_CFC1000,10,1.0417171859166479,0.011598349509423159,1.1133875553005603,1.0334202264972205,1.0500141453360752
B,input_CFC180_G,10,243.99041831813912,5.80802644235622,2.380432183522524,239.83560649253937,248.14523014373887
B,output_CFC180_G,10,259.40436320508667,5.966024007159357,2.299893468808997,255.13652673037845,263.6721996797949
B,T_CFC180,10,1.063255211929155,0.012529085137570967,1.1783704417341512,1.054292444350499,1.0722179795078108
B,pulse_FWHM_ms,10,2.142168174662448,0.019139092415583456,0.8934449051181194,2.1284768927289495,2.1558594565959464
B,captured_delta_v_0_12ms_m_s,10,5.049948043847929,0.10001667931824146,1.9805486799034737,4.978400421585372,5.121495666110487
B,CFC180_t0_fraction,10,0.21388538296463766,0.022288719360572137,10.420870772762065,0.19794099364481033,0.229829772284465
C,input_raw_G,10,272.2145664,27.99674818744862,10.284808986418964,252.18689923938697,292.2422335606131
C,output_raw_G,10,296.51216081389737,7.704934763441108,2.598522348052034,291.00038252081634,302.0239391069784
C,T_raw,10,1.0974165639825597,0.08921969949472632,8.129975655820719,1.0335926358003797,1.1612404921647397
C,input_CFC1000_G,10,175.55774498510922,2.9536331489894967,1.6824282797890935,173.4448431142757,177.67064685594275
C,output_CFC1000_G,10,199.34049753724724,4.638202073468818,2.3267736013361557,196.02252765270387,202.65846742179062
C,T_CFC1000,10,1.1354581896195728,0.017473691907426987,1.538911081638455,1.122958263440791,1.1479581157983545
C,input_CFC180_G,10,167.28534296601362,2.6947856551242144,1.6108916700919207,165.35760943750984,169.2130764945174
C,output_CFC180_G,10,175.57141312284904,1.8790932936447036,1.0702729221242204,174.22719075827715,176.91563548742093
C,T_CFC180,10,1.0496723073334664,0.012839825060962397,1.2232222352878899,1.0404872498046518,1.058857364862281
C,pulse_FWHM_ms,10,3.2778824836329292,0.06122126458319225,1.8677077317103739,3.2340874292210855,3.321677538044773
C,captured_delta_v_0_12ms_m_s,10,5.29987039846651,0.09323363261567237,1.7591681608412357,5.233175075506157,5.366565721426863
C,CFC180_t0_fraction,10,0.185278863245297,0.015766873772288255,8.50980705306571,0.17399992120672284,0.19655780528387115
D,input_raw_G,10,219.5893749,13.266886303630047,6.041679525556155,210.0988161619706,229.0799336380294
D,output_raw_G,10,286.8256061126584,7.31063971598232,2.5488099947083773,281.59588950476706,292.0553227205498
D,T_raw,10,1.3089133646046371,0.0542329017120852,4.143353042198211,1.2701174838340688,1.3477092453752055
D,input_CFC1000_G,10,178.5682532913672,8.949039570453412,5.011551272695374,172.1664960328386,184.9700105498958
D,output_CFC1000_G,10,210.3063457644611,5.895749278059492,2.8034100714500614,206.08878080252967,214.52391072639253
D,T_CFC1000,10,1.1791527188984996,0.03556135133161531,3.0158393193406527,1.1537136606377796,1.2045917771592196
D,input_CFC180_G,10,167.33303137244505,6.36201329532862,3.8020068381885905,162.78192122575453,171.88414151913557
D,output_CFC180_G,10,182.87996343461086,2.97998110220536,1.629473806883639,180.74821337348618,185.01171349573553
D,T_CFC180,10,1.09379575972789,0.02708049132621487,2.475827053210724,1.0744235432406035,1.1131679762151765
D,pulse_FWHM_ms,10,3.1456734966038655,0.05216015320059899,1.6581553443773545,3.1083603707953293,3.1829866224124017
D,captured_delta_v_0_12ms_m_s,10,5.063791218763583,0.19882463689820534,3.9263987851922533,4.921560641681342,5.206021795845825
D,CFC180_t0_fraction,10,0.15915741056480365,0.014942128819680992,9.388270873882464,0.14846845552374155,0.16984636560586575
