strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,pair_feasible,hv,best_obj1,best_obj2
heuristic,8,0,0,2.44822,18.1637,0.462474,71.542,0.665372,0.608949,184.112,20.23,1.18017,40.9743,100.314,5.52279,2.55414,529.098,0.666651,0.267544,215.368,17.8042,208.424,138.679,4.06,False,True,False,0,inf,inf
heuristic,8,0,1,2.44822,18.1637,0.462474,80,0.687663,0.608851,184.082,20.23,1.17653,40.848,100.005,5.50576,2.54627,524.218,0.688707,0.267892,214.576,16.3693,208.4,143.309,4.06,False,True,False,0,inf,inf
heuristic,8,0,2,2.44822,18.1637,0.462474,57.542,0.666655,0.609002,184.128,20.23,1.18576,41.1684,100.789,5.54894,2.56624,536.65,0.665383,0.266651,216.905,20.0856,208.46,138.971,4.06,False,True,False,0,inf,inf
heuristic,8,0,3,2.44822,18.1637,0.695807,71.542,0.780687,0.611404,184.854,20.23,1.07585,37.3524,91.4469,5.0346,3.50311,400.826,0.787201,0.163434,132.135,11.0324,208.258,162.585,4.06,False,True,False,0,inf,inf
heuristic,8,0,4,2.44822,18.1637,0.25,71.542,0.473026,0.611171,184.784,20.23,1.2617,43.8052,107.245,5.90435,1.47609,646.514,0.470719,0.539019,329.463,35.5346,208.599,98.6728,4.08,False,True,False,0,inf,inf
heuristic,8,0,5,3.46322,18.1637,0.462474,71.542,0.602911,0.61153,184.893,20.23,1.21019,29.7026,102.867,5.66331,2.61913,285.11,0.604612,0.261831,123.795,10.7618,208.222,125.54,4.08,False,True,False,0,inf,inf
heuristic,8,0,6,1.5,18.1637,0.462474,71.542,0.579494,0.608448,183.961,20.23,1.11525,63.1976,94.7965,5.21901,2.41366,1189.44,0.578854,0.262105,371.861,37.1738,208.744,120.966,4.06,False,True,False,0,inf,inf
heuristic,8,0,7,2.44822,18.3333,0.462474,71.542,0.662735,0.608935,184.108,20.23,1.18406,41.1093,100.645,5.48971,2.53885,534.345,0.663917,0.269797,217.289,17.9754,208.427,138.132,4.06,False,True,False,0,inf,inf
heuristic,8,0,8,2.44822,13.497,0.462474,71.542,0.745119,0.610125,184.468,20.23,1.04639,36.3296,88.9428,6.58981,3.04761,368.792,0.749699,0.208587,161.024,13.2193,208.319,155.222,4.06,False,True,False,0,inf,inf
heuristic,8,1,9,2.44822,18.3333,0.462474,71.542,0.662735,0.608935,184.108,20.23,1.18406,41.1093,100.645,5.48971,2.53885,534.345,0.663917,0.269797,217.289,17.9754,208.427,138.132,4.06,False,True,False,0,inf,inf
heuristic,8,1,10,2.44822,15.8304,0.462474,71.542,0.70397,0.609298,184.218,20.23,1.12017,38.8913,95.2144,6.01467,2.78163,452.436,0.70675,0.237919,189.443,15.4999,208.376,146.691,4.06,False,True,False,0,inf,inf
heuristic,8,1,11,2.95572,18.1637,0.462474,71.542,0.635125,0.610271,184.512,20.23,1.19786,34.4478,101.818,5.60558,2.59243,379.574,0.638347,0.26508,161.533,13.4919,208.307,132.301,4.08,False,True,False,0,inf,inf
heuristic,8,1,12,1.94072,18.1637,0.462474,71.542,0.660949,0.608068,183.846,20.23,1.15307,50.5023,98.0107,5.39597,2.4955,785.317,0.663289,0.267561,290.647,25.1648,208.58,137.861,4.06,False,True,False,0,inf,inf
heuristic,8,1,13,2.44822,18.1637,0.462474,78.542,0.683538,0.608867,184.087,20.23,1.17716,40.8701,100.059,5.50873,2.54765,525.069,0.685082,0.267799,214.659,16.6074,208.405,142.452,4.06,False,True,False,0,inf,inf
heuristic,8,1,14,2.44822,18.1637,0.462474,64.542,0.660215,0.609015,184.132,20.23,1.18305,41.0743,100.559,5.53627,2.56038,532.982,0.659341,0.267205,215.767,18.9931,208.443,137.617,4.06,False,True,False,0,inf,inf
heuristic,8,1,15,2.58097,6.42605,0.56931,49.6541,0.841878,0.614774,185.873,20.23,0.656962,21.6359,55.8418,8.68991,4.94725,82.1222,0.841119,0.0915045,41.8631,15.6921,208.163,175.248,4.06,True,True,True,35.4934,0.841878,82.1222
heuristic,8,1,16,2.58097,6.42605,0.802644,49.6541,0.842315,0.615086,185.968,20.23,0.565829,18.6346,48.0954,7.48445,6.00735,52.4681,0.848974,0.0615299,23.5495,17.3919,208.183,175.356,4.08,True,True,True,41.3174,0.841878,52.4681
heuristic,8,1,17,2.58097,11.0927,0.802644,49.6541,0.826157,0.614375,185.753,20.23,0.789116,25.9882,67.0749,6.04675,4.85339,142.319,0.828448,0.0935375,51.4393,12.339,208.194,172.001,4.06,True,True,True,43.2059,0.826157,52.4681
heuristic,8,2,18,2.58097,5,0.802644,49.6541,0.846778,0.615134,185.982,20.23,0.482835,15.9014,41.041,8.2082,6.58826,32.6014,0.856341,0.0506312,19.89,19.491,208.141,176.249,4.08,True,True,True,47.019,0.826157,32.6014
heuristic,8,2,19,3.59597,5,0.802644,49.6541,0.900084,0.615551,186.108,20.23,0.502439,11.8764,42.7073,8.54146,6.85575,18.9245,0.954174,0.0470413,17.5878,12.9693,207.952,187.174,4.08,True,True,True,48.9149,0.826157,18.9245
heuristic,8,2,20,3.59597,5,0.802644,63.6541,0.92871,0.615866,186.204,20.23,0.502252,11.872,42.6914,8.53829,6.8532,18.9034,0.978524,0.0457461,17.5761,13.5771,207.904,193.083,4.08,True,True,True,48.9173,0.826157,18.9034
heuristic,8,2,21,3.59597,5,0.802644,40,0.873589,0.615423,186.07,20.23,0.502438,11.8764,42.7073,8.54145,6.85574,18.9244,0.932305,0.0473528,17.5836,13.684,207.99,181.697,4.06,True,True,True,49.2796,0.826157,18.9034
heuristic,8,2,22,4.4,5,0.802644,40,0.899882,0.615486,186.088,20.23,0.512285,9.89641,43.5442,8.70884,6.9901,13.3979,0.94844,0.0472458,16.5858,11.3934,207.955,187.135,4.08,True,True,True,50.0446,0.826157,13.3979
heuristic,8,2,23,2.58097,5,0.802644,40,0.84671,0.615091,185.969,20.23,0.482876,15.9027,41.0445,8.20889,6.58881,32.6097,0.864664,0.0491295,19.9104,19.895,208.188,176.275,4.06,True,True,True,50.0459,0.826157,13.3979
heuristic,8,2,24,3.59597,5,0.916667,40,0.862678,0.615444,186.076,20.23,0.469889,11.107,39.9405,7.98811,7.32243,15.4796,0.942858,0.0414401,18.7088,13.6411,208.017,179.452,4.06,True,True,True,50.3233,0.826157,13.3979
heuristic,8,2,25,3.59597,9.66667,0.916667,40,0.859861,0.615199,186.002,20.23,0.70953,16.7716,60.3101,6.23897,5.71906,53.295,0.874522,0.0679023,19.725,11.312,208.045,178.89,4.08,True,True,True,50.3233,0.826157,13.3979
heuristic,8,2,26,3.59597,5,0.916667,54,0.907333,0.61556,186.111,20.23,0.470026,11.1103,39.9522,7.99044,7.32457,15.4932,0.982282,0.0412719,18.7861,13.1474,207.922,188.655,4.08,True,True,True,50.3233,0.826157,13.3979
heuristic,8,3,27,3.59597,9.66667,0.916667,40,0.859861,0.615199,186.002,20.23,0.70953,16.7716,60.3101,6.23897,5.71906,53.295,0.874522,0.0679023,19.725,11.312,208.045,178.89,4.08,True,True,True,50.3233,0.826157,13.3979
heuristic,8,3,28,3.59597,5,0.916667,54,0.907333,0.61556,186.111,20.23,0.470026,11.1103,39.9522,7.99044,7.32457,15.4932,0.982282,0.0412719,18.7861,13.1474,207.922,188.655,4.08,True,True,True,50.3233,0.826157,13.3979
heuristic,8,3,29,4.4,5,0.916667,40,0.894333,0.61545,186.078,20.23,0.479676,9.26646,40.7724,8.15449,7.47495,10.9988,0.965704,0.0422252,17.7532,11.4928,207.997,186.019,4.08,True,True,True,50.6812,0.826157,10.9988
heuristic,8,3,30,2.24217,12.8787,0.652848,65.8743,0.817319,0.612486,185.181,20.23,0.920787,34.9068,78.2669,6.07723,3.96751,299.604,0.825418,0.135052,110.566,10.5123,208.254,170.21,4.06,False,True,False,50.6812,0.826157,10.9988
heuristic,8,3,31,2.24217,12.8787,0.886182,65.8743,0.851114,0.614547,185.805,20.23,0.804771,30.5086,68.4055,5.31152,4.70697,200.026,0.859195,0.0980115,69.9023,10.6094,208.201,177.203,4.08,True,True,True,50.6812,0.826157,10.9988
heuristic,8,3,32,3.25717,12.8787,0.886182,65.8743,0.852788,0.615645,186.137,20.23,0.845195,22.0564,71.8415,5.57832,4.94341,109.798,0.853247,0.0834378,33.5204,10.4319,208.058,177.429,4.06,True,True,True,50.6812,0.826157,10.9988
heuristic,8,3,33,3.25717,12.8787,0.886182,79.8743,0.877445,0.615826,186.191,20.23,0.844338,22.0341,71.7687,5.57267,4.9384,109.465,0.879207,0.0800735,30.2333,11.5866,207.994,182.503,4.08,True,True,True,50.6812,0.826157,10.9988
heuristic,8,3,34,3.25717,12.8787,0.886182,51.8743,0.829055,0.615118,185.977,20.23,0.845659,22.0686,71.881,5.58139,4.94612,109.98,0.833822,0.0871374,35.5934,9.376,208.097,172.523,4.06,True,True,True,51.0959,0.826157,10.9988
heuristic,8,3,35,3.25717,17.5454,0.886182,51.8743,0.786963,0.61448,185.784,20.23,1.00714,26.2825,85.6066,4.87916,4.32382,185.777,0.784541,0.111852,54.3366,6.86346,208.118,163.781,4.06,True,True,True,54.1009,0.786963,10.9988
heuristic,8,4,36,3.25717,8.21204,0.886182,51.8743,0.87563,0.615265,186.022,20.23,0.646108,16.861,54.9192,6.68764,5.92646,49.0502,0.897803,0.0620663,19.3379,13.8455,208.067,182.19,4.08,True,True,True,54.1009,0.786963,10.9988
heuristic,8,4,37,3.25717,17.5454,0.886182,51.8743,0.786963,0.61448,185.784,20.23,1.00714,26.2825,85.6066,4.87916,4.32382,185.777,0.784541,0.111852,54.3366,6.86346,208.118,163.781,4.06,True,True,True,54.1009,0.786963,10.9988
heuristic,8,4,38,3.25717,8.21204,0.886182,51.8743,0.87563,0.615265,186.022,20.23,0.646108,16.861,54.9192,6.68764,5.92646,49.0502,0.897803,0.0620663,19.3379,13.8455,208.067,182.19,4.08,True,True,True,54.1009,0.786963,10.9988
heuristic,8,4,39,4.27217,12.8787,0.886182,51.8743,0.836851,0.615434,186.073,20.23,0.868877,17.2874,73.8546,5.73463,5.08192,69.3402,0.834497,0.0800736,23.3895,8.27167,208.022,174.084,4.08,True,True,True,54.3108,0.786963,10.9988
heuristic,8,4,40,4.27217,12.8787,0.886182,65.8743,0.851247,0.615787,186.179,20.23,0.868589,17.2816,73.83,5.73272,5.08023,69.2711,0.845435,0.0757923,21.6898,9.83676,208.004,177.063,4.08,True,True,True,54.3108,0.786963,10.9988
heuristic,8,4,41,4.27217,12.8787,0.886182,40,0.832882,0.615339,186.044,20.23,0.868893,17.2877,73.8559,5.73473,5.08202,69.3441,0.83139,0.0833041,24.002,9.71937,208.024,173.259,4.08,True,True,True,54.4721,0.786963,10.9988
heuristic,8,4,42,4.27217,12.8787,0.916667,40,0.837307,0.615347,186.047,20.23,0.855344,17.0181,72.7043,5.64531,5.17487,66.1505,0.837024,0.0806566,23.008,10.0542,208.021,174.177,4.08,True,True,True,54.4881,0.786963,10.9988
