strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,rejected_before,pair_feasible,hv,best_obj1,best_obj2
lhs,6,0,0,3.95245,11.4761,0.505027,78.5251,0.78935,0.615312,186.036,20.23,0.990631,21.3042,84.2037,7.3373,3.70553,120.064,0.779742,0.13976,45.6082,5.00349,207.999,164.184,4.08,True,True,0,True,35.5045,0.78935,120.064
lhs,6,0,1,2.47536,8.67591,0.797288,58.0185,0.847591,0.615147,185.986,20.23,0.678867,23.3113,57.7037,6.65103,5.30279,98.5111,0.859069,0.0778754,39.4937,16.0859,208.185,176.456,4.06,True,True,1,True,39.6236,0.78935,98.5111
lhs,6,0,2,2.76132,14.4613,0.69414,52.9417,0.791508,0.613306,185.429,20.23,0.986442,30.365,83.8476,5.79807,4.02467,242.877,0.790135,0.130421,81.2401,9.02277,208.198,164.79,4.08,True,True,1,True,39.6236,0.78935,98.5111
lhs,6,0,3,3.83999,13.4669,0.652502,65.0143,0.792314,0.615244,186.015,20.23,1.00068,22.1505,85.0575,6.31607,4.12124,131.108,0.785622,0.116698,42.3279,5.35879,208.031,164.826,4.06,True,True,1,True,39.6236,0.78935,98.5111
lhs,6,0,4,2.28977,7.14102,0.576313,53.4817,0.835068,0.614131,185.679,20.23,0.686774,25.4942,58.3758,8.17472,4.71119,119.197,0.830643,0.101256,59.6055,14.4526,208.216,173.875,4.06,True,True,1,True,39.6344,0.78935,98.5111
lhs,6,0,5,3.0251,7.83694,0.63052,74.9438,0.885874,0.615965,186.233,20.23,0.722393,20.2979,61.4034,7.83513,4.9402,79.4779,0.894286,0.0831074,31.274,13.4527,208.017,184.277,4.08,True,True,1,True,42.5434,0.78935,79.4779
lhs,6,0,6,3.52839,13.7192,0.740526,67.5874,0.81723,0.615387,186.059,20.23,0.955583,23.0203,81.2245,5.92051,4.38429,135.225,0.812446,0.103858,41.1886,6.18941,208.034,170.011,4.06,True,True,1,True,42.5434,0.78935,79.4779
lhs,6,0,7,2.92105,8.87308,0.558411,59.677,0.826106,0.614754,185.867,20.23,0.812771,23.6509,69.0855,7.78596,4.34777,121.404,0.834793,0.112552,52.7554,7.57961,208.101,171.913,4.06,True,True,1,True,42.5434,0.78935,79.4779
lhs,6,0,8,1.99061,5.96493,0.613409,73.5269,0.880564,0.615559,186.111,20.23,0.58462,24.9635,49.6927,8.33081,5.1102,97.2869,0.884342,0.0856169,54.7305,19.7405,208.171,183.308,4.08,True,True,2,True,42.5499,0.78935,79.4779
lhs,6,1,9,4.07725,9.19367,0.518365,43.0257,0.802028,0.615064,185.961,20.23,0.876316,18.2689,74.4869,8.10198,4.19978,78.1008,0.794677,0.120233,35.902,6.42404,208.041,166.855,4.06,True,True,2,True,45.4363,0.78935,78.1008
lhs,6,1,10,4.39926,8.02125,0.816194,44.2228,0.878393,0.615451,186.078,20.23,0.682927,13.1951,58.0488,7.23687,5.90669,31.7519,0.888511,0.0630657,15.7908,11.1037,207.975,182.684,4.08,True,True,2,True,52.8668,0.78935,31.7519
lhs,6,1,11,4.19764,13.9342,0.860713,57.159,0.827528,0.615458,186.08,20.23,0.919383,18.617,78.1476,5.60834,4.82717,85.0916,0.82262,0.0865094,26.7451,7.41846,208.023,172.145,4.08,True,True,2,True,52.8668,0.78935,31.7519
lhs,6,1,12,1.91966,8.54688,0.567722,74.6309,0.878292,0.613046,185.351,20.23,0.74521,32.997,63.3428,7.41122,4.20751,216.668,0.883697,0.125321,108.795,9.94382,208.244,182.899,4.06,True,True,2,True,52.8668,0.78935,31.7519
lhs,6,1,13,3.76292,10.8909,0.755814,79.4943,0.871615,0.615856,186.2,20.23,0.834379,18.8477,70.9222,6.51207,4.92191,79.1494,0.86553,0.0787377,23.3841,10.1972,207.972,181.271,4.08,True,True,2,True,52.8668,0.78935,31.7519
lhs,6,1,14,3.04863,11.7164,0.721301,41.1042,0.831294,0.614403,185.761,20.23,0.871748,24.3055,74.0986,6.32434,4.56175,137.521,0.835031,0.105182,49.3675,9.46731,208.143,173.028,4.06,True,True,2,True,52.8668,0.78935,31.7519
lhs,6,1,15,3.62947,14.712,0.640639,50.9774,0.754284,0.614342,185.743,20.23,1.04695,24.519,88.9911,6.04888,3.87515,168.075,0.747439,0.13686,57.5409,6.89426,208.102,156.968,4.06,True,True,2,True,56.176,0.754284,31.7519
lhs,6,1,16,3.44156,12.0099,0.830067,49.3281,0.82781,0.615151,185.987,20.23,0.842024,20.7964,71.5721,5.95941,4.9467,97.2454,0.830566,0.0873348,32.6815,9.10689,208.08,172.251,4.06,True,True,6,True,56.176,0.754284,31.7519
lhs,6,1,17,3.2269,15.6739,0.707481,51.7128,0.770272,0.613967,185.629,20.23,1.03633,27.298,88.088,5.62005,3.97608,206.219,0.769555,0.131427,66.4536,7.66985,208.139,160.324,4.06,True,True,6,True,56.176,0.754284,31.7519
lhs,6,2,18,2.88656,9.97599,0.431061,76.6156,0.787254,0.613412,185.461,20.23,0.931043,27.4162,79.1386,7.93291,3.41957,186.876,0.793222,0.171648,91.9819,7.87483,208.127,163.849,4.08,True,True,9,True,56.176,0.754284,31.7519
lhs,6,2,19,2.71425,6.5214,0.725229,61.6861,0.876141,0.615552,186.109,20.23,0.602318,18.8623,51.197,7.85062,5.6935,57.2247,0.890552,0.0664191,25.8249,17.5143,208.12,182.342,4.08,True,True,10,True,56.223,0.754284,31.7519
lhs,6,2,20,3.9212,7.63881,0.448568,62.8311,0.812653,0.615298,186.032,20.23,0.815323,17.6738,69.3024,9.07241,4.0696,68.0077,0.80729,0.122548,35.1561,5.60423,208.006,169.037,4.06,True,True,10,True,56.8638,0.754284,31.7519
lhs,6,2,21,2.10962,5.34142,0.88094,46.4394,0.904322,0.614859,185.899,20.23,0.465769,18.7666,39.5904,7.41196,6.52949,43.8037,0.941787,0.0541718,25.0798,24.9969,208.341,188.408,4.06,True,True,11,True,56.8638,0.754284,31.7519
lhs,6,2,22,4.13903,12.5252,0.803802,50.5318,0.824161,0.61533,186.041,20.23,0.890579,18.2891,75.6992,6.04374,4.85797,79.5474,0.821849,0.0879164,26.9087,7.58563,208.03,171.451,4.08,True,True,11,True,56.8638,0.754284,31.7519
lhs,6,2,23,3.39278,17.1801,0.844064,72.5614,0.811893,0.615279,186.026,20.23,1.02021,25.5596,86.718,5.04758,4.26048,177.978,0.807125,0.108781,48.2978,5.35082,208.035,168.902,4.06,True,True,12,True,56.8638,0.754284,31.7519
lhs,6,2,24,4.22963,17.9822,0.898517,56.693,0.798058,0.615281,186.027,20.23,1.03965,20.893,88.3699,4.91429,4.41557,121.187,0.791725,0.102248,34.3385,5.68087,208.032,166.021,4.06,True,True,14,True,56.8638,0.754284,31.7519
lhs,6,2,25,1.73604,6.24624,0.487654,69.7534,0.85728,0.612846,185.29,20.23,0.641959,31.4317,54.5665,8.7359,4.2601,169.36,0.867164,0.126429,111.898,11.575,208.303,178.574,4.06,True,True,15,True,56.8638,0.754284,31.7519
