strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,rejected_before,pair_feasible,hv,best_obj1,best_obj2
lhs,0,0,0,3.65104,5.49755,0.582405,62.1485,0.886551,0.6157,186.153,20.23,0.611631,14.2394,51.9886,9.45668,5.50762,33.1162,0.891847,0.068855,17.0808,12.4102,208.002,184.405,4.08,True,True,0,True,34.8945,0.886551,33.1162
lhs,0,0,1,2.35718,16.7021,0.304406,51.2766,0.554323,0.609905,184.401,20.23,1.21846,43.9378,103.569,6.20097,1.88762,628.141,0.551844,0.402114,309.41,32.2222,208.594,115.629,4.08,False,True,0,False,34.8945,0.886551,33.1162
lhs,0,0,2,3.24683,12.6419,0.764643,49.4568,0.811373,0.614768,185.871,20.23,0.893944,23.4029,75.9852,6.0106,4.59596,130.743,0.810694,0.10098,43.8265,7.94186,208.105,168.851,4.06,True,True,0,True,44.7958,0.811373,33.1162
lhs,0,0,3,3.79004,12.3484,0.813986,54.7611,0.828754,0.615346,186.046,20.23,0.871376,19.5425,74.067,5.99809,4.88236,88.8661,0.827258,0.0868652,29.2718,7.91218,208.045,172.418,4.08,True,True,0,True,47.2161,0.811373,33.1162
lhs,0,0,4,4.09246,16.8921,0.640233,72.2513,0.759614,0.615013,185.945,20.23,1.11848,23.2306,95.0704,5.62811,3.6033,161.182,0.749891,0.147194,51.5921,5.60152,208.034,158.025,4.06,True,True,0,True,52.4574,0.759614,33.1162
lhs,0,0,5,3.36594,7.81484,0.46771,40.7955,0.832107,0.61456,185.808,20.23,0.810796,20.475,68.9177,8.81882,4.12465,90.7671,0.839165,0.128189,48.9306,7.1579,208.095,173.157,4.06,True,True,0,True,52.4574,0.759614,33.1162
lhs,0,0,6,3.74295,11.5041,0.679644,78.888,0.849805,0.615723,186.16,20.23,0.898326,20.4004,76.3577,6.63746,4.51111,99.8348,0.842503,0.0944369,30.6447,8.98951,207.972,176.735,4.08,True,True,0,True,52.4574,0.759614,33.1162
lhs,0,0,7,4.19446,9.88356,0.533518,64.9811,0.812529,0.615434,186.073,20.23,0.905259,18.3449,76.947,7.78536,4.15363,81.353,0.804703,0.11454,32.7496,5.30314,208,169.006,4.08,True,True,0,True,53.693,0.759614,33.1162
lhs,0,0,8,1.67443,17.1966,0.369546,58.8913,0.519154,0.60941,184.252,20.23,1.16312,59.0441,98.8651,5.74911,2.12456,1082.79,0.518629,0.308603,365.57,42.4043,208.745,108.371,4.06,False,True,0,False,53.693,0.759614,33.1162
lhs,0,1,9,1.94029,6.272,0.804085,48.4251,0.871398,0.614411,185.764,20.23,0.533243,23.3602,45.3257,7.22667,5.81086,77.7048,0.88757,0.0686516,39.366,26.1566,208.374,181.576,4.06,True,True,0,True,53.7483,0.759614,33.1162
lhs,0,1,10,3.96563,13.455,0.671687,77.9166,0.822752,0.615594,186.121,20.23,0.990853,21.2381,84.2225,6.25955,4.20446,119.347,0.813811,0.107849,35.3346,5.77176,207.979,171.115,4.06,True,True,0,True,53.7483,0.759614,33.1162
lhs,0,1,11,2.64741,13.757,0.782875,52.0297,0.810636,0.613792,185.576,20.23,0.907228,29.1282,77.1144,5.60548,4.38839,205.547,0.808973,0.111981,68.6876,8.42154,208.194,168.77,4.06,True,True,0,True,53.7483,0.759614,33.1162
