strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,pair_feasible,hv,best_obj1,best_obj2
heuristic,8,0,0,4.0227,10.2145,0.541921,54.91,0.791842,0.615098,185.971,20.23,0.916439,19.3644,77.8973,7.62617,4.13279,91.766,0.787118,0.119787,37.6175,5.5773,208.033,164.729,4.06,True,True,True,42.1354,0.791842,91.766
heuristic,8,0,1,4.0227,10.2145,0.775255,54.91,0.84793,0.615501,186.093,20.23,0.801265,16.9308,68.1075,6.66776,5.16921,61.3339,0.84671,0.0777076,22.5352,9.05402,208.024,176.39,4.08,True,True,True,47.9413,0.791842,61.3339
heuristic,8,0,2,4.0227,14.8811,0.775255,54.91,0.796034,0.615178,185.995,20.23,0.993879,21.0008,84.4797,5.67697,4.4011,117.05,0.791363,0.104652,36.152,5.62844,208.042,165.608,4.06,True,True,True,47.9413,0.791842,61.3339
heuristic,8,0,3,4.0227,5.5478,0.775255,54.91,0.911716,0.615638,186.135,20.23,0.551613,11.6556,46.8871,8.45149,6.55205,20.0113,0.938813,0.0510146,16.5131,11.0612,207.937,189.579,4.08,True,True,True,53.189,0.791842,20.0113
heuristic,8,0,4,4.4,5.5478,0.775255,54.91,0.912079,0.615741,186.166,20.23,0.556095,10.7427,47.268,8.52014,6.60528,17.1375,0.934947,0.0503088,16.1041,10.4498,207.925,189.644,4.08,True,True,True,53.5529,0.791842,17.1375
heuristic,8,0,5,4.4,5.5478,0.775255,68.91,0.922877,0.615834,186.194,20.23,0.555831,10.7376,47.2456,8.5161,6.60215,17.1131,0.939303,0.0479496,16.0858,10.3363,207.91,191.875,4.08,True,True,True,53.5557,0.791842,17.1131
heuristic,8,0,6,4.4,5.5478,0.775255,40.91,0.898975,0.615437,186.074,20.23,0.556175,10.7443,47.2748,8.52137,6.60623,17.1449,0.93086,0.0520741,16.056,11.3481,207.943,186.936,4.08,True,True,True,54.1198,0.791842,17.1131
heuristic,8,0,7,4.4,5.5478,0.775255,54.91,0.912079,0.615741,186.166,20.23,0.556095,10.7427,47.268,8.52014,6.60528,17.1375,0.934947,0.0503088,16.1041,10.4498,207.925,189.644,4.08,True,True,True,54.1198,0.791842,17.1131
heuristic,8,0,8,4.4,5.5478,0.775255,40,0.898019,0.615439,186.074,20.23,0.556173,10.7443,47.2747,8.52135,6.60621,17.1448,0.930619,0.0521984,16.0739,11.4779,207.944,186.738,4.08,True,True,True,54.162,0.791842,17.1131
heuristic,8,1,9,4.4,5.5478,0.916667,40,0.899371,0.615467,186.083,20.23,0.512767,9.90573,43.5852,7.85631,7.20162,13.4357,0.956539,0.0448263,17.6618,11.4393,207.968,187.041,4.08,True,True,True,54.6751,0.791842,13.4357
heuristic,8,1,10,4.4,10.2145,0.916667,40,0.865369,0.615386,186.058,20.23,0.748285,14.4555,63.6042,6.22688,5.70797,41.7545,0.872987,0.0675955,16.8394,10.353,207.988,179.987,4.08,True,True,True,55.3143,0.791842,13.4357
