seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,envelope_cap_cm3,pair_feasible,hv,best_obj1,best_obj2
0,0,0,2.87781,12.9003,0.579653,52.5541,0.782106,0.613087,185.363,20.23,0.991239,29.2776,84.2553,6.53126,3.78586,226.891,0.784356,0.146103,85.542,9.20295,208.194,162.829,4.08,True,True,226.891,True,9.12362,0.782106,226.891
0,0,1,3.85084,10.785,0.725032,74.9373,0.859903,0.615822,186.19,20.23,0.846234,18.679,71.9299,6.66943,4.83555,78.8437,0.85349,0.0825111,24.7371,10.2241,207.984,178.846,4.08,True,True,78.8437,True,35.5955,0.782106,78.8437
0,0,2,3.15809,18.0264,0.399109,42.2773,0.622355,0.609855,184.386,20.23,1.23321,33.1918,104.823,5.81495,2.3208,362.799,0.621211,0.328194,186.893,17.6108,208.378,129.685,4.08,False,True,362.799,False,35.5955,0.782106,78.8437
0,0,3,1.91329,5.13809,0.87954,60.2067,0.865685,0.61503,185.951,20.23,0.447169,19.866,38.0094,7.39757,6.50646,47.1261,0.885016,0.0561464,29.3816,26.645,208.333,180.351,4.06,True,True,47.1261,True,41.0834,0.782106,47.1261
0,0,4,1.53648,15.6513,0.626854,67.2589,0.708917,0.607498,183.673,20.23,0.97273,53.8125,82.6821,5.28276,3.31152,752.191,0.713668,0.17797,255.868,24.1695,208.594,147.876,4.06,False,True,752.191,False,41.0834,0.782106,47.1261
0,0,5,3.55169,7.72073,0.479915,45.2665,0.819229,0.614854,185.897,20.23,0.8016,19.1841,68.136,8.82508,4.23529,78.7789,0.819673,0.120244,40.784,7.5856,208.063,170.451,4.06,True,True,78.7789,True,47.108,0.782106,47.1261
0,0,6,4.1369,13.3964,0.810892,77.6163,0.853722,0.61574,186.165,20.23,0.920589,18.9151,78.2501,5.84113,4.73653,87.9536,0.845502,0.0838776,24.3527,8.79399,207.971,177.549,4.08,True,True,87.9536,True,47.108,0.782106,47.1261
0,0,7,2.5749,9.66311,0.332339,59.9214,0.729351,0.60998,184.424,20.23,0.956047,31.56,81.264,8.40971,2.79487,254.286,0.72982,0.247642,160.902,14.735,208.345,151.957,4.06,False,True,254.286,False,47.108,0.782106,47.1261
0,0,8,2.30711,17.3385,0.786042,49.4202,0.800159,0.611389,184.85,20.23,1.01006,37.2132,85.8551,4.95169,3.89224,373.517,0.800672,0.139475,118.808,12.7436,208.327,166.695,4.06,False,True,373.517,False,47.108,0.782106,47.1261
0,1,9,2.9223,5,0.282854,51.3912,0.82302,0.613128,185.376,20.23,0.68554,19.9401,58.2709,11.6542,3.29643,72.7874,0.825189,0.199559,82.2678,8.85129,208.155,171.316,4.08,True,True,72.7874,True,47.3636,0.782106,47.1261
0,1,10,4.4,11.9526,0.464839,62.7707,0.752047,0.614905,185.913,20.23,1.03664,20.0261,88.1148,7.37202,3.42681,111.017,0.742662,0.166655,48.5497,5.81236,208.044,156.459,4.06,True,True,111.017,True,56.2171,0.752047,47.1261
0,1,11,3.88336,5.91485,0.294217,61.181,0.751216,0.614624,185.828,20.23,0.764325,16.7298,64.9676,10.9838,3.23162,57.125,0.745759,0.197084,53.1074,6.23581,208.051,156.291,4.08,True,True,57.125,True,60.7586,0.751216,47.1261
0,1,12,1.93445,5,0.320914,40,0.866398,0.610019,184.436,20.23,0.650834,28.5977,55.3209,11.0642,3.55065,142.135,0.866485,0.177636,145.534,15.647,208.397,180.555,4.06,True,True,142.135,True,60.7586,0.751216,47.1261
