t180,peak_tendon_strain
0.819948,0.0413644
0.819948,0.0413644
0.819948,0.0413645
0.819948,0.0413645
0.819948,0.0413643
0.819948,0.0413642
0.820136,0.041336
0.820136,0.0413358
0.820136,0.0413358
0.820136,0.0413356
0.820136,0.0413356
0.820136,0.0413353
0.820136,0.0413352
0.820136,0.0413343
0.820136,0.0413341
0.820136,0.0413335
0.820136,0.0413305
0.820563,0.0412945
0.820853,0.0412704
0.820873,0.041223
0.820881,0.041186
0.821119,0.0411422
0.821198,0.0411337
0.821229,0.0410962
0.82125,0.04109
0.82125,0.0410868
0.82125,0.0410866
0.82125,0.0410833
0.821251,0.0410817
0.821251,0.0410792
0.821251,0.0410767
0.821251,0.0410737
0.821251,0.041072
0.821251,0.0410703
0.82134,0.0410357
0.82134,0.0410356
0.82134,0.041035
0.82134,0.0410332
0.82134,0.0410327
0.821344,0.0410235
0.821344,0.0410232
0.821344,0.0410226
0.821344,0.0410224
0.821344,0.0410221
0.821344,0.0410219
0.821344,0.0410217
0.821344,0.0410217
0.821344,0.0410214
0.821344,0.0410214
0.821344,0.0410212
0.821344,0.0410213
0.821344,0.041021
0.821344,0.0410211
0.821344,0.0410211
0.821344,0.0410209
0.821344,0.041021
0.821708,0.041018
0.821724,0.0409498
0.821725,0.0409492
0.821725,0.040947
0.821725,0.0409445
0.821725,0.0409435
0.821725,0.0409432
0.821725,0.0409409
0.821725,0.0409399
0.821725,0.0409391
0.821796,0.0409387
0.821796,0.0409368
0.821942,0.040933
0.821943,0.0409323
0.821943,0.0409321
0.821943,0.0409319
0.821943,0.0409305
0.821943,0.04093
0.821943,0.0409295
0.821945,0.0409253
0.821946,0.0409241
0.821946,0.040924
0.821946,0.0409236
0.821946,0.0409233
0.821946,0.0409234
0.821946,0.0409231
0.821946,0.0409229
0.821946,0.0409227
0.822084,0.0409225
0.822084,0.0409223
0.822084,0.0409221
0.822084,0.0409219
0.822084,0.0409221
0.822084,0.0409219
0.822084,0.0409217
0.822084,0.0409216
0.822084,0.0409214
0.822084,0.0409215
0.822084,0.0409213
0.932099,0.0388115
0.936051,0.0385506
0.936484,0.0385491
0.936825,0.0385161
0.937541,0.0384524
0.937565,0.0384017
0.938511,0.0382722
0.938535,0.0382537
0.938535,0.0382536
0.938535,0.0382531
0.938568,0.0382409
0.938568,0.0382398
0.938568,0.0382383
0.93857,0.038235
0.93857,0.0382337
0.93857,0.0382332
0.938578,0.0382289
0.938578,0.0382267
0.938578,0.0382264
0.938578,0.0382252
0.938578,0.0382246
0.938578,0.0382244
0.938578,0.0382227
0.938578,0.0382224
