seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,envelope_cap_cm3,pair_feasible,hv,best_obj1,best_obj2
6,0,0,3.50003,8.70975,0.764035,66.9382,0.878311,0.61596,186.232,20.23,0.722967,17.5576,61.4522,7.05556,5.3907,59.514,0.880026,0.0699749,21.6121,12.213,208.029,182.714,4.08,True,True,59.514,True,32.5502,0.878311,59.514
6,0,1,1.78782,15.3951,0.447688,49.2048,0.643823,0.608256,183.903,20.23,1.0893,51.7897,92.5905,6.01429,2.69252,780.193,0.642698,0.236851,289.788,30.467,208.642,134.329,4.06,False,True,780.193,False,32.5502,0.878311,59.514
6,0,2,2.56748,6.83128,0.689897,76.7221,0.894705,0.616118,186.28,20.23,0.627584,20.7771,53.3447,7.80888,5.38733,72.3451,0.898543,0.0712994,30.945,16.6278,208.059,186.152,4.08,True,True,72.3451,True,32.5502,0.878311,59.514
6,0,3,4.30788,13.517,0.34995,59.6161,0.658689,0.612644,185.229,20.23,1.14018,22.4973,96.9155,7.16988,2.5091,154.1,0.65474,0.292392,90.1718,9.12323,208.164,137.115,4.06,False,True,154.1,False,32.5502,0.878311,59.514
6,0,4,3.82069,6.54218,0.560407,54.1127,0.854841,0.615477,186.086,20.23,0.693415,15.4266,58.9402,9.00927,5.04886,44.0658,0.85665,0.0829106,21.8669,9.77381,208.014,177.819,4.08,True,True,44.0658,True,40.1534,0.854841,44.0658
6,0,5,2.6467,13.1876,0.900315,72.0098,0.870527,0.615515,186.097,20.23,0.828692,26.6138,70.4388,5.34127,4.80883,156.739,0.879765,0.0899231,49.3208,12.0077,208.094,181.152,4.06,True,True,156.739,True,40.1534,0.854841,44.0658
6,0,6,1.88985,11.3312,0.319604,44.5607,0.636142,0.608348,183.93,20.23,1.02035,45.8923,86.7294,7.65403,2.44626,573.846,0.63431,0.282297,298.964,31.2228,208.636,132.722,4.06,False,True,573.846,False,40.1534,0.854841,44.0658
6,0,7,3.08097,17.9754,0.635911,61.8352,0.71963,0.6127,185.246,20.23,1.12502,31.0379,95.6267,5.31986,3.38296,289.41,0.719476,0.173175,99.9737,9.47729,208.191,149.821,4.08,False,True,289.41,False,40.1534,0.854841,44.0658
6,0,8,3.26687,7.79947,0.268079,73.5671,0.674379,0.611996,185.033,20.23,0.889617,23.1467,75.6174,9.6952,2.59908,127.278,0.678717,0.281583,113.004,9.88435,208.194,140.402,4.08,False,True,127.278,False,40.1534,0.854841,44.0658
6,1,9,3.6963,5,0.308337,40,0.830461,0.614754,185.867,20.23,0.686253,15.781,58.3315,11.6663,3.59715,45.6377,0.834857,0.169394,48.4519,6.46229,208.06,172.785,4.06,True,True,45.6377,True,45.4392,0.830461,44.0658
6,1,10,3.29831,5,0.295296,57.5133,0.797423,0.614317,185.735,20.23,0.684322,17.6355,58.1673,11.6335,3.43531,56.8337,0.797192,0.181374,59.1583,6.87491,208.073,165.922,4.08,True,True,56.8337,True,52.2322,0.797423,44.0658
6,1,11,4.29265,11.139,0.3936,41.3848,0.702686,0.613834,185.589,20.23,1.03371,20.4687,87.8649,7.88805,3.10474,115.65,0.69843,0.210565,66.8542,7.53548,208.118,146.241,4.06,True,True,115.65,True,66.1392,0.702686,44.0658
6,1,12,3.63414,18.3333,0.590574,80,0.700065,0.613639,185.53,20.23,1.16435,27.2333,98.9696,5.39834,3.18812,230.596,0.691621,0.184208,79.6367,6.96651,208.092,145.678,4.08,True,True,230.596,True,66.2227,0.700065,44.0658
6,1,13,4.4,5,0.32045,53.1888,0.807535,0.615273,186.024,20.23,0.685456,13.2418,58.2637,11.6527,3.73413,32.0951,0.800237,0.150539,30.0411,5.56502,207.993,167.962,4.08,True,True,32.0951,True,69.321,0.700065,32.0951
6,1,14,3.68679,8.72684,0.338754,44.9037,0.734587,0.61315,185.382,20.23,0.930236,21.4469,79.0701,9.06057,3.0693,114.259,0.737273,0.217942,81.2229,8.59827,208.153,152.906,4.08,True,True,114.259,True,69.4085,0.700065,32.0951
6,1,15,3.05126,5,0.34379,40,0.869448,0.614337,185.741,20.23,0.664842,18.5207,56.5116,11.3023,3.88562,60.8982,0.873025,0.148322,56.8387,8.18328,208.109,180.94,4.08,True,True,60.8982,True,69.4085,0.700065,32.0951
6,1,16,4.30805,7.04691,0.324024,40,0.761138,0.614602,185.821,20.23,0.841443,16.6021,71.5227,10.1495,3.28868,61.9327,0.757335,0.194896,51.5943,6.50615,208.071,158.371,4.06,True,True,61.9327,True,71.3071,0.700065,32.0951
6,1,17,3.34296,7.53788,0.339795,57.9256,0.75133,0.613609,185.521,20.23,0.852843,21.6849,72.4916,9.61698,3.2678,107.091,0.752268,0.193372,75.5722,7.97397,208.125,156.371,4.08,True,True,107.091,True,71.3774,0.700065,32.0951
6,2,18,4.4,6.27181,0.283277,80,0.777817,0.615199,186.002,20.23,0.796354,15.3841,67.6901,10.7928,3.05734,50.3293,0.767377,0.206428,44.3907,5.14653,208.005,161.79,4.06,True,True,50.3293,True,71.6707,0.700065,32.0951
6,2,19,4.4,10.4596,0.385729,80,0.764854,0.614902,185.912,20.23,1.00148,19.3467,85.1255,8.13854,3.13927,100.098,0.756013,0.190602,51.0179,5.44203,208.025,159.108,4.06,True,True,100.098,True,71.6707,0.700065,32.0951
6,2,20,4.4,5,0.25872,80,0.793386,0.615399,186.062,20.23,0.703692,13.594,59.8138,11.9628,3.09501,34.7255,0.78195,0.204332,39.085,4.8856,207.987,165.014,4.06,True,True,34.7255,True,71.8914,0.700065,32.0951
6,2,21,4.4,15.2443,0.474932,40,0.675061,0.61358,185.512,20.23,1.1493,22.2024,97.6908,6.40837,3.04354,151.288,0.670005,0.21518,71.817,7.92174,208.134,140.503,4.06,True,True,151.288,True,74.8787,0.675061,32.0951
6,2,22,3.84124,12.0133,0.41687,80,0.718192,0.614074,185.662,20.23,1.04751,23.1796,89.0381,7.4116,3.08967,150.292,0.708607,0.197576,70.118,6.48064,208.07,149.434,4.08,True,True,150.292,True,74.8787,0.675061,32.0951
6,2,23,4.4,12.569,0.43528,80,0.76049,0.614767,185.871,20.23,1.07015,20.6733,90.9626,7.23707,3.15015,122.133,0.752127,0.187784,53.5282,5.56383,208.032,158.206,4.06,True,True,122.133,True,74.8787,0.675061,32.0951
6,2,24,4.4,8.32653,0.339119,80,0.773595,0.615109,185.975,20.23,0.909166,17.5634,77.2791,9.28107,3.14739,74.8912,0.763899,0.192033,46.9649,5.23376,208.011,160.917,4.06,True,True,74.8912,True,74.8787,0.675061,32.0951
6,2,25,4.4,18.3333,0.916667,40,0.79092,0.61515,185.987,20.23,1.0449,20.1856,88.8168,4.84455,4.44084,113.692,0.782329,0.105997,34.1444,6.97728,208.047,164.549,4.06,True,True,113.692,True,74.8787,0.675061,32.0951
6,2,26,4.4,18.3333,0.585265,40,0.68819,0.613841,185.591,20.23,1.18493,22.8906,100.719,5.49374,3.2153,165.796,0.68257,0.193522,66.9842,7.57923,208.123,143.228,4.06,True,True,165.796,True,74.8787,0.675061,32.0951
6,3,27,3.09524,5,0.25562,80,0.787039,0.613931,185.618,20.23,0.690354,18.9582,58.6801,11.736,2.99997,66.2573,0.791638,0.22532,80.4001,7.13152,208.084,163.77,4.08,False,True,66.2573,False,74.8787,0.675061,32.0951
6,3,28,4.4,5,0.916667,40,0.894333,0.61545,186.078,20.23,0.479676,9.26646,40.7724,8.15449,7.47495,10.9988,0.965704,0.0422252,17.7532,11.4928,207.997,186.019,4.08,True,True,10.9988,True,77.9245,0.675061,10.9988
6,3,29,3.77195,5,0.252941,80,0.76611,0.614881,185.906,20.23,0.700153,15.7778,59.513,11.9026,3.01066,46.543,0.759558,0.219225,55.3275,5.70247,208.024,159.369,4.08,True,True,46.543,True,78.1637,0.675061,10.9988
6,3,30,2.85898,5,0.916667,40,0.81235,0.615446,186.077,20.23,0.456992,13.5868,38.8443,7.76886,7.12145,22.5273,0.83651,0.0435119,20.2571,18.3182,208.106,169.055,4.06,True,True,22.5273,True,78.9481,0.675061,10.9988
6,3,31,4.4,12.6213,0.414821,40,0.685662,0.613705,185.55,20.23,1.08634,20.9861,92.339,7.31612,3.03488,127.762,0.680759,0.218363,69.3617,7.73629,208.126,142.704,4.06,True,True,127.762,True,79.3486,0.675061,10.9988
6,3,32,2.92329,5.69309,0.273132,80,0.788505,0.613296,185.426,20.23,0.736886,21.4263,62.6353,11.002,3.00499,90.3367,0.792811,0.223662,93.7348,7.91964,208.121,164.104,4.08,True,True,90.3367,True,79.3486,0.675061,10.9988
6,3,33,4.4,5,0.916667,80,0.93879,0.615893,186.212,20.23,0.479614,9.26527,40.7672,8.15344,7.47398,10.9945,0.98859,0.0382891,17.7726,8.25269,207.838,195.116,4.08,True,True,10.9945,True,79.349,0.675061,10.9945
6,3,34,4.06505,5,0.253138,80,0.773017,0.615132,185.982,20.23,0.702884,14.6973,59.7451,11.949,3.02475,40.5439,0.762014,0.215618,47.6071,5.30068,208.007,160.793,4.08,True,True,40.5439,True,79.4712,0.675061,10.9945
6,3,35,4.4,9.71058,0.352234,40,0.705691,0.613954,185.625,20.23,0.9848,19.0246,83.708,8.62029,3.03636,95.18,0.701048,0.221564,64.5734,7.38379,208.111,146.862,4.06,True,True,95.18,True,80.499,0.675061,10.9945
6,4,36,4.4,5,0.681951,40,0.894693,0.61542,186.069,20.23,0.550944,10.6432,46.8302,9.36605,6.38718,16.6657,0.921658,0.0554933,14.8882,11.4166,207.945,186.047,4.08,True,True,16.6657,True,80.499,0.675061,10.9945
6,4,37,4.4,7.41799,0.302123,52.2819,0.714661,0.614303,185.731,20.23,0.872217,16.8496,74.1384,9.99441,3.01954,66.1263,0.706064,0.223037,55.5179,6.5821,208.075,148.703,4.06,True,True,66.1263,True,81.8493,0.675061,10.9945
6,4,38,2.31314,5,0.916667,40,0.915741,0.615123,185.979,20.23,0.443325,16.2907,37.6826,7.53653,6.90848,31.4173,0.968886,0.049111,22.044,23.7815,208.283,190.734,4.06,True,True,31.4173,True,81.8493,0.675061,10.9945
6,4,39,4.4,8.55157,0.325489,50.2492,0.703718,0.614124,185.677,20.23,0.932004,18.0046,79.2203,9.26383,3.01528,80.6779,0.69549,0.222261,59.2337,6.87337,208.088,146.435,4.06,True,True,80.6779,True,82.0484,0.675061,10.9945
6,4,40,4.03534,5.14855,0.254646,63.1302,0.739725,0.614593,185.819,20.23,0.717976,15.1234,61.028,11.8534,3.01842,43.8507,0.733128,0.225108,52.9161,6.19112,208.049,153.899,4.08,True,True,43.8507,True,82.6339,0.675061,10.9945
6,4,41,4.05277,6.05997,0.275568,62.6343,0.72788,0.614461,185.779,20.23,0.783575,16.4342,66.6039,10.9908,3.02871,56.5126,0.720782,0.221163,56.0666,6.40949,208.061,151.443,4.08,True,True,56.5126,True,82.7477,0.675061,10.9945
6,4,42,4.4,10.8893,0.374752,41.9978,0.690814,0.613806,185.581,20.23,1.03137,19.9242,87.6664,8.05069,3.01701,109.331,0.685739,0.221746,66.9033,7.52166,208.117,143.77,4.06,True,True,109.331,True,82.9731,0.675061,10.9945
6,4,43,4.15821,5,0.790309,40,0.895079,0.61546,186.081,20.23,0.513429,10.4952,43.6414,8.72829,6.89804,15.102,0.946081,0.0480232,16.6938,11.6691,207.958,186.139,4.08,True,True,15.102,True,82.9731,0.675061,10.9945
6,4,44,4.32402,5,0.250225,60.0478,0.746695,0.614758,185.869,20.23,0.709241,13.942,60.2855,12.0571,3.01699,36.8139,0.73784,0.22621,46.6264,5.85167,208.037,155.34,4.06,True,True,36.8139,True,83.2343,0.675061,10.9945
