strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,pair_feasible,hv,best_obj1,best_obj2
heuristic,2,0,0,2.25868,8.97988,0.792817,43.6766,0.849894,0.614037,185.65,20.23,0.686706,25.8426,58.37,6.50009,5.15338,122.465,0.848386,0.0854175,49.5171,18.8851,208.274,177.011,4.06,True,True,True,26.4306,0.849894,122.465
heuristic,2,0,1,3.27368,8.97988,0.792817,43.6766,0.847879,0.615165,185.992,20.23,0.719951,18.6933,61.1958,6.81477,5.40286,67.1805,0.859464,0.0755477,25.6061,12.1663,208.088,176.434,4.08,True,True,True,37.2627,0.847879,67.1805
heuristic,2,0,2,3.27368,8.97988,0.916667,43.6766,0.859189,0.615184,185.997,20.23,0.671398,17.4326,57.0688,6.35518,5.82559,54.4848,0.881016,0.0652515,20.4642,12.6028,208.078,178.778,4.08,True,True,True,39.5419,0.847879,54.4848
heuristic,2,0,3,3.27368,8.97988,0.916667,57.6766,0.881555,0.61555,186.108,20.23,0.671395,17.4326,57.0686,6.35516,5.82556,54.4842,0.897625,0.0629868,20.4535,14.1091,208.066,183.422,4.08,True,True,True,39.542,0.847879,54.4842
heuristic,2,0,4,3.27368,8.97988,0.916667,40,0.855357,0.615097,185.971,20.23,0.671344,17.4313,57.0643,6.35468,5.82512,54.4717,0.87612,0.0655818,20.2815,12.8165,208.079,177.982,4.08,True,True,True,39.5929,0.847879,54.4717
heuristic,2,0,5,3.27368,13.6465,0.916667,40,0.830608,0.614894,185.91,20.23,0.861052,22.357,73.1894,5.36322,4.91628,114.927,0.828074,0.0906856,37.0818,10.6544,208.112,172.86,4.06,True,True,True,42.1407,0.830608,54.4717
heuristic,2,0,6,3.27368,5,0.916667,40,0.841227,0.615481,186.087,20.23,0.464843,12.0695,39.5116,7.90233,7.2438,18.0823,0.90313,0.0411079,19.3009,15.3137,208.042,175.011,4.06,True,True,True,49.8242,0.830608,18.0823
heuristic,2,0,7,3.27368,5,0.683333,40,0.86113,0.615199,186.002,20.23,0.535768,13.9111,45.5403,9.10805,6.22384,27.6863,0.891925,0.0572011,16.4356,14.2197,208.037,179.147,4.08,True,True,True,49.8242,0.830608,18.0823
heuristic,2,0,8,4.28868,5,0.916667,40,0.891602,0.615436,186.074,20.23,0.47851,9.4839,40.6734,8.13468,7.45679,11.493,0.966441,0.0421449,17.8922,11.7266,207.999,185.452,4.06,True,True,True,50.7935,0.830608,11.493
heuristic,2,1,9,4.28868,9.66667,0.916667,40,0.870272,0.615359,186.05,20.23,0.722225,14.3142,61.3891,6.3506,5.82138,39.5164,0.880615,0.0653675,16.4407,10.6091,207.987,181.005,4.08,True,True,True,50.7935,0.830608,11.493
