seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,envelope_cap_cm3,pair_feasible,hv,best_obj1,best_obj2
4,2,26,3.87674,5,0.916667,80,0.936017,0.615853,186.2,20.23,0.473613,10.3843,40.2571,8.05142,7.38047,13.6378,0.999349,0.0385895,18.3531,9.20303,207.814,194.517,4.1,True,True,13.6378,True,75.2112,0.715876,12.0126
4,3,27,4.4,5,0.2501,55.5508,0.744051,0.614721,185.857,20.23,0.710391,13.7235,60.3832,12.0766,3.02036,35.7268,0.734924,0.227692,46.2162,5.89824,208.041,154.793,4.06,True,True,35.7268,True,75.697,0.715876,12.0126
4,3,28,4.4,5,0.354889,51.4654,0.825361,0.615381,186.057,20.23,0.672582,12.9931,57.1694,11.4339,4.05776,30.3205,0.81955,0.127843,25.4045,6.88873,207.984,171.662,4.08,True,True,30.3205,True,75.9906,0.715876,12.0126
4,3,29,4.4,7.50428,0.305401,51.1618,0.713801,0.614296,185.729,20.23,0.876702,16.9363,74.5197,9.9303,3.03272,67.1518,0.705108,0.221507,55.6746,6.60714,208.076,148.525,4.06,True,True,67.1518,True,76.6832,0.713801,12.0126
4,3,30,4.4,6.94033,0.916667,40,0.898216,0.615391,186.06,20.23,0.590703,11.4113,50.2097,7.23448,6.63161,20.5404,0.929736,0.0518449,17.2234,11.6374,207.945,186.779,4.08,True,True,20.5404,True,76.6832,0.713801,12.0126
4,3,31,4.4,6.03524,0.273905,53.0351,0.729795,0.614532,185.8,20.23,0.78649,15.1935,66.8516,11.0769,3.03402,48.482,0.720646,0.223901,50.5349,6.22411,208.058,151.839,4.06,True,True,48.482,True,76.8885,0.713801,12.0126
4,3,32,4.4,5,0.301541,55.5024,0.79576,0.615196,186.001,20.23,0.692188,13.3718,58.836,11.7672,3.54829,33.0502,0.78826,0.165828,33.1025,5.35041,207.999,165.517,4.06,True,True,33.0502,True,76.9667,0.713801,12.0126
4,3,33,3.37936,5,0.916667,40,0.848749,0.615466,186.082,20.23,0.466586,11.7359,39.6598,7.93196,7.27097,17.1606,0.918236,0.0412379,19.1255,14.7276,208.032,176.567,4.06,True,True,17.1606,True,77.4865,0.713801,12.0126
4,3,34,4.4,8.30375,0.321143,50.0776,0.705713,0.614163,185.689,20.23,0.919475,17.7626,78.1554,9.41205,3.02262,77.4677,0.697311,0.221786,58.4405,6.81857,208.086,146.849,4.06,True,True,77.4677,True,78.9827,0.705713,12.0126
4,3,35,4.4,6.71065,0.288394,52.2306,0.721793,0.614417,185.765,20.23,0.830151,16.037,70.5628,10.5151,3.03248,57.0128,0.712876,0.222845,53.0527,6.40738,208.066,150.181,4.06,True,True,57.0128,True,79.0638,0.705713,12.0126
4,4,36,3.12743,5,0.916667,40,0.830407,0.615496,186.092,20.23,0.46227,12.564,39.293,7.85859,7.20371,19.4858,0.879959,0.0410064,19.5872,16.2215,208.059,172.774,4.06,True,True,19.4858,True,79.2625,0.705713,12.0126
4,4,37,4.4,5.49223,0.260264,54.6873,0.735865,0.614615,185.825,20.23,0.748638,14.4623,63.6343,11.5862,3.01548,41.8136,0.726805,0.227305,48.658,6.07282,208.05,153.097,4.06,True,True,41.8136,True,79.3171,0.705713,12.0126
4,4,38,4.4,5,0.275391,57.3398,0.774438,0.61505,185.957,20.23,0.701374,13.5493,59.6168,11.9234,3.28358,34.3835,0.766267,0.192757,38.5941,5.39032,208.014,161.094,4.06,True,True,34.3835,True,79.345,0.705713,12.0126
4,4,39,3.67916,5,0.916667,40,0.867251,0.615436,186.073,20.23,0.47107,10.8832,40.0409,8.00818,7.34083,14.8992,0.949795,0.0415117,18.5871,13.3052,208.014,180.4,4.06,True,True,14.8992,True,79.3925,0.705713,12.0126
4,4,40,2.95525,5,0.916667,40,0.817989,0.61547,186.084,20.23,0.458975,13.2012,39.0128,7.80257,7.15235,21.3591,0.851717,0.0421555,19.9976,17.5523,208.087,170.213,4.06,True,True,21.3591,True,79.5239,0.705713,12.0126
4,4,41,4.4,5,0.916667,40,0.894333,0.61545,186.078,20.23,0.479676,9.26646,40.7724,8.15449,7.47495,10.9988,0.965704,0.0422252,17.7532,11.4928,207.997,186.019,4.08,True,True,10.9988,True,79.6703,0.705713,10.9988
4,4,42,4.4,5,0.3255,55.0502,0.812049,0.615302,186.033,20.23,0.683357,13.2012,58.0854,11.6171,3.78136,31.8013,0.805544,0.146006,29.0256,5.65748,207.988,168.897,4.08,True,True,31.8013,True,79.6777,0.705713,10.9988
4,4,43,3.89837,5,0.916667,40,0.877968,0.615422,186.069,20.23,0.473975,10.3345,40.2878,8.05757,7.3861,13.5178,0.962133,0.041768,18.3075,12.562,208.006,182.623,4.06,True,True,13.5178,True,79.6919,0.705713,10.9988
4,4,44,4.4,7.78095,0.308978,52.9221,0.712452,0.614258,185.717,20.23,0.892338,17.2383,75.8487,9.74799,3.01192,70.8091,0.70401,0.223116,56.5517,6.646,208.078,148.245,4.06,True,True,70.8091,True,79.7009,0.705713,10.9988
