seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,envelope_cap_cm3,pair_feasible,hv,best_obj1,best_obj2
3,0,0,1.69855,7.99369,0.716123,42.5034,0.872182,0.611839,184.986,20.23,0.641713,32.1131,54.5456,6.82358,4.88653,176.715,0.876976,0.0968739,90.638,18.9424,208.429,181.788,4.04,True,True,176.715,True,14.2766,0.872182,176.715
3,0,1,3.44826,14.6291,0.440824,73.0916,0.657573,0.612454,185.172,20.23,1.12411,27.7095,95.5495,6.53147,2.87923,230.481,0.657834,0.225779,103.244,9.04785,208.169,136.886,4.08,False,True,230.481,False,14.2766,0.872182,176.715
3,0,2,3.85456,10.2329,0.77372,56.3063,0.848015,0.615504,186.094,20.23,0.79962,17.633,67.9677,6.64207,5.1391,66.3907,0.847097,0.0785644,23.9459,9.16198,208.032,176.414,4.08,True,True,66.3907,True,37.3868,0.848015,66.3907
3,0,3,2.83269,16.9732,0.381843,66.8072,0.603441,0.609674,184.331,20.23,1.20082,36.0327,102.069,6.01357,2.29624,416.33,0.60219,0.318975,199.34,17.5231,208.392,125.752,4.08,False,True,416.33,False,37.3868,0.848015,66.3907
3,0,4,2.51477,9.0976,0.505058,63.4763,0.819687,0.613624,185.526,20.23,0.838722,28.349,71.2914,7.83628,3.95778,179.996,0.828967,0.13651,85.0989,8.74535,208.178,170.641,4.08,True,True,179.996,True,39.7224,0.819687,66.3907
3,0,5,4.08181,15.7924,0.651797,53.4297,0.746538,0.614736,185.862,20.23,1.08449,22.5835,92.1817,5.83709,3.8046,147.699,0.740548,0.139033,49.6283,6.162,208.067,155.33,4.06,True,True,147.699,True,49.031,0.746538,66.3907
3,0,6,3.0383,6.02516,0.317945,77.25,0.808431,0.614392,185.758,20.23,0.747049,20.8996,63.4992,10.539,3.35083,87.1349,0.814432,0.182392,72.9016,6.74226,208.066,168.207,4.08,True,True,87.1349,True,51.4284,0.746538,66.3907
3,0,7,2.19909,12.6149,0.837689,47.1356,0.830749,0.612916,185.312,20.23,0.815818,31.5333,69.3445,5.49704,4.60482,216.621,0.828974,0.105067,77.6376,11.9082,208.293,173.039,4.06,True,True,216.621,True,51.4284,0.746538,66.3907
3,0,8,1.87301,11.074,0.277837,51.4633,0.587887,0.60877,184.058,20.23,1.0238,46.4614,87.0226,7.85831,2.18333,590.156,0.587694,0.324974,322.532,34.712,208.668,122.673,4.06,False,True,590.156,False,51.4284,0.746538,66.3907
3,1,9,4.38936,10.2471,0.388598,80,0.76935,0.615007,185.944,20.23,0.990296,19.1771,84.1751,8.2145,3.19214,97.252,0.760134,0.184867,49.2896,5.32964,208.018,160.039,4.06,True,True,97.252,True,53.3999,0.746538,66.3907
3,1,10,4.4,15.8731,0.668428,71.4475,0.794705,0.615435,186.073,20.23,1.08393,20.9395,92.1339,5.80441,3.87983,126.912,0.784998,0.126349,38.7456,4.90993,208.002,165.3,4.06,True,True,126.912,True,53.3999,0.746538,66.3907
