seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,envelope_cap_cm3,pair_feasible,hv,best_obj1,best_obj2
2,0,0,3.755,17.9182,0.263175,65.6013,0.556208,0.611706,184.946,20.23,1.27976,28.9692,108.779,6.07089,1.5977,286.794,0.557914,0.546335,189.354,19.3434,208.35,115.886,4.06,False,True,286.794,False,0,inf,inf
2,0,1,2.74254,10.9075,0.657725,54.7054,0.816492,0.614241,185.712,20.23,0.857514,26.5771,72.8887,6.68245,4.39521,161.743,0.822301,0.111453,61.1431,7.87052,208.157,169.958,4.06,True,True,161.743,True,22.378,0.816492,161.743
2,0,2,1.51219,14.7521,0.484183,72.809,0.675494,0.607261,183.602,20.23,1.01076,56.8146,85.9146,5.82391,2.81984,871.238,0.67841,0.222236,317.033,28.7427,208.666,140.952,4.06,False,True,871.238,False,22.378,0.816492,161.743
2,0,3,3.44507,7.6218,0.751167,46.9129,0.862594,0.615317,186.038,20.23,0.671425,16.566,57.0712,7.48789,5.62466,49.2043,0.877582,0.0693802,20.4674,12.1415,208.054,179.466,4.08,True,True,49.2043,True,42.1979,0.816492,49.2043
2,0,4,3.19703,12.7048,0.694869,41.3775,0.817974,0.614261,185.718,20.23,0.931853,24.7753,79.2075,6.23445,4.33212,152.741,0.824499,0.115103,53.97,7.31197,208.136,170.25,4.06,True,True,152.741,True,42.5995,0.816492,49.2043
2,0,5,2.21858,6.3813,0.383583,78.2939,0.877252,0.613159,185.385,20.23,0.719123,27.5516,61.1254,9.57883,3.67428,145.769,0.882004,0.159512,105.934,8.88994,208.173,182.62,4.06,True,True,145.769,True,42.5995,0.816492,49.2043
2,0,6,2.44957,15.8766,0.891178,59.2112,0.81492,0.613756,185.566,20.23,0.917752,31.846,78.0089,4.91346,4.37877,248.544,0.824759,0.111749,78.6691,8.81569,208.211,169.675,4.08,True,True,248.544,True,42.6214,0.81492,49.2043
2,0,7,4.32577,9.67439,0.540787,61.1278,0.815029,0.615404,186.064,20.23,0.892705,17.5414,75.8799,7.84338,4.2416,73.3505,0.807786,0.110689,30.1798,5.56801,208.001,169.527,4.08,True,True,73.3505,True,46.5511,0.81492,49.2043
2,0,8,4.14767,13.4423,0.847529,76.7129,0.857041,0.615774,186.176,20.23,0.905194,18.5505,76.9415,5.72384,4.85112,83.1809,0.849188,0.0800669,23.0149,9.01738,207.976,178.244,4.08,True,True,83.1809,True,46.5511,0.81492,49.2043
2,1,9,4.09559,12.2245,0.470251,80,0.765223,0.614992,185.939,20.23,1.03794,21.5414,88.2246,7.21706,3.39383,128.613,0.755003,0.16436,52.1502,5.36984,208.018,159.18,4.08,True,True,128.613,True,53.2153,0.765223,49.2043
2,1,10,4.4,14.4386,0.516138,40,0.71612,0.614243,185.713,20.23,1.10711,21.3874,94.1044,6.51758,3.36397,135.23,0.710562,0.179737,58.9234,7.01573,208.101,149.026,4.06,True,True,135.23,True,59.4619,0.71612,49.2043
2,1,11,3.63934,9.8607,0.395734,80,0.745946,0.614474,185.783,20.23,0.95752,22.3637,81.3892,8.2539,3.26634,127.881,0.738998,0.181023,65.5002,6.13174,208.05,155.194,4.08,True,True,127.881,True,59.6401,0.71612,49.2043
2,1,12,4.4,14.5307,0.533864,80,0.779015,0.615154,185.988,20.23,1.09796,21.2107,93.3269,6.42274,3.42887,131.906,0.769714,0.158654,46.9058,5.10765,208.009,162.042,4.06,True,True,131.906,True,59.6401,0.71612,49.2043
2,1,13,4.26693,11.3894,0.424058,40,0.721886,0.614089,185.666,20.23,1.03166,20.5514,87.6913,7.69937,3.26498,116.356,0.717667,0.192283,62.1966,7.23763,208.108,150.23,4.06,True,True,116.356,True,60.8903,0.71612,49.2043
2,1,14,4.4,18.3333,0.623581,50.9512,0.714157,0.614331,185.74,20.23,1.16872,22.5776,99.3414,5.41862,3.37895,159.087,0.706302,0.173183,57.4785,6.72454,208.089,148.608,4.06,True,True,159.087,True,61.0933,0.714157,49.2043
2,1,15,3.73846,10.5395,0.573027,80,0.835193,0.61563,186.132,20.23,0.907865,20.6418,77.1685,7.32181,4.1956,103.297,0.827303,0.109622,35.931,6.72708,207.97,173.695,4.06,True,True,103.297,True,61.0933,0.714157,49.2043
2,1,16,4.4,18.3333,0.684097,80,0.788862,0.615295,186.031,20.23,1.14174,22.0563,97.0475,5.2935,3.62127,148.319,0.779339,0.141753,43.922,4.88368,207.998,164.082,4.06,True,True,148.319,True,61.0933,0.714157,49.2043
2,1,17,3.60236,18.3333,0.79903,80,0.79758,0.615209,186.005,20.23,1.07798,25.4356,91.6283,4.99791,3.99347,186.236,0.789699,0.120415,49.774,5.03393,208.006,165.902,4.08,True,True,186.236,True,61.0933,0.714157,49.2043
2,2,18,4.06098,5,0.916667,80,0.937503,0.615867,186.204,20.23,0.475878,9.96057,40.4497,8.08993,7.41577,12.6076,0.998052,0.0384244,18.0987,8.89024,207.822,194.834,4.08,True,True,12.6076,True,64.7971,0.714157,12.6076
2,2,19,4.33106,5,0.255684,80,0.78719,0.615329,186.041,20.23,0.704195,13.8203,59.8566,11.9713,3.06087,35.9168,0.775642,0.209253,41.21,4.98901,207.993,163.73,4.06,True,True,35.9168,True,69.8123,0.714157,12.6076
