strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,pair_feasible,hv,best_obj1,best_obj2
heuristic,1,0,0,2.98428,17.6728,0.346106,77.946,0.551756,0.609968,184.42,20.23,1.23054,35.049,104.596,5.91846,2.04842,403.66,0.553152,0.37281,206.268,17.2463,208.38,114.975,4.08,False,True,False,0,inf,inf
heuristic,1,0,1,2.98428,17.6728,0.346106,80,0.554416,0.609963,184.419,20.23,1.22972,35.0257,104.526,5.91452,2.04705,402.855,0.555547,0.372493,205.664,16.9308,208.375,115.527,4.08,False,True,False,0,inf,inf
heuristic,1,0,2,2.98428,17.6728,0.346106,63.946,0.556188,0.610006,184.432,20.23,1.23593,35.2024,105.054,5.94437,2.05738,408.985,0.555053,0.374596,209.821,19.3992,208.409,115.915,4.08,False,True,False,0,inf,inf
heuristic,1,0,3,2.98428,17.6728,0.57944,77.946,0.723542,0.612083,185.06,20.23,1.13558,32.3443,96.5245,5.46174,3.16475,317.236,0.727859,0.190541,113.897,9.17942,208.181,150.628,4.08,False,True,False,0,inf,inf
heuristic,1,0,4,2.98428,17.6728,0.25,77.946,0.475642,0.611209,184.796,20.23,1.26204,35.9462,107.274,6.06996,1.51749,435.459,0.478548,0.551929,260.484,25.2484,208.465,99.1547,4.08,False,True,False,0,inf,inf
heuristic,1,0,5,3.99928,17.6728,0.346106,77.946,0.639603,0.611609,184.917,20.23,1.24886,26.543,106.153,6.00656,2.07891,234.954,0.63862,0.37368,129.117,11.5087,208.229,133.184,4.06,False,True,False,0,inf,inf
heuristic,1,0,6,1.96928,17.6728,0.346106,77.946,0.600265,0.609184,184.183,20.23,1.19009,51.3677,101.158,5.7239,1.98108,838.549,0.601923,0.360511,346.187,30.8263,208.641,125.24,4.06,False,True,False,0,inf,inf
heuristic,1,0,7,2.98428,18.3333,0.346106,77.946,0.54051,0.610023,184.437,20.23,1.24489,35.4576,105.815,5.77175,1.99764,417.944,0.541561,0.385052,212.242,17.9033,208.39,112.637,4.08,False,True,False,0,inf,inf
heuristic,1,0,8,2.98428,13.0062,0.346106,77.946,0.644172,0.610312,184.524,20.23,1.09632,31.226,93.1873,7.16484,2.4798,285.456,0.646998,0.288338,157.787,12.6788,208.287,134.173,4.08,False,True,False,0,inf,inf
heuristic,1,1,9,2.98428,17.6728,0.462773,77.946,0.650191,0.610452,184.566,20.23,1.1851,33.7546,100.733,5.69989,2.63775,360.569,0.653635,0.256682,152.645,12.1292,208.274,135.418,4.08,False,True,False,0,inf,inf
heuristic,1,1,10,2.98428,17.6728,0.25,77.946,0.475642,0.611209,184.796,20.23,1.26204,35.9462,107.274,6.06996,1.51749,435.459,0.478548,0.551929,260.484,25.2484,208.465,99.1547,4.08,False,True,False,0,inf,inf
heuristic,1,1,11,2.98428,17.6728,0.346106,80,0.554416,0.609963,184.419,20.23,1.22972,35.0257,104.526,5.91452,2.04705,402.855,0.555547,0.372493,205.664,16.9308,208.375,115.527,4.08,False,True,False,0,inf,inf
