strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,pair_feasible,hv,best_obj1,best_obj2
heuristic,5,0,0,3.83451,15.7725,0.59355,51.4321,0.718032,0.614048,185.654,20.23,1.10449,24.4833,93.8816,5.95222,3.53294,176.796,0.712313,0.161501,64.5411,7.28708,208.112,149.431,4.06,True,True,True,27.4661,0.718032,176.796
heuristic,5,0,1,4.4,15.7725,0.59355,51.4321,0.734898,0.614664,185.84,20.23,1.11419,21.5241,94.7061,6.00449,3.56397,137.841,0.727254,0.157209,50.3473,6.22981,208.069,152.909,4.06,True,True,True,39.301,0.718032,137.841
heuristic,5,0,2,4.4,15.7725,0.59355,65.4321,0.759965,0.615027,185.95,20.23,1.11284,21.4981,94.5916,5.99723,3.55966,137.342,0.750546,0.15222,47.6418,5.6432,208.038,158.101,4.06,True,True,True,39.4403,0.718032,137.342
heuristic,5,0,3,4.4,15.7725,0.59355,40,0.732186,0.614503,185.791,20.23,1.11498,21.5394,94.7735,6.00876,3.5665,138.135,0.726438,0.160744,53.3737,6.68095,208.089,152.36,4.06,True,True,True,39.5451,0.718032,137.342
heuristic,5,0,4,4.4,15.7725,0.826884,51.4321,0.801981,0.615269,186.023,20.23,1.00659,19.4454,85.5599,5.42461,4.48552,101.638,0.796595,0.100652,31.2718,6.11503,208.029,166.835,4.08,True,True,True,47.9972,0.718032,101.638
heuristic,5,0,5,4.4,18.3333,0.826884,51.4321,0.778081,0.615119,185.978,20.23,1.08672,20.9934,92.3709,5.03841,4.16618,127.894,0.771716,0.115757,37.7861,5.571,208.041,161.873,4.06,True,True,True,48.223,0.718032,101.638
heuristic,5,0,6,4.4,11.1059,0.826884,51.4321,0.846742,0.615492,186.09,20.23,0.824709,15.9319,70.1003,6.312,5.21929,55.899,0.845084,0.0763378,20.6718,8.93449,208.011,176.132,4.08,True,True,True,57.0034,0.718032,55.899
heuristic,5,0,7,4.4,11.1059,0.826884,65.4321,0.858999,0.6158,186.183,20.23,0.824361,15.9251,70.0706,6.30933,5.21708,55.8281,0.85384,0.072146,19.2137,9.76637,207.999,178.671,4.08,True,True,True,57.0162,0.718032,55.8281
heuristic,5,0,8,4.4,11.1059,0.826884,40,0.843008,0.615379,186.056,20.23,0.824789,15.9334,70.1071,6.31261,5.2198,55.9153,0.843415,0.0793373,21.1098,9.79832,208.009,175.353,4.08,True,True,True,57.1869,0.718032,55.8281
heuristic,5,1,9,4.4,11.1059,0.916667,40,0.855966,0.615383,186.058,20.23,0.786454,15.1929,66.8486,6.01921,5.51761,48.4755,0.860373,0.0718191,18.6065,9.82141,207.998,178.039,4.08,True,True,True,58.5308,0.718032,48.4755
heuristic,5,1,10,3.385,11.1059,0.916667,40,0.845129,0.615131,185.981,20.23,0.765961,19.2339,65.1067,5.86236,5.37383,75.6675,0.851616,0.0765986,26.2264,11.7246,208.084,175.858,4.08,True,True,True,58.5308,0.718032,48.4755
heuristic,5,1,11,4.4,15.7725,0.916667,40,0.812709,0.615274,186.025,20.23,0.962212,18.5882,81.788,5.18547,4.75334,88.7796,0.807367,0.0936734,28.3322,8.61772,208.032,169.069,4.08,True,True,True,58.9204,0.718032,48.4755
heuristic,5,1,12,4.4,6.43921,0.916667,40,0.900366,0.615447,186.077,20.23,0.563578,10.8873,47.9041,7.43944,6.81949,17.8387,0.939413,0.0493027,17.3553,11.5299,207.946,187.227,4.08,True,True,True,63.1588,0.718032,17.8387
heuristic,5,1,13,4.4,6.43921,0.916667,54,0.915487,0.615784,186.179,20.23,0.563681,10.8893,47.9129,7.4408,6.82073,17.8485,0.944513,0.0476669,17.3739,10.4591,207.919,190.347,4.08,True,True,True,63.1588,0.718032,17.8387
heuristic,5,1,14,3.385,6.43921,0.916667,40,0.866231,0.615233,186.012,20.23,0.548325,13.7689,46.6076,7.2381,6.63492,27.759,0.911786,0.0501688,18.6769,13.9278,208.017,180.191,4.08,True,True,True,63.8659,0.718032,17.8387
heuristic,5,1,15,4.39761,13.6983,0.40634,57.3979,0.686966,0.613524,185.495,20.23,1.12598,21.7637,95.7081,6.98688,2.83905,142.417,0.680749,0.237304,72.3609,7.7213,208.121,142.972,4.06,False,True,False,63.8659,0.718032,17.8387
heuristic,5,1,16,4.39761,13.6983,0.639673,57.3979,0.787865,0.615227,186.01,20.23,1.0279,19.8679,87.3713,6.37828,4.08001,108.348,0.780298,0.119323,36.3853,5.27076,208.025,163.896,4.06,True,True,True,64.1418,0.718032,17.8387
heuristic,5,1,17,4.39761,13.6983,0.639673,71.3979,0.810672,0.615551,186.108,20.23,1.02665,19.8438,87.2651,6.37053,4.07506,107.954,0.801158,0.114778,33.8054,4.76955,207.991,168.613,4.08,True,True,True,64.1418,0.718032,17.8387
heuristic,5,2,18,4.39761,13.6983,0.639673,43.3979,0.774713,0.615027,185.95,20.23,1.02878,19.8849,87.4461,6.38374,4.08351,108.627,0.765824,0.124066,38.4912,5.93546,208.048,161.178,4.06,True,True,True,64.427,0.718032,17.8387
heuristic,5,2,19,4.4,13.6983,0.639673,43.3979,0.774708,0.615028,185.95,20.23,1.02882,19.8748,87.4493,6.38398,4.08366,108.521,0.765853,0.124044,38.451,5.93436,208.048,161.177,4.06,True,True,True,64.4286,0.718032,17.8387
heuristic,5,2,20,4.4,18.3333,0.639673,43.3979,0.710784,0.614299,185.73,20.23,1.16269,22.4612,98.8291,5.39068,3.44827,156.639,0.702646,0.169328,57.518,6.87305,208.097,147.912,4.06,True,True,True,65.4808,0.710784,17.8387
heuristic,5,2,21,4.4,9.03159,0.639673,43.3979,0.833965,0.615383,186.057,20.23,0.811566,15.678,68.9831,7.63798,4.88581,53.2687,0.831829,0.0891117,22.7966,8.61607,208.009,173.472,4.08,True,True,True,65.8361,0.710784,17.8387
heuristic,5,2,22,4.4,9.03159,0.873007,43.3979,0.87379,0.615444,186.076,20.23,0.711315,13.7413,60.4618,6.69448,5.84433,35.8664,0.882723,0.0643324,16.1269,11.1085,207.981,181.732,4.08,True,True,True,65.8361,0.710784,17.8387
heuristic,5,2,23,3.385,9.03159,0.873007,43.3979,0.857922,0.61521,186.005,20.23,0.692838,17.3977,58.8912,6.52058,5.69251,55.9995,0.875206,0.0682306,21.1225,12.0554,208.068,178.506,4.08,True,True,True,65.8361,0.710784,17.8387
heuristic,5,2,24,4.4,9.03159,0.873007,57.3979,0.880268,0.615733,186.163,20.23,0.711268,13.7404,60.4577,6.69403,5.84394,35.8592,0.883257,0.0613325,16.13,10.3456,207.986,183.083,4.08,True,True,True,65.8361,0.710784,17.8387
heuristic,5,2,25,4.4,9.03159,0.873007,40,0.872607,0.615383,186.057,20.23,0.711292,13.7409,60.4598,6.69426,5.84414,35.8629,0.882999,0.0648865,16.0873,10.6459,207.978,181.483,4.08,True,True,True,65.8361,0.710784,17.8387
heuristic,5,2,26,4.4,13.6983,0.873007,40,0.824565,0.615334,186.042,20.23,0.90861,17.5527,77.2318,5.63808,4.92208,74.7538,0.821114,0.0880229,25.3846,9.2259,208.023,171.529,4.08,True,True,True,65.9679,0.710784,17.8387
heuristic,5,3,27,4.4,5,0.873007,40,0.897372,0.615462,186.081,20.23,0.491728,9.49929,41.7969,8.35938,7.29779,11.8489,0.959907,0.043878,17.3066,11.4279,207.978,186.633,4.08,True,True,True,66.8442,0.710784,11.8489
heuristic,5,3,28,4.4,5,0.873007,54,0.919214,0.615729,186.162,20.23,0.491797,9.50062,41.8027,8.36054,7.29881,11.8538,0.967753,0.0427237,17.3465,10.6096,207.915,191.119,4.08,True,True,True,66.8442,0.710784,11.8489
heuristic,5,3,29,4.4,9.66667,0.873007,40,0.865405,0.615385,186.058,20.23,0.741004,14.3148,62.9853,6.51572,5.68827,40.5474,0.872908,0.0680704,16.7494,10.3081,207.987,179.993,4.08,True,True,True,66.8508,0.710784,11.8489
heuristic,5,3,30,3.4624,5.8107,0.620397,50.8581,0.871304,0.615408,186.065,20.23,0.615757,15.1165,52.3394,9.00741,5.58817,37.5735,0.885979,0.0698104,18.7772,12.8153,208.033,181.26,4.08,True,True,True,66.8508,0.710784,11.8489
heuristic,5,3,31,4.4,5.8107,0.620397,50.8581,0.880725,0.615488,186.089,20.23,0.62834,12.1384,53.4089,9.19146,5.70236,24.7221,0.886465,0.0660819,13.9123,10.131,207.971,183.165,4.08,True,True,True,66.9013,0.710784,11.8489
heuristic,5,3,32,2.4474,5.8107,0.620397,50.8581,0.839267,0.615009,185.944,20.23,0.592753,20.5868,50.384,8.6709,5.3794,67.0839,0.839673,0.0776872,34.5316,17.2598,208.193,174.729,4.06,True,True,True,66.9013,0.710784,11.8489
