space,pair,seed,metric,parameter,importance,q05,q25,median_per_draw,q75,q95
twelve-param,campaign,12,e_reb_mJ,strut_infill_pct,0.08023,0.02294,0.04954,0.07968,0.12237,0.29845
twelve-param,campaign,12,e_reb_mJ,tpu_infill_pct,0.10663,0.00987,0.06693,0.08186,0.10386,0.21863
twelve-param,campaign,12,e_reb_mJ,pla_nozzle_temp_C,0.05848,0.02196,0.03348,0.04835,0.08045,0.18569
twelve-param,campaign,12,e_reb_mJ,pla_flow_mm3_s,0.05149,0.02089,0.02962,0.04719,0.05778,0.11731
twelve-param,campaign,12,e_reb_mJ,tpu_nozzle_temp_C,0.06311,0.01919,0.04198,0.06043,0.09057,0.17490
twelve-param,campaign,12,e_reb_mJ,tpu_flow_mm3_s,0.06844,0.02060,0.02921,0.04875,0.06438,0.15217
shape-only,payload,11,tavg10ms,R_mm,0.07299,0.01765,0.03710,0.06029,0.08507,0.16656
shape-only,payload,11,tavg10ms,H_mm,0.17637,0.03746,0.11384,0.13097,0.18138,0.31034
shape-only,payload,11,tavg10ms,twist_deg,0.16600,0.04962,0.12244,0.14612,0.23889,0.32421
shape-only,payload,11,tavg10ms,strut_d_mm,0.43458,0.15715,0.26566,0.39142,0.52956,0.75017
shape-only,payload,11,tavg10ms,cable_d_mm,0.15006,0.04404,0.09570,0.13533,0.20499,0.41735
shape-only,payload,11,late_avg3ms_g,R_mm,0.36496,0.07508,0.20775,0.35090,0.47189,0.61287
shape-only,payload,11,late_avg3ms_g,H_mm,0.14165,0.03495,0.06534,0.10924,0.19114,0.24810
shape-only,payload,11,late_avg3ms_g,twist_deg,0.18704,0.10581,0.13058,0.14604,0.23420,0.61036
shape-only,payload,11,late_avg3ms_g,strut_d_mm,0.17688,0.06056,0.11373,0.14801,0.20194,0.24255
shape-only,payload,11,late_avg3ms_g,cable_d_mm,0.12947,0.06052,0.08108,0.11680,0.16132,0.24030
shape-only,payload,12,tavg10ms,R_mm,0.07969,0.04377,0.05578,0.08044,0.10347,0.15487
shape-only,payload,12,tavg10ms,H_mm,0.12378,0.03050,0.07881,0.11957,0.15375,0.21326
shape-only,payload,12,tavg10ms,twist_deg,0.11802,0.04649,0.07880,0.11447,0.23599,0.34804
shape-only,payload,12,tavg10ms,strut_d_mm,0.51867,0.27272,0.36940,0.47736,0.59356,0.78984
shape-only,payload,12,tavg10ms,cable_d_mm,0.15985,0.06793,0.08580,0.13363,0.19238,0.27911
shape-only,payload,12,late_avg3ms_g,R_mm,0.29603,0.13623,0.21405,0.23813,0.31259,0.53974
shape-only,payload,12,late_avg3ms_g,H_mm,0.22355,0.05853,0.07287,0.16388,0.36470,0.48425
shape-only,payload,12,late_avg3ms_g,twist_deg,0.16067,0.08292,0.11765,0.14271,0.15695,0.24258
shape-only,payload,12,late_avg3ms_g,strut_d_mm,0.18643,0.07635,0.12322,0.20765,0.25650,0.32029
shape-only,payload,12,late_avg3ms_g,cable_d_mm,0.13332,0.04112,0.07527,0.12452,0.14983,0.34491
