family,target,predictor,rel_span,n,rho,p,r,q
design,e_reb_mJ,tierB_fn_flex_hz,1.1583828404822096,35,0.47366946778711494,0.004599770011499425,0.42054359068348807,0.09659517024148792
design,e_reb_mJ,geom_envelope_cm3,2.0953123650499865,35,0.46442577030812326,0.0058997050147492625,0.47416862545394556,0.09659517024148792
design,e_reb_mJ,tierC_e_rebound,0.013232835329855704,35,-0.434733893557423,0.010049497525123744,-0.6040290201839679,0.09659517024148792
design,e_reb_mJ,nom_R_mm,0.49274884872751123,35,0.4224868513766553,0.01184940752962352,0.48004259335435795,0.09659517024148792
design,e_reb_mJ,tierC_peak_tendon_energy_mJ,2.073695092376502,35,0.396078431372549,0.018549072546372683,0.5792792773777863,0.09659517024148792
design,e_reb_mJ,tierB_t1000,0.9651602330746786,35,-0.3974789915966387,0.018899055047247638,-0.37692219564802204,0.09659517024148792
design,e_reb_mJ,tierB_t180,1.0957306187649942,35,-0.3907563025210084,0.019949002549872506,-0.3830539908199709,0.09659517024148792
design,e_reb_mJ,tierB_out_180_g,1.0924197302885574,35,-0.3907563025210084,0.021648917554122293,-0.383392850385589,0.09659517024148792
design,e_reb_mJ,tierB_zeta_flex_pct,3.8736137458898576,35,-0.38711484593837536,0.022348882555872206,-0.2862140001082535,0.09659517024148792
design,e_reb_mJ,tierC_in_180_g,0.0037223177083897294,35,0.3834733893557423,0.02414879256037198,0.4941218250119808,0.09659517024148792
design,e_reb_mJ,tierC_t1000,0.3710039842746253,35,-0.3280112044817927,0.05364731763411829,-0.30653449422245055,0.18484790046211977
design,e_reb_mJ,tierC_peak_tendon_strain,1.298319826022862,35,0.3252100840336135,0.058297085145742715,0.4337584070096039,0.18484790046211977
design,e_reb_mJ,tierC_t180,0.36694983440481327,35,-0.3170868347338936,0.060996950152492374,-0.31633986892618626,0.18484790046211977
design,e_reb_mJ,tierB_stroke_mm,2.181037770690827,35,0.3159663865546219,0.06469676516174191,0.5134634255590856,0.18484790046211977
design,e_reb_mJ,tierC_out_180_g,0.36359001089850124,35,-0.30392156862745096,0.07374631268436578,-0.3119916305117428,0.1966568338249754
design,e_reb_mJ,nom_cable_d_mm,0.5627139920924215,35,-0.2381201641926399,0.1671416429178541,-0.40051601210621907,0.41785410729463524
design,e_reb_mJ,tierB_peak_tendon_energy_mJ,2.179788056878941,35,0.21988795518207285,0.20028998550072497,0.22412951744832524,0.47127055411935287
design,e_reb_mJ,tierB_peak_tendon_strain,2.1869904393789823,35,0.21512605042016805,0.21383930803459827,0.1536116123339759,0.47519846229910734
design,e_reb_mJ,tierB_e_rebound,0.011708991352704014,35,0.20224089635854342,0.24298785060746964,0.2589390340536055,0.4829758512074396
design,e_reb_mJ,crutch_F_peak_N,0.02483935361332272,35,-0.19523809523809524,0.2589370531473426,-0.19809952536334896,0.4829758512074396
design,e_reb_mJ,nom_H_mm,0.6321630850714506,35,0.19303006620760685,0.2615369231538423,0.013795920441539973,0.4829758512074396
design,e_reb_mJ,tierC_pulse_ms,0.0049205679741317655,35,-0.1953759201681571,0.2656367181640918,-0.21122498197325326,0.4829758512074396
design,e_reb_mJ,tierC_tpu_fraction,1.7871536923631886,35,-0.1854341736694678,0.2833358332083396,-0.3053474152066125,0.4927579707971123
design,e_reb_mJ,lander_SEA_J_per_cm3,3.119876125995768,35,-0.1627450980392157,0.3456827158642068,-0.21763891947760255,0.576137859773678
design,e_reb_mJ,lander_SEA_J_per_g,3.1227598374108223,35,0.13893557422969188,0.4293785310734463,0.29794218346400053,0.6870056497175141
design,e_reb_mJ,crutch_SEA_J_per_g,4.592432440705038,35,0.1288515406162465,0.4590770461476926,0.2288174738947355,0.7062723786887578
design,e_reb_mJ,tierB_fn_hz,2.672087311479835,35,-0.11652661064425772,0.5060246987650617,-0.1903425069884552,0.7261065518152663
design,e_reb_mJ,crutch_F_base_peak_N,0.87989322036381,35,-0.1173669467787115,0.5082745862706864,-0.010653563071086619,0.7261065518152663
design,e_reb_mJ,lander_F_peak_N,0.012950857631322296,35,-0.10224089635854341,0.5540722963851807,-0.1909730415379994,0.7642376501864563
