family,target,predictor,rel_span,n,rho,p,r,q
article,e_reb_mJ,tierC_e_rebound,0.01323055213175547,44,-0.42832980972515855,0.00439978001099945,-0.5257546815595511,0.044193244883210386
article,e_reb_mJ,tierC_peak_tendon_energy_mJ,2.186489297715359,44,0.40620155038759687,0.007799610019499025,0.49735885950892333,0.044193244883210386
article,e_reb_mJ,tierB_t1000,0.989954940985581,44,-0.387737843551797,0.009449527523623819,-0.316426377954776,0.044193244883210386
article,e_reb_mJ,tierC_peak_tendon_strain,1.3488112052467567,44,0.38900634249471455,0.009649517524123795,0.3867905331715572,0.044193244883210386
article,e_reb_mJ,tierB_t180,1.122871145289568,44,-0.36405919661733616,0.015149242537873106,-0.31743449394100487,0.044193244883210386
article,e_reb_mJ,tierB_out_180_g,1.1192822088929961,44,-0.36405919661733616,0.01559922003899805,-0.31756792077790597,0.044193244883210386
article,e_reb_mJ,tierC_in_180_g,0.0037222428189775158,44,0.3620859760394644,0.01574921253937303,0.4245867431635881,0.044193244883210386
article,e_reb_mJ,tierB_fn_flex_hz,1.4779573284079852,44,0.35602536997885836,0.017949102544872756,0.31251547463743984,0.044193244883210386
article,e_reb_mJ,tierC_t1000,0.36744543376831496,44,-0.3417899929527836,0.021698915054247286,-0.2552250673565613,0.044193244883210386
article,e_reb_mJ,tierB_zeta_flex_pct,3.884256813116177,44,-0.3441860465116279,0.022348882555872206,-0.22532624007937183,0.044193244883210386
article,e_reb_mJ,tierB_stroke_mm,2.3276917649252975,44,0.3460183227625088,0.023148842557872105,0.41861764921677797,0.044193244883210386
article,e_reb_mJ,tierC_t180,0.36350175685084946,44,-0.3333333333333333,0.025848707564621768,-0.261237939977451,0.045235238238088095
article,e_reb_mJ,tierC_out_180_g,0.360164672298235,44,-0.32360817477096543,0.03259837008149592,-0.2575031758848865,0.05265890551626265
article,e_reb_mJ,tierB_peak_tendon_strain,2.2197756111306735,44,0.29076814658210004,0.05564721763911804,0.18811168484145144,0.08347082645867707
article,e_reb_mJ,tierB_e_rebound,0.011715930535555124,44,0.2863988724453841,0.06279686015699215,0.23348250717112137,0.08791560421978901
article,e_reb_mJ,tierC_tpu_fraction,1.7175112663559855,44,-0.27034649416387924,0.07304634768261586,-0.27214754046011885,0.09587333133343331
article,e_reb_mJ,tierB_peak_tendon_energy_mJ,2.173909867910325,44,0.2690627202255109,0.07789610519474026,0.23140540656196704,0.09622460053467914
article,e_reb_mJ,tierB_fn_hz,2.783005682756499,44,-0.14869626497533472,0.33153342332883357,-0.17842920290177466,0.3867889938836392
article,e_reb_mJ,tierC_pulse_ms,0.0049211497595346215,44,-0.09539669334169347,0.551722413879306,-0.14127502214244012,0.6097984574455487
article,e_reb_mJ,tierB_zeta_pct,3.1180847688716637,44,0.042142353770260745,0.7871606419679016,0.063615683972361,0.8013599320033998
article,e_reb_mJ,tierC_stroke_mm,2.002305344488734,44,-0.039041578576462295,0.8013599320033998,0.1481472733143341,0.8013599320033998
