target,observable,new_name,rho_n7,p_n7,rho_n35,p_n35,n,rel_span_n35
e_reb_mJ,lander_eta,lander_eta,0.8214,0.0234,-0.01596638655462185,0.9267036648167591,35,0.0016259523159375467
e_reb_mJ,R_mm,nom_R_mm,0.7143,0.0713,0.4224868513766553,0.012599370031498426,35,0.49274884872751123
e_reb_mJ,strut_d_mm,nom_strut_d_mm,0.5714,0.1802,-0.00284550415744604,0.9872006399680016,35,0.6475479671156641
e_reb_mJ,sim_t180,tierC_t180,-0.5357,0.2152,-0.3170868347338936,0.06514674266286685,35,0.36694983440481327
e_reb_mJ,sim_in_180_g,tierC_in_180_g,0.5357,0.2152,0.3834733893557423,0.02449877506124694,35,0.0037223177083897294
e_reb_mJ,sim_out_180_g,tierC_out_180_g,-0.5357,0.2152,-0.30392156862745096,0.07899605019749012,35,0.36359001089850124
e_reb_mJ,crutch_SEA_J_per_cm3,crutch_SEA_J_per_cm3,0.5357,0.2152,-0.002240896358543417,0.9900504974751262,35,4.445642688446959
e_reb_mJ,crutch_SEA_J_per_g,crutch_SEA_J_per_g,0.5,0.2532,0.1288515406162465,0.45627718614069296,35,4.592432440705038
e_reb_mJ,crutch_F_base_peak_N,crutch_F_base_peak_N,0.4286,0.3374,-0.1173669467787115,0.504224788760562,35,0.87989322036381
e_reb_mJ,lander_SEA_J_per_g,lander_SEA_J_per_g,0.4286,0.3374,0.13893557422969188,0.423728813559322,35,3.1227598374108223
e_reb_mJ,sim_pulse_ms,tierC_pulse_ms,-0.4082,0.3632,-0.1953759201681571,0.2673866306684666,35,0.0049205679741317655
e_reb_mJ,lander_SEA_J_per_cm3,lander_SEA_J_per_cm3,0.3929,0.3833,-0.1627450980392157,0.34788260586970654,35,3.119876125995768
e_reb_mJ,crutch_eta,crutch_eta,-0.3214,0.4821,-0.00392156862745098,0.9827508624568772,35,0.02494481909895511
e_reb_mJ,footprint_mm2,geom_footprint_mm2,0.3214,0.4821,0.03165266106442577,0.8589070546472677,35,1.397060761291732
e_reb_mJ,sim_tpu_fraction,tierC_tpu_fraction,-0.25,0.5887,-0.1854341736694678,0.2851857407129644,35,1.7871536923631886
e_reb_mJ,H_mm,nom_H_mm,-0.1429,0.7599,0.19303006620760685,0.26198690065496727,35,0.6321630850714506
e_reb_mJ,crutch_F_peak_N,crutch_F_peak_N,0.1429,0.7599,-0.19523809523809524,0.26198690065496727,35,0.02483935361332272
e_reb_mJ,lander_F_peak_N,lander_F_peak_N,-0.1429,0.7599,-0.10224089635854341,0.5573221338933053,35,0.012950857631322296
e_reb_mJ,twist_deg,nom_twist_deg,0.1071,0.8192,-0.02868557595614154,0.8684065796710164,35,0.7081209792321774
e_reb_mJ,cell_mass_g,geom_cell_mass_g,0.1071,0.8192,0.07254901960784314,0.6772661366931654,35,0.33926011265138983
e_reb_mJ,mass_g,mass_g,0.0714,0.879,0.0946778711484594,0.5950202489875506,35,0.2786388791443238
