target,observable,new_name,rho_n7,p_n7,rho_n35,p_n35,n,rel_span_n35
e_reb_mJ,sim_e_reb_mJ,tierC_e_reb_mJ,0.0714,0.879,0.050700280112044825,0.7738113094345282,35,0.2859944691981999
e_reb_mJ,lander_F_base_peak_N,lander_F_base_peak_N,-0.0714,0.879,-0.00980392156862745,0.9550022498875056,35,0.011061116804804755
e_reb_mJ,sim_e_rebound,tierC_e_rebound,-0.0357,0.9394,-0.434733893557423,0.00974951252437378,35,0.013232835329855704
e_reb_mJ,envelope_cm3,geom_envelope_cm3,-0.0357,0.9394,0.46442577030812326,0.0047997600119994,35,2.0953123650499865
e_reb_mJ,cable_d_mm,nom_cable_d_mm,0.0,1.0,-0.2381201641926399,0.17229138543072847,35,0.5627139920924215
t180,lander_SEA_J_per_cm3,lander_SEA_J_per_cm3,-0.9286,0.0025,0.11792717086834735,0.5011749412529374,35,3.119876125995768
t180,sim_in_180_g,tierC_in_180_g,-0.8929,0.0068,-0.5285714285714287,0.0008499575021248938,35,0.0037223177083897294
t180,crutch_SEA_J_per_cm3,crutch_SEA_J_per_cm3,-0.8929,0.0068,-0.06526610644257703,0.7075646217689116,35,4.445642688446959
t180,lander_SEA_J_per_g,lander_SEA_J_per_g,-0.8929,0.0068,-0.24929971988795518,0.14994250287485625,35,3.1227598374108223
t180,crutch_SEA_J_per_g,crutch_SEA_J_per_g,-0.8571,0.0137,-0.342296918767507,0.04574771261436928,35,4.592432440705038
t180,H_mm,nom_H_mm,0.7857,0.0362,0.02122167896559533,0.9027548622568872,35,0.6321630850714506
t180,footprint_mm2,geom_footprint_mm2,-0.75,0.0522,-0.23641456582633055,0.17369131543422828,35,1.397060761291732
t180,lander_eta,lander_eta,-0.7143,0.0713,-0.10952380952380952,0.5249737513124344,35,0.0016259523159375467
t180,lander_F_peak_N,lander_F_peak_N,0.5357,0.2152,0.3669467787114846,0.031998400079996,35,0.012950857631322296
t180,sim_t180,tierC_t180,0.5,0.2532,0.5187675070028012,0.0011499425028748563,35,0.36694983440481327
t180,sim_out_180_g,tierC_out_180_g,0.5,0.2532,0.49971988795518213,0.0026998650067496625,35,0.36359001089850124
t180,cell_mass_g,geom_cell_mass_g,0.4643,0.2939,0.2028011204481793,0.23613819309034548,35,0.33926011265138983
t180,envelope_cm3,geom_envelope_cm3,0.4643,0.2939,-0.565546218487395,0.00044997750112494374,35,2.0953123650499865
t180,mass_g,mass_g,0.4286,0.3374,0.11036414565826332,0.5222738863056847,35,0.2786388791443238
t180,sim_e_reb_mJ,tierC_e_reb_mJ,0.4286,0.3374,0.19607843137254907,0.25638718064096794,35,0.2859944691981999
t180,sim_pulse_ms,tierC_pulse_ms,0.4082,0.3632,0.2155872222545182,0.22178891055447228,35,0.0049205679741317655
t180,lander_F_base_peak_N,lander_F_base_peak_N,0.3214,0.4821,0.15434173669467788,0.37893105344732764,35,0.011061116804804755
t180,strut_d_mm,nom_strut_d_mm,-0.2857,0.5345,0.015365722450208617,0.9295535223238838,35,0.6475479671156641
t180,crutch_F_base_peak_N,crutch_F_base_peak_N,0.25,0.5887,0.03613445378151261,0.8370581470926454,35,0.87989322036381
t180,twist_deg,nom_twist_deg,-0.2143,0.6445,-0.23929418284656928,0.16579171041447927,35,0.7081209792321774
t180,cable_d_mm,nom_cable_d_mm,0.2143,0.6445,0.7289021819942643,4.999750012499375e-05,35,0.5627139920924215
t180,sim_tpu_fraction,tierC_tpu_fraction,0.2143,0.6445,0.5131652661064426,0.00199990000499975,35,1.7871536923631886
t180,crutch_F_peak_N,crutch_F_peak_N,0.2143,0.6445,0.014565826330532215,0.9319034048297585,35,0.02483935361332272
t180,R_mm,nom_R_mm,-0.1071,0.8192,-0.3990576201515906,0.018249087545622718,35,0.49274884872751123
t180,crutch_eta,crutch_eta,-0.1071,0.8192,0.19215686274509805,0.26528673566321687,35,0.02494481909895511
t180,sim_e_rebound,tierC_e_rebound,0.0714,0.879,0.6815126050420169,4.999750012499375e-05,35,0.013232835329855704
