family,target,predictor,rel_span,n,rho,p,r,q
process,t180,strut_infill_pct,1.036649214659686,18,-0.1316073482384047,0.6016199190040498,0.006044587269866793,0.7219439028048598
process,t180,tpu_infill_pct,0.8627450980392157,18,0.017746472619305478,0.9417029148542573,0.000829964462267227,0.9417029148542572
process,t180,pla_nozzle_temp_C,0.040632054176072234,18,-0.20345597929769127,0.43972801359932,-0.4216051167724313,0.65959202039898
process,t180,tpu_nozzle_temp_C,0.03333333333333333,18,0.20345597929769127,0.4312284385780711,0.4216051167724313,0.65959202039898
process,t180,pla_flow_mm3_s,0.36,18,-0.20345597929769127,0.4352782360881956,-0.4216051167724313,0.65959202039898
process,t180,tpu_flow_mm3_s,0.3225806451612903,18,0.20345597929769127,0.43742812859357033,0.4216051167724313,0.65959202039898
process,e_reb_mJ,strut_infill_pct,1.036649214659686,18,0.08808365826979841,0.7259637018149092,-0.05288215095313197,0.9343032848357581
process,e_reb_mJ,tpu_infill_pct,0.8627450980392157,18,0.1576304332655957,0.5330233488325584,0.25130470196537896,0.9343032848357581
process,e_reb_mJ,pla_nozzle_temp_C,0.040632054176072234,18,-0.032124628310161774,0.9318534073296335,0.16155350721304138,0.9343032848357581
process,e_reb_mJ,tpu_nozzle_temp_C,0.03333333333333333,18,0.032124628310161774,0.9343032848357582,-0.16155350721304138,0.9343032848357581
process,e_reb_mJ,pla_flow_mm3_s,0.36,18,-0.032124628310161774,0.9311034448277586,0.16155350721304138,0.9343032848357581
process,e_reb_mJ,tpu_flow_mm3_s,0.3225806451612903,18,0.032124628310161774,0.9323533823308835,-0.16155350721304138,0.9343032848357581
process,fn_hz,strut_infill_pct,1.036649214659686,18,-0.06528553495290942,0.7977101144942753,-0.019476072075999745,0.7977101144942753
process,fn_hz,tpu_infill_pct,0.8627450980392157,18,0.2359236948213551,0.34113294335283234,0.2878739556529458,0.4093595320233988
process,fn_hz,pla_nozzle_temp_C,0.040632054176072234,18,0.5889515190196326,0.013499325033748313,0.41584866857076364,0.022123893805309734
process,fn_hz,tpu_nozzle_temp_C,0.03333333333333333,18,-0.5889515190196326,0.014749262536873156,-0.41584866857076364,0.022123893805309734
process,fn_hz,pla_flow_mm3_s,0.36,18,0.5889515190196326,0.013949302534873257,0.41584866857076364,0.022123893805309734
process,fn_hz,tpu_flow_mm3_s,0.3225806451612903,18,-0.5889515190196326,0.01384930753462327,-0.41584866857076364,0.022123893805309734
process,zeta_pct,strut_infill_pct,1.036649214659686,18,0.050777638296707325,0.8368081595920204,0.13860542362989633,0.8368081595920204
process,zeta_pct,tpu_infill_pct,0.8627450980392157,18,-0.19312337850420666,0.4438278086095695,-0.15412209235191088,0.5903704814759262
process,zeta_pct,pla_nozzle_temp_C,0.040632054176072234,18,0.18203956042425007,0.49007549622518876,0.2050819149138489,0.5903704814759262
process,zeta_pct,tpu_nozzle_temp_C,0.03333333333333333,18,-0.18203956042425007,0.4919754012299385,-0.2050819149138489,0.5903704814759262
process,zeta_pct,pla_flow_mm3_s,0.36,18,0.18203956042425007,0.48697565121743913,0.2050819149138489,0.5903704814759262
process,zeta_pct,tpu_flow_mm3_s,0.3225806451612903,18,-0.18203956042425007,0.4858757062146893,-0.2050819149138489,0.5903704814759262
