arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
41_0,corny7,e_reb_mJ_per_g,0.47740,0.04390,0.78756,0.20684
41_0,corny7,t180_per_g,0.04093,0.00003,0.04881,0.00071
42_0,corny8,e_reb_mJ_per_g,0.89310,0.05907,0.42368,0.09737
42_0,corny8,t180_per_g,0.04855,0.00003,0.04468,0.00258
43_0,corny9,e_reb_mJ_per_g,0.92979,0.04580,0.40710,0.18005
43_0,corny9,t180_per_g,0.04505,0.00004,0.05144,0.00444
4_0,bag26v,e_reb_mJ_per_g,0.36016,0.00769,0.43420,0.23240
4_0,bag26v,t180_per_g,0.04956,0.00002,0.05138,0.00638
5_0,bpx68c,e_reb_mJ_per_g,0.30551,0.00692,0.48154,0.25147
5_0,bpx68c,t180_per_g,0.04998,0.00001,0.05139,0.00578
6_0,nvxsrv,e_reb_mJ_per_g,0.39700,0.00894,0.45297,0.23811
6_0,nvxsrv,t180_per_g,0.04974,0.00002,0.05222,0.00635
7_0,ajhby6,e_reb_mJ_per_g,0.29711,0.00668,0.45721,0.20380
7_0,ajhby6,t180_per_g,0.04933,0.00002,0.05223,0.00634
8_0,r2d2c1,e_reb_mJ_per_g,0.30780,0.00753,0.45649,0.17717
8_0,r2d2c1,t180_per_g,0.05130,0.00002,0.05178,0.00674
9_0,r2d2c2,e_reb_mJ_per_g,0.31317,0.00839,0.42756,0.15216
9_0,r2d2c2,t180_per_g,0.05797,0.00019,0.05249,0.00579
