specimen,n_valid,dv_health,t180_mean,t180_sd,t1000_mean,t1000_sd,out_180_g_mean,out_180_g_sd,in_180_g_mean,in_180_g_sd,in_dv_ms_mean,in_dv_ms_sd,t_second_ms_mean,t_second_ms_sd,e_rebound_mean,e_rebound_sd,fn_hz_mean,fn_hz_sd,zeta_pct_mean,zeta_pct_sd,H_mm,R_mm,cable_d_mm,mass_g,spec,strut_d_mm,twist_deg
6lhxfy,101,healthy,0.8930777877843858,0.0041554419379889575,0.9126730324377276,0.013156322051143256,200.0408277395844,4.6514371915461785,224.01245885825833,5.995658100190466,5.3720484060381635,0.09347515676322331,55.178585858587184,0.8852545005920192,0.05037622154824482,0.001053399671249343,368.3766929752503,17.11345069852911,10.146626604741746,0.9777540895501612,68.08,28.72,2.55,18.5,01,9.24,77.4
6nheas,101,settled,0.9970082901461372,0.003207516663694638,0.9963143640828661,0.0052552248563551155,226.34077340065016,1.4388616382651154,227.02267034032062,1.6728742296785994,5.259208770534627,0.03537272254541915,43.16525252525357,0.2734897059374737,0.0402459500191387,0.00035317357552015337,321.99195771799134,2.4244345791690534,19.309100372688224,1.0854711664681347,65.99,37.89,4.23,21.73,05,6.74,53.0
9hhbkp,101,healthy,1.0183360091957676,0.0017250546414746579,1.0282110110242726,0.016375612461266564,236.08335351096358,2.8312331123551147,231.8301559254594,2.546053534856611,5.450579779777187,0.04702785819551885,23.898181818182394,0.3626781438032697,0.021501191564831074,0.0004223148252985576,364.0882452756041,2.54507787057255,11.213840199194125,0.7839554085986238,76.16,27.3,4.58,21.62,00,6.7,59.8
amdjwm,101,settled,0.9804953200642735,0.0025086938801843406,1.0070155415571158,0.007473092335142663,198.6387008745415,3.79917949231515,202.59422942932696,4.061873527374104,5.26116704531628,0.02552003165841008,31.772929292930055,15.703284022356534,0.029617813670512614,0.014657344889802065,455.1422842666137,4.532342201263233,9.63775574988539,0.6649355573666423,,,,,,,
autv5r,103,healthy,1.0404303364999212,0.0034860594249567444,1.1362007153698894,0.03927105639195821,230.91710475353838,5.721327893405877,221.94400554421162,5.449419506227793,5.337817923461658,0.11701922972890345,29.166138613862095,0.31994677775227615,0.026809568094695868,0.0008303294078450853,385.715264593775,20.860866998795554,6.380085566114936,1.4104910902589483,93.5,36.44,3.67,22.04,02,6.61,47.7
bag26v,101,settled,1.0616197738255833,0.005120088805960115,1.24170361731896,0.02589305647684123,217.46175225391914,2.4155740710819336,204.8480728291229,2.7799013404955963,5.030191859399339,0.04121232397538948,24.72181818181878,0.27026956927152374,0.024098126939451275,0.00014776541571291332,,,,,104.86,30.17,3.32,21.42,08,6.45,63.8
bpx68c,101,healthy,1.011071663223434,0.002360134138429698,1.0665486364173136,0.005453243580374662,210.5528859406069,1.9716248454232086,208.24516282501168,1.635683605699002,5.301694173138132,0.029947374801385162,22.101212121212658,0.29290686939246646,0.020441750968265716,0.0003314027432393651,467.5722992210511,,16.72640738125103,,80.77,28.85,3.46,20.23,S0,6.92,60.0
nvxsrv,101,healthy,1.0275491969473938,0.004379252515833502,1.2299125486643814,0.014877148369985962,235.36182942592066,1.5894322058360262,229.0532904567841,1.483708969623574,5.326888620354981,0.04459251762089962,28.85797979798049,1.2518215134868893,0.026563564438830085,0.0011326077036406634,294.2530703381057,20.921403962842273,31.04212539503506,2.3599355534097692,85.68,22.72,3.7,20.66,04,7.64,70.4
