strategy,seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,print_scale,ok,hv,best_t180,best_e_reb_mJ
lhs,8,0,0,27.780428218081017,73.90655993980843,54.09032129057165,9.36857517736333,5.161812742243319,0.734643126069616,195.36381818718436,21.294470801998013,0.8603344712479817,True,2.927957712078748,0.734643126069616,195.36381818718436
lhs,8,0,1,31.087047997275334,92.72516406510724,68.47472344101183,10.315507733921205,4.216738510127589,0.7826197663524211,182.44848108893305,19.89544615326654,0.793761891807213,True,4.0328419877971955,0.734643126069616,182.44848108893305
lhs,8,0,2,25.31610327288138,87.42063159923454,42.01696493685065,6.134355908515948,3.568484189572568,0.7670167142699006,196.40953371933912,21.407632201437835,1.0797921531017223,True,4.0328419877971955,0.734643126069616,182.44848108893305
lhs,8,0,3,29.40708992160657,88.81122152061357,58.232330164705104,9.732621283990257,4.482857081454154,0.7702073665847078,186.75528258673265,20.36161675500096,0.8208474125966964,True,4.139694573084594,0.734643126069616,182.44848108893305
lhs,8,0,4,31.70360150814645,80.62471373338616,50.69845874617511,11.119229893748198,4.596056801921913,0.7166293424643093,182.84797292927954,19.94798661206159,0.7766043339042771,True,5.253777443718232,0.7166293424643093,182.44848108893305
lhs,8,0,5,39.924352526098865,73.34073808152972,67.34076587768186,9.8972120092655,3.3852592688314482,0.6387829197763507,178.5831328049481,19.500608444520434,0.8742575986068855,True,8.87923660690357,0.6387829197763507,178.5831328049481
lhs,8,0,6,29.746945555178552,83.30130557581477,79.8511254091118,7.111785103881374,5.284992469893879,0.7883467626189075,212.59199852084495,23.157793689966837,0.9363449480685462,True,8.87923660690357,0.6387829197763507,178.5831328049481
lhs,8,0,7,35.680900035555084,62.138639850708394,78.09001261790053,6.522162521777432,5.357511413019676,0.6722485696435779,223.28944422069978,24.338501881289528,1.01519091362001,True,8.87923660690357,0.6387829197763507,178.5831328049481
lhs,8,0,8,38.768293370555874,103.44430357608977,58.90136266814093,10.813537148450285,4.918401266965396,0.738713404990503,186.7328003940525,20.36800332657704,0.7239431854560154,True,8.87923660690357,0.6387829197763507,178.5831328049481
lhs,8,1,9,28.540727495039548,83.96218963608544,62.98774338908527,7.258349287319234,4.8558222671805105,0.7666783680411644,205.54187092705885,22.397615331709993,0.9453576954833856,True,8.87923660690357,0.6387829197763507,178.5831328049481
