strategy,n_seeds,budget,final_hv_mean,final_hv_sd,best_t180_mean,best_t180_sd,best_e_reb_mJ_mean,best_e_reb_mJ_sd,hv_frac_of_reference,mannwhitney_p_vs_bo
botorch,10,36,17.510511362615095,0.2708003576946852,0.4983418757399625,0.006411110128633733,169.5290693448556,0.42115439264797316,0.9715108390265809,
random,10,36,10.860216007857318,1.1532566650007114,0.5972466595822917,0.026469074465923458,172.29892541294322,1.3695678040508121,0.6025419445105036,9.133589555477501e-05
sobol,10,36,11.816070024266415,1.1653014618432946,0.5789808261819147,0.023883514210184396,172.172113027561,1.1257554603878461,0.6555742357005334,9.133589555477501e-05
lhs,10,36,11.658924528006494,1.6243260936934234,0.5864342495626217,0.032267411904894294,171.99887246764337,2.0372674102534445,0.646855555260014,9.133589555477501e-05
heuristic,10,36,11.936788025697176,2.079671312160383,0.5742498344536096,0.04058181567894032,174.2349509136779,3.8906349903048056,0.6622718611682854,9.133589555477501e-05
