seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,hv,best_t180,best_e_reb_mJ
0,0,0,32.12660789489746,89.62619960308075,59.779168367385864,7.883110463619232,5.390229552984238,0.7485380045532728,206.94490156189534,22.55278496669761,1.2378233390373,0.7485380045532728,206.94490156189534
0,0,1,33.78421091474593,80.08363888598979,77.40803673863411,10.871692322194576,3.0002933759242296,0.739019846091753,172.2524640331251,18.79305656926352,5.816772923005988,0.739019846091753,172.2524640331251
0,0,2,38.966525895521045,99.9949629791081,47.69145276397467,7.0736855417490005,3.924100966658443,0.6957186155812868,195.36974299337538,21.312572033517228,6.766033626959524,0.6957186155812868,172.2524640331251
0,0,3,25.12244868092239,72.05869475379586,65.12134216725826,10.178905690088868,4.664013741537929,0.7731806751957813,187.0490951272148,20.386584561958887,6.766033626959524,0.6957186155812868,172.2524640331251
0,0,4,27.61138922534883,104.13039973005652,70.44321060180664,9.281588517129421,4.492183008231223,0.8268265219233334,188.33016585761317,20.52347883837295,6.766033626959524,0.6957186155812868,172.2524640331251
0,0,5,36.3001315202564,63.22969211265445,52.993954457342625,6.45712129957974,4.055047663394362,0.5837234236216823,204.75664171318545,22.34942965311235,8.16993348457374,0.5837234236216823,172.2524640331251
0,0,6,35.98206919617951,96.44641791470349,62.10553474724293,11.662046933546662,3.4949190141633153,0.7461734672093839,173.43936566552682,18.922586957072696,8.16993348457374,0.5837234236216823,172.2524640331251
0,0,7,30.10663111694157,74.81985044665635,44.45729922503233,8.580316498875618,4.937708689365536,0.6936711245316627,197.26271421783014,21.50839059994239,8.18527723404701,0.5837234236216823,172.2524640331251
0,0,8,29.020748967304826,100.86626339703798,63.76237489283085,6.198995551094413,3.196876951958984,0.8000022381423572,191.25227090480365,20.850275554926178,8.18527723404701,0.5837234236216823,172.2524640331251
0,1,9,40.0,60.0,40.0,10.738303389895867,3.0,0.5039242748285138,172.42184346520736,18.8300342183275,16.36554800622403,0.5039242748285138,172.2524640331251
0,1,10,40.0,60.0,67.49129187949057,11.614576036050218,3.0,0.5695880464183933,172.1821279517566,18.8032779700784,16.4152472121395,0.5039242748285138,172.1821279517566
0,1,11,40.0,60.0,40.0,7.823967481798647,3.0,0.49352593457605276,181.32577434065922,19.805845680966005,16.789236264142122,0.49352593457605276,172.1821279517566
0,1,12,36.40794560507653,79.12062097360625,40.0,10.739505551940091,3.0,0.6375753347786148,171.7042102166346,18.741013970840214,16.89944058844047,0.49352593457605276,171.7042102166346
0,1,13,35.50877886165098,60.0,40.0,11.835836283820468,3.0,0.5540916306502851,170.21602506767846,18.587537997776025,17.410457451003886,0.49352593457605276,170.21602506767846
0,1,14,40.0,60.0,40.0,6.0,3.0,0.4944782106952084,192.19698120963048,20.99305284516047,17.410457451003886,0.49352593457605276,170.21602506767846
0,1,15,40.0,60.0,40.0,9.306045709631077,3.0,0.49949678149813975,175.9480366755015,19.216227333688092,17.434267348648874,0.49352593457605276,170.21602506767846
0,1,16,40.0,60.0,80.0,12.0,3.0,0.5955573335170089,172.0010431470533,18.78111306916861,17.434267348648874,0.49352593457605276,170.21602506767846
0,1,17,40.0,60.0,60.25015664682414,9.965647840382811,3.0,0.5487968548324323,175.46659398920707,19.165064015284678,17.434267348648874,0.49352593457605276,170.21602506767846
0,2,18,40.0,60.0,40.0,12.0,3.0,0.5072164141941127,170.20073164004285,18.584970474344043,17.543185750453528,0.49352593457605276,170.20073164004285
0,2,19,40.0,60.0,40.0,12.0,3.975124929509251,0.5118345447148188,176.62124119454822,19.299470320967462,17.543185750453528,0.49352593457605276,170.20073164004285
0,2,20,37.707853291140204,60.0,40.0,12.0,3.0,0.5307087672585089,170.08361936564398,18.572577653252324,17.582706368716778,0.49352593457605276,170.08361936564398
0,2,21,40.0,60.0,40.0,12.0,3.4459656678689226,0.5094170374154801,172.99330139618186,18.897765610408257,17.582706368716778,0.49352593457605276,170.08361936564398
0,2,22,36.50418459792799,60.0,40.0,12.0,3.0,0.5435301638017518,170.02048589417717,18.565813705946866,17.603201882285447,0.49352593457605276,170.02048589417717
0,2,23,38.85073675038074,60.0,40.0,12.0,3.0,0.518832691629167,170.14256453609235,18.578837434171984,17.603892679211103,0.49352593457605276,170.02048589417717
0,2,24,40.0,60.0,40.0,12.0,4.374695061453125,0.5577075248164708,179.54226984345758,19.619558195161357,17.603892679211103,0.49352593457605276,170.02048589417717
0,2,25,40.0,60.0,40.0,12.0,5.5,0.6710530319856863,188.2676045952992,20.56533777399312,17.603892679211103,0.49352593457605276,170.02048589417717
0,2,26,40.0,66.64758057723186,40.0,12.0,3.0,0.5446272872146657,170.02846470613517,18.562988327742143,17.603892679211103,0.49352593457605276,170.02048589417717
0,3,27,38.16076763023211,61.9991416401141,40.0,12.0,3.0,0.5375593168990039,170.0535706024582,18.568228062108822,17.604072095775702,0.49352593457605276,170.02048589417717
