seed,final_hv_blind_step025,final_hv_blind_step035,final_hv_original
0,13.211210149160552,15.427663517403746,11.2654
1,11.11502206455006,12.215043775195134,13.2413
2,10.241556339113751,11.221073380217524,15.9884
3,13.395670996033372,13.888640934647626,15.5302
4,10.635646193902472,10.998010539421628,12.1697
5,11.04354398512192,11.706342209905756,16.6469
6,14.707827201873975,14.774548677171747,14.3073
7,9.150576020810544,10.911394999799697,16.9853
8,10.514252833181663,11.27452577395666,14.489
9,15.352574473223456,15.464782733021591,14.2768
