strategy,seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,print_scale,ok,hv,best_t180,best_e_reb_mJ
sobol,0,0,0,37.7587820077315,106.56830024905503,54.508703611791134,8.187300961464643,3.3498636675067246,0.7401185581835884,182.2323024892135,19.88043159496531,0.8762528577312478,True,4.489374696508447,0.7401185581835884,182.2323024892135
sobol,0,0,1,25.501292808912694,74.25556703470647,65.12327421456575,10.471983790397644,4.811533945146948,0.7765945216352762,187.09932609414182,20.391160720622604,0.8309195983766001,True,4.489374696508447,0.7401185581835884,182.2323024892135
sobol,0,0,2,31.16182927042246,92.55501165986061,46.833085268735886,6.515905469655991,5.457536712754518,0.7383163749002559,217.7929408328242,23.73186347510976,0.9187121067644046,True,4.489374696508447,0.7383163749002559,182.2323024892135
sobol,0,0,3,35.78689333982766,60.046966690570116,73.69729064404964,11.756631921976805,3.956646262202412,0.632168896027068,178.88917066791518,19.536993359644317,0.833807722323481,True,9.06303331239745,0.632168896027068,178.88917066791518
sobol,0,0,4,34.11029818467796,87.72439019754529,60.65514259040356,10.60051853209734,3.678102243691683,0.7334804401395134,177.3622653201085,19.353757053185074,0.7996928405709688,True,9.26868846783146,0.632168896027068,177.3622653201085
sobol,0,0,5,29.352952148765326,68.4731325507164,58.77171769738197,6.933767784386873,5.179078301414847,0.7065694648641594,213.23708782236102,23.243154328330625,0.9932492479139777,True,9.26868846783146,0.632168896027068,177.3622653201085
sobol,0,0,6,27.573784696869552,98.51502030156553,78.0183370783925,9.353928107768297,4.53341855853796,0.8290395705825503,188.70791474676838,20.564431239734294,0.8182428682398372,True,9.26868846783146,0.632168896027068,177.3622653201085
sobol,0,0,7,39.6989917056635,79.4590758997947,42.38512512296438,8.543610848486423,3.07166207768023,0.6082728861197166,178.4498421605888,19.482985913273765,0.9206101254431065,True,10.24137010583479,0.6082728861197166,177.3622653201085
sobol,0,0,8,38.28642936423421,96.13397660665214,75.22903189063072,7.337269920855761,4.602785000577569,0.7455606355860949,203.48473394950926,22.184556807156476,0.9067563057816516,True,10.24137010583479,0.6082728861197166,177.3622653201085
sobol,0,1,9,28.043353399261832,66.16648406721652,44.59337554872036,11.122590221464634,3.609864853322506,0.6847072490490592,175.17110781789523,19.12207549007109,0.8425187670803994,True,10.69640609970892,0.6082728861197166,175.17110781789523
sobol,0,1,10,29.82477438170463,107.21758207306266,63.45177199691534,8.680545754730701,4.2142042722553015,0.8095018045517666,188.46934754035914,20.54307277672487,0.8328425066835019,True,10.69640609970892,0.6082728861197166,175.17110781789523
sobol,0,1,11,32.69914537202567,77.05477628856897,56.565908677875996,9.416050303727388,5.246344555169344,0.7017992873326395,196.71364415279015,21.448431798315212,0.8371032440346505,True,10.69640609970892,0.6082728861197166,175.17110781789523
sobol,0,1,12,34.376190579496324,102.69823897629976,49.00227326899767,9.751857966184616,4.899545250926167,0.7497806645348946,190.1752264330291,20.73620138887761,0.7672660898062256,True,10.69640609970892,0.6082728861197166,175.17110781789523
sobol,0,1,13,31.633200556971133,84.22972237691283,70.86892303079367,7.583003472536802,3.8673193608410656,0.7558410648302342,192.25435110151892,20.966016412285118,0.9693622168438465,True,10.69640609970892,0.6082728861197166,175.17110781789523
sobol,0,1,14,25.97131268121302,88.58728901483119,52.34195701777935,11.514079492539167,3.2633235626854002,0.7883357378241385,171.59155569482382,18.713804066688212,0.7732430373497149,True,10.98216984327012,0.6082728861197166,171.59155569482382
sobol,0,1,15,36.34576939046383,70.3140841703862,67.95896604657173,6.207517862319946,4.25632991315797,0.648141523963299,210.44777586128436,22.95342089139254,1.0715115465642497,True,10.98216984327012,0.6082728861197166,171.59155569482382
sobol,0,1,16,36.860307031311095,90.56285940110683,43.40534910559654,9.065284665673971,4.040077623911202,0.68321685495889,185.43530255898304,20.23728955015882,0.8419083256713236,True,10.98216984327012,0.6082728861197166,171.59155569482382
sobol,0,1,17,26.603015302680433,71.50538856163621,76.53909049928188,8.281471565365791,5.35176847781986,0.7784617681730516,204.78166624292854,22.309128131509894,0.9208394738198933,True,10.98216984327012,0.6082728861197166,171.59155569482382
sobol,0,2,18,32.20633175224066,101.54956345446408,55.416903756558895,10.724961385130882,4.747614764608443,0.775293179203109,184.90418641144817,20.16070609534287,0.740681541254465,True,10.98216984327012,0.6082728861197166,171.59155569482382
sobol,0,2,19,35.06648709066212,82.29678086005151,64.8010103777051,6.985104706138372,3.397019083611667,0.7068451334603203,190.5235189602142,20.789369083626774,1.0292677054482293,True,10.98216984327012,0.6082728861197166,171.59155569482382
sobol,0,2,20,33.008576137945056,109.9814537819475,72.05154199153185,6.652205877006054,3.1185033819638193,0.8027003267151634,187.40228163514098,20.433146834652447,0.9912812883185628,True,10.98216984327012,0.6082728861197166,171.59155569482382
sobol,0,2,21,30.251427572220564,77.47188200242817,47.68785651773214,11.8195517398417,4.469166192691773,0.715013341363259,179.6068097292298,19.59641217227405,0.7625815489886602,True,10.98216984327012,0.6082728861197166,171.59155569482382
sobol,0,2,22,28.29419049900025,95.77208826318383,69.1024111956358,7.887077573686838,5.073662334587425,0.804793439655328,202.804939868815,22.09404717502614,0.8720258439229355,True,10.98216984327012,0.6082728861197166,171.59155569482382
sobol,0,2,23,38.65448877681047,63.45782972872257,50.98851278424263,10.197989903390408,3.7619049469940364,0.5656318975961188,180.52963928063372,19.721811059671047,0.8668911169114344,True,12.549753244804982,0.5656318975961188,171.59155569482382
sobol,0,2,24,39.12585327401757,99.6643633954227,66.31310310214758,11.404237870126963,5.318819991778582,0.7407433388076073,188.3351249913503,20.540667178418918,0.7054238008265019,True,12.549753244804982,0.5656318975961188,171.59155569482382
