print_id,batch,design,source_trial,R_print_mm,H_print_mm,twist_deg,strut_d_print_mm,cable_d_print_mm,mass_g,nom_R_mm,nom_H_mm,nom_twist_deg,nom_strut_d_mm,nom_cable_d_mm,tierC_t180,tierC_e_rebound,tierC_e_reb_mJ,tierC_in_180_g,tierC_out_180_g,tierC_pulse_ms,tierC_t1000,tierC_peak_tendon_strain,tierC_peak_tendon_energy_mJ,tierC_stroke_mm,tierC_mass_printed_g,tierC_mass_flat_model_g,tierC_mass_solid_g,tierC_tpu_fraction,tierC_v_rebound_mps,tierB_t180,tierB_t1000,tierB_in_180_g,tierB_out_180_g,tierB_e_rebound,tierB_e_reb_mJ,tierB_peak_tendon_strain,tierB_peak_tendon_energy_mJ,tierB_stroke_mm,tierB_fn_hz,tierB_zeta_pct,tierB_ringdown_r2,tierB_ringdown_dominant_frac,tierB_fn_flex_hz,tierB_zeta_flex_pct,tierB_ringdown_flex_r2,tierB_flex_dominant_frac
9hhbkp,seed,9hhbkp,,27.299,76.157,59.7792,6.698,4.58,21.62,32.1266,89.6262,59.7792,7.8831,5.3902,0.8315948648226167,0.6145437295878938,198.5702231977971,208.07691668000302,173.03569539921398,4.0600000000000005,0.8406317224614682,0.1063364863461418,62.5319462066074,7.090358661992618,21.62,21.248301819258767,29.1595989481904,0.38881183523574825,3.2570817668158374,0.7651974925314707,0.7911691037305348,207.4977314451319,158.77674380778345,0.6151334574766457,198.76077497280903,0.10145987081200775,83.17460820521819,43.92623809100886,237.57299689768809,1.5824242405300413,0.874146240126774,0.9444563439311832,237.59575090185174,1.5625782012336304,0.8764519559759634,0.9997060221960333
6lhxfy,seed,6lhxfy,,28.722,68.084,77.408,9.243,2.551,18.5,33.7842,80.0836,77.408,10.8717,3.0003,0.7515981425516903,0.6101650572243514,168.70373741675246,208.38997400114926,156.6255173856588,4.0600000000000005,0.7546259094394158,0.27563794544056186,159.07169424269546,14.028982411183943,18.5,20.152480855270028,33.18852020239829,0.10026697268921154,3.2338748032890625,0.5118104558928994,0.5666383988321028,208.217088712157,106.56768309846134,0.6163070857735465,170.4019388448762,0.23343415347765953,151.70397684964954,72.23305137765435,28.56995838766156,10.36502704293405,0.49343188366700774,0.7231833777043649,441.328840802172,0.37351592007173734,0.278480894053202,0.8282163233954192
autv5r,seed,autv5r,,36.436,93.502,47.6915,6.614,3.669,22.04,38.9665,99.995,47.6915,7.0737,3.9241,0.7976288517623484,0.6106648789241786,201.15006440554706,208.25270011348303,166.10836206792615,4.0600000000000005,0.7985905376707566,0.16302647062058487,137.42649428909127,12.517193476045241,22.04,21.540852341075166,31.2817130150225,0.29360680212988766,3.236523858298147,0.6598318193002279,0.6734177416330319,207.87406230549237,137.16192071636198,0.6168119692661125,203.17488630191195,0.12005700258018738,104.52818664408832,57.12407666638905,161.68955341343047,1.467321061652125,0.7973535559775664,0.9838913041592926,162.52131659489643,1.5391486279273559,0.7738758426771754,0.9998806602371075
ebdna8,seed,ebdna8,,21.703,62.251,65.1213,8.794,4.029,19.61,25.1224,72.0587,65.1213,10.1789,4.664,0.8335152270317224,0.6148528168182417,180.19984092195313,208.1018109644515,173.45602821174737,4.08,0.844051143803599,0.12811731694057618,54.511671198388335,7.089927486012927,19.61,21.02696063236299,31.922973627847,0.22251307969303483,3.2587199291366806,0.5145030594070229,0.5621448065699217,208.13795336014252,107.08761378250956,0.6144253381574267,180.07455632608026,0.1436472472367781,94.9388120304116,38.05669960998026,21.120504614685498,32.309385369763994,0.9006627661402555,0.44402371156269993,151.5065193181323,12.169738680615943,0.7704721185219306,0.42070955787454706
nvxsrv,seed,nvxsrv,,22.718,85.675,70.4432,7.637,3.696,20.66,27.6114,104.1304,70.4432,9.2816,4.4922,0.7669506566107824,0.6149373044955931,189.8745683648222,208.02167847886318,159.5423628986412,4.08,0.7595293751816322,0.14620726175330595,54.73688762598227,5.756810719332845,20.66,21.72314542398578,32.75956864150438,0.2330365996878828,3.2591677138266437,0.800516085649931,0.8594230695535969,207.66862311547567,166.24207328871137,0.6162266093653747,190.2726678195971,0.16582074806510533,64.6788340503886,32.56568892028741,323.41742798092037,1.1087115905437859,0.8116493458983458,0.7007314284409806,323.41742798092037,1.1087115905437859,0.8116493458983458,0.994599426248114
6nheas,seed,6nheas,,37.885,65.99,52.994,6.739,4.232,21.73,36.3001,63.2297,52.994,6.4571,4.055,0.8151722513481122,0.6102791782723203,198.1955602511962,208.37791400188325,169.86389328813848,4.0600000000000005,0.8114112562930011,0.1309024452819825,143.34640288447937,15.299485332748434,21.73,20.063255788592613,27.784167526098237,0.37318551186327215,3.2344796448432973,0.43120190495361926,0.45100986723522435,208.0113200592088,89.69487746144783,0.6148169372442369,199.66925247885825,0.10506473162028929,112.43329227726704,92.25986007264675,199.44401913866966,1.362648563533903,0.49332171048438733,0.7704406358083488,199.4627850973655,1.3656416122626571,0.5035937737724763,0.9989419267117565
1zm8rv,seed,1zm8rv,,27.877,74.722,62.1055,9.035,2.708,18.5,35.9821,96.4464,62.1055,11.662,3.4949,0.7185957686825226,0.6111150701405434,168.96640524352847,208.35617260162263,149.72386401041138,4.0600000000000005,0.7186528720335101,0.24998045484019638,130.71626322416958,13.359233850372117,18.5,21.87323347170887,35.77546758548189,0.11022125208348504,3.2389098717448803,0.510756480994366,0.5605387629235136,208.2179312545932,106.34865784752284,0.6160227773481382,170.32333078075067,0.246783812933392,125.0598975031029,56.83193115239231,37.30927818299911,24.841414520003646,0.7974773537186027,0.648090588359134,405.1708078584369,0.5867959113740789,0.20675612540188582,0.8882775331004582
ajhby6,seed,ajhby6,,26.771,66.531,44.4573,7.63,4.391,20.53,30.1066,74.8199,44.4573,8.5803,4.9377,0.8541811680487453,0.613358645369689,188.1954342950268,208.20894578832696,177.848160511671,4.0600000000000005,0.8546250587877704,0.11688680761033882,70.50431033598248,9.300657948979469,20.53,21.306309663540063,30.658913766528826,0.30866189576434755,3.2508008204593515,0.48249772113826167,0.523858193519027,208.1471697808876,100.43053508065711,0.6128548456888119,188.0408545879401,0.10983051698892433,103.26696489703453,43.1985297530349,334.51041377824225,1.0141167701924132,0.6792898673751182,0.8214099867784741,334.51041377824225,1.0141167701924132,0.6792898673751182,0.9991730548625454
bag26v,seed,bag26v,,30.171,104.864,63.7624,6.445,3.324,21.42,29.0207,100.8663,63.7624,6.199,3.1969,0.6817532527219047,0.6128183760431217,196.18097504403173,208.11569161474503,141.88354970082125,4.08,0.6792624637978429,0.18254353203857465,97.61431435526382,8.569126361098661,21.42,20.1177281890315,29.862059625561642,0.2581676201399166,3.247937393028545,0.9491557462897927,0.9563053844534215,207.59010615596517,197.03534213084242,0.6178277682660169,197.78462710324547,0.15816018447070312,73.22227068517964,41.12110405224462,167.2833278004076,1.3706149436123019,0.9310788770258682,0.9796664292011512,167.4058871499998,1.364636583362629,0.9546742399869235,0.9998558966606897
bpx68c,seed,bpx68c,,28.846,80.769,60.0,6.923,3.462,20.23,25.0,70.0,60.0,6.0,3.0,0.7677911098681615,0.6126525132573524,185.2318843481986,208.2030645536349,159.8564620115878,4.08,0.7647879448890547,0.1718676883542216,100.4542415915084,9.81809852670816,20.23,18.165407031104216,27.038201804112767,0.25378212757042123,3.2470583202639673,0.7497310393140127,0.7814504428676317,207.62082686309043,155.6597783072995,0.6157574981538578,186.17065827111043,0.14258550477128037,95.26958589693658,48.38024958371084,237.7393555778239,1.5434757948171318,0.8351789935230194,0.79814000049437,237.65889492936674,1.5368083069260372,0.8435682978887469,0.9993758122620212
