strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,ok,hv,best_t180,best_e_reb_mJ,best_e_rebound
random,8,0,0,2.44822,18.1637,0.462474,71.542,0.754272,0.615381,186.057,20.23,1.18017,40.9743,100.314,5.52279,2.55414,529.098,False,True,0,inf,inf,inf
random,8,0,1,4.0227,10.2145,0.541921,54.91,0.847831,0.6154,186.063,20.23,0.916439,19.3644,77.8973,7.62617,4.13279,91.766,True,True,0.00124293,0.847831,186.063,0.6154
random,8,0,2,1.81017,11.3862,0.410901,50.2858,0.639513,0.614451,185.776,20.23,0.967321,45.4225,82.2223,7.22122,2.96721,532.945,False,True,0.00124293,0.847831,186.063,0.6154
random,8,0,3,2.03572,7.58486,0.792552,56.9194,0.72479,0.614583,185.815,20.23,0.608906,25.4244,51.757,6.82372,5.40815,105.104,True,True,0.00514471,0.72479,185.815,0.614583
random,8,0,4,2.24217,12.8787,0.652848,65.8743,0.736238,0.613846,185.593,20.23,0.920787,34.9068,78.2669,6.07723,3.96751,299.604,False,True,0.00514471,0.72479,185.815,0.614583
random,8,0,5,4.14293,7.00275,0.497591,51.3848,0.85223,0.615992,186.242,20.23,0.75565,15.5036,64.2302,9.17215,4.56398,48.5012,True,True,0.00514471,0.72479,185.815,0.614583
random,8,0,6,1.54867,7.42072,0.513112,55.7324,0.617927,0.612814,185.281,20.23,0.69226,37.9953,58.8421,7.92944,4.06869,266.869,False,True,0.00514471,0.72479,185.815,0.614583
random,8,0,7,3.28851,11.0302,0.654887,48.9224,0.815296,0.615036,185.953,20.23,0.881703,22.7899,74.9448,6.7945,4.44963,122.286,True,True,0.00514471,0.72479,185.815,0.614583
random,8,0,8,1.88856,9.39053,0.314072,54.6336,0.660685,0.614777,185.874,20.23,0.926291,41.6903,78.7348,8.38449,2.63334,429.919,False,True,0.00514471,0.72479,185.815,0.614583
random,8,1,9,2.83452,14.5865,0.828017,42.0734,0.778949,0.614454,185.777,20.23,0.922675,27.6687,78.4274,5.3767,4.452,188.623,True,True,0.00515874,0.72479,185.777,0.614454
random,8,1,10,4.27268,14.6014,0.909182,44.7511,0.851119,0.615932,186.223,20.23,0.922573,18.3535,78.4187,5.37065,4.8829,82.9867,True,True,0.00515874,0.72479,185.777,0.614454
random,8,1,11,2.58756,11.6967,0.748149,52.4412,0.768887,0.61431,185.733,20.23,0.840456,27.6085,71.4388,6.10759,4.56939,171.068,True,True,0.00517735,0.72479,185.733,0.61431
random,8,1,12,2.80472,8.68212,0.549443,60.399,0.793722,0.614609,185.823,20.23,0.803418,24.3484,68.2906,7.86565,4.32173,127.19,True,True,0.00517735,0.72479,185.733,0.61431
random,8,1,13,3.13858,14.3892,0.411213,65.2196,0.808158,0.615382,186.057,20.23,1.12429,30.4483,95.5644,6.64139,2.73103,278.337,False,True,0.00517735,0.72479,185.733,0.61431
random,8,1,14,1.76142,13.1472,0.556025,45.3942,0.62737,0.613905,185.61,20.23,0.957175,46.1898,81.3598,6.18837,3.44089,545.321,False,True,0.00517735,0.72479,185.733,0.61431
random,8,1,15,2.24441,5.86498,0.498215,56.1512,0.746601,0.614245,185.713,20.23,0.639983,24.2373,54.3985,9.27515,4.62102,100.393,True,True,0.00519266,0.72479,185.713,0.614245
random,8,1,16,2.91747,5.93143,0.727122,52.7573,0.811515,0.616444,186.378,20.23,0.5726,16.6826,48.671,8.20561,5.96648,42.5548,True,True,0.00519266,0.72479,185.713,0.614245
random,8,1,17,2.31723,16.8849,0.650742,66.3469,0.73966,0.614372,185.752,20.23,1.05732,38.7844,89.8723,5.32265,3.46367,424.706,False,True,0.00519266,0.72479,185.713,0.614245
random,8,2,18,3.04113,7.88263,0.350576,47.3659,0.794329,0.614684,185.846,20.23,0.866634,24.2226,73.6639,9.34509,3.27617,135.783,True,True,0.00519266,0.72479,185.713,0.614245
random,8,2,19,2.48798,7.26745,0.568522,78.6947,0.785665,0.614727,185.859,20.23,0.700342,23.9266,59.529,8.19118,4.65687,107.063,True,True,0.00519266,0.72479,185.713,0.614245
random,8,2,20,3.64477,9.1459,0.454304,71.2845,0.843315,0.615184,185.997,20.23,0.896608,20.9099,76.2117,8.33288,3.78566,104.683,True,True,0.00519266,0.72479,185.713,0.614245
random,8,2,21,4.32602,13.1929,0.421098,57.9762,0.853939,0.615516,186.098,20.23,1.10157,21.6443,93.6337,7.09728,2.98865,137.807,False,True,0.00519266,0.72479,185.713,0.614245
random,8,2,22,1.95731,10.7894,0.843607,48.1072,0.69461,0.613415,185.462,20.23,0.727594,31.5972,61.8455,5.73205,4.83559,193.98,True,True,0.0063199,0.69461,185.462,0.613415
random,8,2,23,2.78102,13.4298,0.882167,65.1765,0.794471,0.614727,185.859,20.23,0.851599,26.0285,72.3859,5.38993,4.75481,154.065,True,True,0.0063199,0.69461,185.462,0.613415
random,8,2,24,2.78489,13.7109,0.446412,43.9619,0.762512,0.614887,185.907,20.23,1.08256,33.0418,92.0178,6.71131,2.99601,315.609,False,True,0.0063199,0.69461,185.462,0.613415
random,8,2,25,3.91394,11.2217,0.867847,47.5127,0.844066,0.616353,186.351,20.23,0.803165,17.4425,68.269,6.08365,5.27968,65.2518,True,True,0.0063199,0.69461,185.462,0.613415
random,8,2,26,1.5378,11.865,0.725474,79.5877,0.63139,0.613166,185.387,20.23,0.785958,43.443,66.8064,5.63055,4.08482,396.102,False,True,0.0063199,0.69461,185.462,0.613415
