seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,mass_printed_g,t180,e_reb_mJ,mass_g,hv,best_t180,best_e_reb_mJ
2,0,0,36.6638,108.443,40.7905,9.84019,5.4012,19.9865,0.784358,183.548,19.9865,3.01751,0.784358,183.548
2,0,1,31.4193,78.2924,75.5375,7.98711,3.55197,20.4705,0.772709,187.997,20.4705,3.30205,0.772709,183.548
2,0,2,26.8453,95.3369,58.5205,11.5156,3.82324,20.3065,0.829739,186.677,20.3065,3.30205,0.772709,183.548
2,0,3,35.664,63.3714,62.6517,6.66258,4.49569,20.1656,0.671367,184.762,20.1656,6.14305,0.671367,183.548
2,0,4,33.2054,89.6168,74.1223,7.12491,4.63401,19.8218,0.790884,182.038,19.8218,6.29101,0.671367,182.038
2,0,5,27.2586,69.7755,49.393,11.0844,4.03725,20.6486,0.764638,189.522,20.6486,6.29101,0.671367,182.038
2,0,6,29.9502,102.829,66.5496,8.42463,3.06834,20.3551,0.826538,187.222,20.3551,6.29101,0.671367,182.038
2,0,7,39.9401,84.7863,52.4349,9.38404,4.98837,20.1,0.713124,184.313,20.1,6.32298,0.671367,182.038
2,0,8,38.9358,91.3049,68.2797,10.6733,3.43271,20.2211,0.748118,185.801,20.2211,6.32298,0.671367,182.038
2,1,9,40,60,75.968,6,5.5,19.773,0.631702,181.124,19.773,8.04887,0.631702,181.124
2,1,10,40,60,40,6,3.16869,19.773,0.571231,181.311,19.773,9.9303,0.571231,181.124
2,1,11,40,60,80,12,5.5,19.773,0.642291,181.193,19.773,9.9303,0.571231,181.124
2,1,12,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,9.96755,0.571231,181.015
2,1,13,40,60,80,6,3,19.773,0.615908,181.442,19.773,9.96755,0.571231,181.015
2,1,14,30.1382,60,80,6,5.5,19.773,0.730192,181.526,19.773,9.96755,0.571231,181.015
2,1,15,40,60,40,12,3,19.773,0.578936,181.51,19.773,9.96755,0.571231,181.015
2,1,16,40,60,40,12,5.5,19.773,0.606267,181.068,19.773,9.96755,0.571231,181.015
2,1,17,40,60,80,12,3.23804,19.773,0.625556,181.525,19.773,9.96755,0.571231,181.015
2,2,18,40,60,40,6,4.33682,19.773,0.588316,181.048,19.773,9.9709,0.571231,181.015
2,2,19,40,60,40,6,4.90139,19.773,0.595066,181.008,19.773,9.97302,0.571231,181.008
2,2,20,40,60,40,6,3.77946,19.773,0.580538,181.145,19.773,9.97431,0.571231,181.008
2,2,21,40,60,40,6,5.19173,19.773,0.598121,181.006,19.773,9.97501,0.571231,181.006
2,2,22,40,60,40,6,4.05728,19.773,0.58457,181.089,19.773,9.97522,0.571231,181.006
2,2,23,40,60,40,6,3,19.773,0.568604,181.364,19.773,10.0568,0.568604,181.006
2,2,24,40,60,40,6,5.34098,19.773,0.599571,181.009,19.773,10.0568,0.568604,181.006
2,2,25,40,60,40,6,4.61751,19.773,0.591804,181.022,19.773,10.0569,0.568604,181.006
2,2,26,40,60,40,6,5.04597,19.773,0.596618,181.006,19.773,10.0569,0.568604,181.006
2,3,27,40,60,40,6,3.47105,19.773,0.575927,181.223,19.773,10.0573,0.568604,181.006
2,3,28,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0573,0.568604,181.006
2,3,29,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0573,0.568604,181.006
2,3,30,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0573,0.568604,181.006
2,3,31,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0573,0.568604,181.006
2,3,32,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0573,0.568604,181.006
2,3,33,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0573,0.568604,181.006
2,3,34,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0573,0.568604,181.006
2,3,35,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0573,0.568604,181.006
2,4,36,40,60,40,6,3.31655,19.773,0.573546,181.266,19.773,10.0574,0.568604,181.006
2,4,37,40,60,40,6,3.62087,19.773,0.578163,181.183,19.773,10.0575,0.568604,181.006
2,4,38,40,60,40,6,3.91403,19.773,0.582542,181.116,19.773,10.0576,0.568604,181.006
2,4,39,40,60,40,6,4.19128,19.773,0.586414,181.068,19.773,10.0576,0.568604,181.006
2,4,40,40,60,40,6,3.08355,19.773,0.569886,181.337,19.773,10.0577,0.568604,181.006
2,4,41,40,60,40,6,4.74668,19.773,0.593307,181.014,19.773,10.0577,0.568604,181.006
2,4,42,40,60,40,6,3.54496,19.773,0.577026,181.203,19.773,10.0577,0.568604,181.006
2,4,43,40,60,40,6,4.46924,19.773,0.590007,181.034,19.773,10.0577,0.568604,181.006
2,4,44,40,60,40,6,3.69892,19.773,0.579348,181.164,19.773,10.0578,0.568604,181.006
