R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,sim_fn_hz,sim_zeta,sim_zeta_pct,sim_r2,sim_dominant_frac,sim_n_cycles,sim_amp0_g,sim_t180,sim_e_rebound,sim_in_180_g
37.7587820077315,106.56830024905503,54.508703611791134,8.187300961464643,3.3498636675067246,41.157565404055106,0.22604653328102492,22.604653328102494,0.7319288593984628,0.7897924060262415,7.034651078860769,9.369813701746589,0.7761387801235036,0.6149894200500515,208.19498889958905
25.501292808912694,74.25556703470647,65.12327421456575,10.471983790397644,4.811533945146948,59.78236825180739,0.18706753329053416,18.706753329053416,0.8137486745721206,0.7655974606009429,10.21800238159844,10.793266014139968,0.8057897761366362,0.6147732007601199,208.16661230447136
31.16182927042246,92.55501165986061,46.833085268735886,6.515905469655991,5.457536712754518,64.25082231590501,0.18693232813711674,18.693232813711674,0.9423351011340095,0.827919801443953,10.98175055023397,14.712700978514686,0.7936246187624314,0.6147061777743285,208.17138150826938
35.78689333982766,60.046966690570116,73.69729064404964,11.756631921976805,3.956646262202412,23.72250230168696,0.2580552313027812,25.805523130278118,0.7583145913369771,0.6285528728379002,4.054650093404145,13.690780505018907,0.6654768537433088,0.6135866663941334,208.29402027879132
34.11029818467796,87.72439019754529,60.65514259040356,10.60051853209734,3.678102243691683,58.444925363133535,0.1409289195401825,14.09289195401825,0.8482382663650851,0.6787543655711079,9.989406643066316,20.642904084553656,0.766472062824468,0.614581447012052,208.20360545956615
29.352952148765326,68.4731325507164,58.77171769738197,6.933767784386873,5.179078301414847,90.33001450405112,0.09869052476516188,9.869052476516188,0.33656777077145184,0.8924056932765209,15.439206079031695,12.412687199195243,0.7521891453744565,0.6142101552615808,208.20918055363748
27.573784696869552,98.51502030156553,78.0183370783925,9.353928107768297,4.53341855853796,83.9384370652678,0.13100593979532382,13.100593979532382,0.9339665853769963,0.8115910227831065,14.346757663194902,17.765553456423117,0.8439004635315726,0.6151897598489408,208.14345073993795
39.6989917056635,79.4590758997947,42.38512512296438,8.543610848486423,3.07166207768023,38.62806901135101,0.09796985485484712,9.796985485484711,0.9137772475997245,0.9729718419258512,6.602309555419805,52.17763716035859,0.6690613679798194,0.6144209152502104,208.2690343009478
38.28642936423421,96.13397660665214,75.22903189063072,7.337269920855761,4.602785000577569,61.52908768896938,0.07440917571916983,7.440917571916983,0.6588469577557894,0.8868300311265083,10.516551667798154,7.917031632365231,0.7741875046385865,0.6143005903692036,208.20710352342178
28.043353399261832,66.16648406721652,44.59337554872036,11.122590221464634,3.609864853322506,49.80381736933658,0.10188143592291408,10.188143592291409,0.9557500909400002,0.9441425495662773,8.51246846476661,63.997321374226665,0.7367214894238148,0.61407119900282,208.20829386835976
29.82477438170463,107.21758207306266,63.45177199691534,8.680545754730701,4.2142042722553015,76.36624372846681,0.13647197309204256,13.647197309204257,0.901829319515743,0.7049188976745606,13.052518378068937,15.060977402477763,0.8339787871301754,0.6150681464966943,208.14948235923674
32.69914537202567,77.05477628856897,56.565908677875996,9.416050303727388,5.246344555169344,40.21460980077564,0.10970852488935486,10.970852488935485,0.8502072819606526,0.9618752276724639,6.87348110714825,16.770507080249153,0.7514513301921197,0.6140232775381494,208.20897786764195
