seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,mass_printed_g,t180,e_reb_mJ,mass_g,hv,best_t180,best_e_reb_mJ
1,0,0,29.0159,78.0877,68.4938,6.18608,4.35714,20.1318,0.786996,184.861,20.1318,2.80762,0.786996,184.861
1,0,1,39.2184,99.7145,56.9807,11.6063,4.16009,20.6439,0.76025,189.583,20.6439,3.4185,0.76025,184.861
1,0,2,34.9631,66.0742,77.1709,8.84105,3.08272,20.3209,0.696498,186.584,20.3209,5.1461,0.696498,184.861
1,0,3,26.65,86.7249,48.6071,9.42074,5.38567,19.8231,0.813838,182.229,19.8231,5.34356,0.696498,182.229
1,0,4,27.7597,70.0703,54.62,9.80921,5.15218,20.018,0.769653,183.831,20.018,5.41894,0.696498,182.229
1,0,5,33.978,92.0818,61.1526,7.74051,3.31556,20.5293,0.775894,188.616,20.5293,5.41894,0.696498,182.229
1,0,6,36.3436,81.885,40.9629,11.1622,3.9266,20.4347,0.714794,187.536,20.4347,5.41894,0.696498,182.229
1,0,7,32.0151,105.264,74.5072,7.23096,4.58998,19.9378,0.827451,183.242,19.9378,5.41894,0.696498,182.229
1,0,8,30.837,61.2328,43.4638,8.07957,3.94074,19.8854,0.687311,182.298,19.8854,6.07692,0.687311,182.229
1,1,9,36.5446,60,40,8.453,3,19.773,0.606452,181.421,19.773,8.75556,0.606452,181.421
1,1,10,40,60,40,6,4.5324,19.773,0.59079,181.028,19.773,9.35806,0.59079,181.028
1,1,11,27.7691,60,40,12,3,19.773,0.703672,181.55,19.773,9.35806,0.59079,181.028
1,1,12,40,60,40,12,3,19.773,0.578936,181.51,19.773,9.72451,0.578936,181.028
1,1,13,25,60,40,6,3,19.773,0.729755,181.459,19.773,9.72451,0.578936,181.028
1,1,14,40,110,40,12,3,19.773,0.75331,181.866,19.773,9.72451,0.578936,181.028
1,1,15,34.3225,60,80,12,3,19.773,0.678243,181.615,19.773,9.72451,0.578936,181.028
1,1,16,40,60,40,6,3,19.773,0.568604,181.364,19.773,10.0471,0.568604,181.028
1,1,17,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.051,0.568604,181.015
1,2,18,40,60,40,6,3.84644,19.773,0.581568,181.13,19.773,10.0532,0.568604,181.015
1,2,19,40,60,40,6,5.0004,19.773,0.596163,181.006,19.773,10.0558,0.568604,181.006
1,2,20,40,60,40,6,3.46192,19.773,0.575765,181.225,19.773,10.0566,0.568604,181.006
1,2,21,40,60,40,6,4.19412,19.773,0.586449,181.068,19.773,10.0569,0.568604,181.006
1,2,22,40,60,40,6,5.2411,19.773,0.598612,181.007,19.773,10.0569,0.568604,181.006
1,2,23,40,60,59.1,6,3,19.773,0.591019,181.369,19.773,10.0569,0.568604,181.006
1,2,24,40,60,40,6,4.76727,19.773,0.593551,181.013,19.773,10.0569,0.568604,181.006
1,2,25,40,60,40,6,3.24486,19.773,0.572437,181.288,19.773,10.0572,0.568604,181.006
1,2,26,40,60,40,6,4.36283,19.773,0.588655,181.045,19.773,10.0572,0.568604,181.006
1,3,27,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0572,0.568604,181.006
1,3,28,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0572,0.568604,181.006
1,3,29,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0572,0.568604,181.006
1,3,30,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0572,0.568604,181.006
1,3,31,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0572,0.568604,181.006
1,3,32,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0572,0.568604,181.006
1,3,33,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0572,0.568604,181.006
1,3,34,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0572,0.568604,181.006
1,3,35,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0572,0.568604,181.006
1,4,36,40,60,40,6,4.01288,19.773,0.583961,181.097,19.773,10.0573,0.568604,181.006
1,4,37,40,60,40,6,3.64744,19.773,0.578593,181.177,19.773,10.0575,0.568604,181.006
1,4,38,40,60,40,6,3.12061,19.773,0.570458,181.326,19.773,10.0575,0.568604,181.006
1,4,39,40,60,40,6,3.74494,19.773,0.580044,181.153,19.773,10.0576,0.568604,181.006
1,4,40,40,60,40,6,3.55318,19.773,0.577168,181.201,19.773,10.0576,0.568604,181.006
1,4,41,40,60,40,6,3.92803,19.773,0.582738,181.113,19.773,10.0576,0.568604,181.006
1,4,42,40,60,40,6,3.35162,19.773,0.574058,181.256,19.773,10.0577,0.568604,181.006
1,4,43,40,60,40,6,4.10126,19.773,0.585169,181.082,19.773,10.0577,0.568604,181.006
1,4,44,40,60,40,6,4.64253,19.773,0.59213,181.02,19.773,10.0577,0.568604,181.006
