tier,regime,seed,metric,r2,rho,nrmse,null_skill,n
B,crutch,0,F_peak_N,0.03278845330945257,0.6078431372549019,0.302956634913315,0.016530861343098557,18
B,crutch,1,F_peak_N,0.7593476246612297,0.8347111892072198,0.1701145043148364,0.5094366755058322,18
