seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,mass_printed_g,t180,e_reb_mJ,mass_g,hv,best_t180,best_e_reb_mJ
7,0,0,27.9921,68.5466,69.9743,7.10588,4.37631,20.4728,0.769586,187.926,20.4728,2.92187,0.769586,187.926
7,0,1,34.5035,98.4703,46.6119,11.5409,3.86404,19.9473,0.776318,183.271,19.9473,3.4458,0.769586,183.271
7,0,2,38.5043,80.9111,71.9847,7.8382,3.54363,20.0757,0.721029,184.307,20.0757,4.83545,0.721029,183.271
7,0,3,31.9929,85.8096,53.9398,9.30852,5.21922,20.3447,0.778292,186.795,20.3447,4.83545,0.721029,183.271
7,0,4,30.432,76.2025,41.6854,10.1849,4.96729,20.674,0.755508,189.74,20.674,4.83545,0.721029,183.271
7,0,5,37.0459,97.0617,64.8904,8.66687,3.29199,19.8035,0.77006,182.008,19.8035,4.99193,0.721029,182.008
7,0,6,33.078,63.5449,59.0134,10.9643,4.11537,20.1607,0.695018,184.855,20.1607,5.70903,0.695018,182.008
7,0,7,26.4641,109.429,76.9008,6.38749,4.62735,20.3166,0.861012,186.863,20.3166,5.70903,0.695018,182.008
7,0,8,25.5065,82.6108,56.6476,8.61501,3.73548,20.4305,0.813788,187.713,20.4305,5.70903,0.695018,182.008
7,1,9,38.5288,60,60.4924,11.7017,3.58757,19.773,0.622851,181.354,19.773,8.26471,0.622851,181.354
7,1,10,40,60,40,6.95271,5.5,19.773,0.602009,181.021,19.773,9.00787,0.602009,181.021
7,1,11,39.643,60,80,12,5.5,19.773,0.645497,181.201,19.773,9.00787,0.602009,181.021
7,1,12,37.8989,60,40,9.38684,3,19.773,0.594447,181.445,19.773,9.24214,0.594447,181.021
7,1,13,37.5557,60,80,12,3,19.773,0.646715,181.599,19.773,9.24214,0.594447,181.021
7,1,14,40,60,40,6,3,19.773,0.568604,181.364,19.773,10.0454,0.568604,181.021
7,1,15,40,60,40,12,3,19.773,0.578936,181.51,19.773,10.0454,0.568604,181.021
7,1,16,40,60,40,12,5.5,19.773,0.606267,181.068,19.773,10.0454,0.568604,181.021
7,1,17,30.7533,60,80,10.9923,5.5,19.773,0.727727,181.482,19.773,10.0454,0.568604,181.021
7,2,18,40,60,40,6,4.30039,19.773,0.587862,181.053,19.773,10.0498,0.568604,181.021
7,2,19,40,60,40,6,4.92143,19.773,0.59533,181.007,19.773,10.0541,0.568604,181.007
7,2,20,40,60,40,6,3.68392,19.773,0.579118,181.168,19.773,10.0558,0.568604,181.007
7,2,21,40,60,40,6,3.36405,19.773,0.574274,181.253,19.773,10.0563,0.568604,181.007
7,2,22,40,60,40,6,5.24719,19.773,0.598646,181.007,19.773,10.0564,0.568604,181.007
7,2,23,40,60,40,6,3.99301,19.773,0.583675,181.1,19.773,10.0567,0.568604,181.007
7,2,24,40,60,40,6,4.6094,19.773,0.591743,181.022,19.773,10.0568,0.568604,181.007
7,2,25,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0568,0.568604,181.007
7,2,26,40,60,40,6,3.52496,19.773,0.576732,181.208,19.773,10.0569,0.568604,181.007
7,3,27,40,60,40,6,3.18467,19.773,0.571456,181.306,19.773,10.057,0.568604,181.007
7,3,28,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.057,0.568604,181.007
7,3,29,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.057,0.568604,181.007
7,3,30,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.057,0.568604,181.007
7,3,31,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.057,0.568604,181.007
7,3,32,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.057,0.568604,181.007
7,3,33,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.057,0.568604,181.007
7,3,34,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.057,0.568604,181.007
7,3,35,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.057,0.568604,181.007
7,4,36,40,60,40,6,3.83323,19.773,0.58134,181.133,19.773,10.0571,0.568604,181.007
7,4,37,40,60,40,6,4.13977,19.773,0.585725,181.076,19.773,10.0572,0.568604,181.007
7,4,38,40,60,40,6,3.27315,19.773,0.572839,181.279,19.773,10.0572,0.568604,181.007
7,4,39,40,60,40,6,4.44544,19.773,0.589741,181.036,19.773,10.0573,0.568604,181.007
7,4,40,40,60,40,6,3.0912,19.773,0.570016,181.335,19.773,10.0573,0.568604,181.007
7,4,41,40,60,40,6,3,19.773,0.568604,181.364,19.773,10.0573,0.568604,181.007
7,4,42,40,60,40,6,3.04535,19.773,0.569333,181.349,19.773,10.0573,0.568604,181.007
7,4,43,40,60,40,6,3,19.773,0.568604,181.364,19.773,10.0573,0.568604,181.007
7,4,44,40,60,40,6,3,19.773,0.568604,181.364,19.773,10.0573,0.568604,181.007
