seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,hv,best_t180,best_e_reb_mJ,best_e_rebound
2,0,0,3.755,17.9182,0.263175,65.6013,0.836041,0.616128,186.283,20.23,1.27976,28.9692,108.779,6.07089,1.5977,286.794,False,0,inf,inf,inf
2,0,1,2.74254,10.9075,0.657725,54.7054,0.782939,0.61444,185.772,20.23,0.857514,26.5771,72.8887,6.68245,4.39521,161.743,True,0.00333141,0.782939,185.772,0.61444
2,0,2,1.51219,14.7521,0.484183,72.809,0.597166,0.614668,185.841,20.23,1.01076,56.8146,85.9146,5.82391,2.81984,871.238,False,0.00333141,0.782939,185.772,0.61444
2,0,3,3.44507,7.6218,0.751167,46.9129,0.829999,0.616617,186.431,20.23,0.671425,16.566,57.0712,7.48789,5.62466,49.2043,True,0.00333141,0.782939,185.772,0.61444
2,0,4,3.19703,12.7048,0.694869,41.3775,0.803191,0.614814,185.885,20.23,0.931853,24.7753,79.2075,6.23445,4.33212,152.741,True,0.00333141,0.782939,185.772,0.61444
2,0,5,2.21858,6.3813,0.383583,78.2939,0.752119,0.614155,185.686,20.23,0.719123,27.5516,61.1254,9.57883,3.67428,145.769,True,0.00434373,0.752119,185.686,0.614155
2,0,6,2.44957,15.8766,0.891178,59.2112,0.75595,0.613951,185.624,20.23,0.917752,31.846,78.0089,4.91346,4.37877,248.544,True,0.0043708,0.752119,185.624,0.613951
2,0,7,4.32577,9.67439,0.540787,61.1278,0.859814,0.615626,186.131,20.23,0.892705,17.5414,75.8799,7.84338,4.2416,73.3505,True,0.0043708,0.752119,185.624,0.613951
2,0,8,4.14767,13.4423,0.847529,76.7129,0.86349,0.615782,186.178,20.23,0.905194,18.5505,76.9415,5.72384,4.85112,83.1809,True,0.0043708,0.752119,185.624,0.613951
2,1,9,1.5,7.00163,0.712227,67.9279,0.633938,0.612888,185.303,20.23,0.575957,32.6375,48.9563,6.99213,4.97998,163.83,True,0.0084324,0.633938,185.303,0.612888
2,1,10,1.65197,5.39608,0.311386,77.7919,0.659738,0.613927,185.617,20.23,0.652646,33.5811,55.4749,10.2806,3.20124,196.534,True,0.0084324,0.633938,185.303,0.612888
