seed,hv36_reduced,hv36_full,hv45_full,t180_36_reduced,t180_45_full,strain_36_reduced,strain_45_full
0,0.0247338,0.0251234,0.025601,0.77227,0.775212,0.0382891,0.0382891
1,0.0317108,0.0253011,0.0254325,0.726932,0.773118,0.0382891,0.0382854
2,0.0206755,0.0230116,0.0230199,0.790075,0.79092,0.039964,0.040968
3,0.0297455,0.0287223,0.0292504,0.746538,0.746538,0.0382891,0.0382891
4,0.0270111,0.0259988,0.0281074,0.745643,0.74271,0.0506835,0.0382891
5,0.0253373,0.0288717,0.0305771,0.759277,0.724218,0.0520784,0.0478649
6,0.0200087,0.0201461,0.0220812,0.793465,0.797284,0.0382891,0.0400957
7,0.0304111,0.0325202,0.0326358,0.722455,0.722455,0.0382891,0.0383228
8,0.0340591,0.0312776,0.0336233,0.69925,0.710195,0.0382891,0.0382891
9,0.0248924,0.024648,0.0261963,0.77611,0.768748,0.0394952,0.0395863
