strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
heuristic,2,0,0,2.25868,8.97988,0.792817,43.6766,0.849894,0.614037,185.65,20.23,0.686706,25.8426,58.37,6.50009,5.15338,122.465,0.848386,0.0854175,49.5171,18.8851,208.274,177.011,4.06,True,True,0.00848233,0.849894,185.65,0.0854175
heuristic,2,0,1,3.27368,8.97988,0.792817,43.6766,0.847879,0.615165,185.992,20.23,0.719951,18.6933,61.1958,6.81477,5.40286,67.1805,0.859464,0.0755477,25.6061,12.1663,208.088,176.434,4.08,True,True,0.00932403,0.847879,185.65,0.0755477
heuristic,2,0,2,3.27368,8.97988,0.916667,43.6766,0.859189,0.615184,185.997,20.23,0.671398,17.4326,57.0688,6.35518,5.82559,54.4848,0.881016,0.0652515,20.4642,12.6028,208.078,178.778,4.08,True,True,0.00966738,0.847879,185.65,0.0652515
heuristic,2,0,3,3.27368,8.97988,0.916667,57.6766,0.881555,0.61555,186.108,20.23,0.671395,17.4326,57.0686,6.35516,5.82556,54.4842,0.897625,0.0629868,20.4535,14.1091,208.066,183.422,4.08,True,True,0.00969225,0.847879,185.65,0.0629868
heuristic,2,0,4,3.27368,13.6465,0.916667,57.6766,0.834756,0.615289,186.029,20.23,0.860945,22.3542,73.1803,5.36255,4.91567,114.885,0.837374,0.0864568,35.6161,9.04458,208.084,173.7,4.06,True,True,0.012289,0.834756,185.65,0.0629868
heuristic,2,0,5,3.27368,5,0.916667,57.6766,0.908803,0.615495,186.091,20.23,0.464996,12.0735,39.5246,7.90493,7.24618,18.1002,0.974208,0.041315,19.3361,15.0583,207.915,188.954,4.08,True,True,0.012289,0.834756,185.65,0.041315
heuristic,2,0,6,3.27368,5,0.683333,57.6766,0.90016,0.615265,186.022,20.23,0.535269,13.8981,45.4978,9.09957,6.21804,27.609,0.930162,0.055969,16.4109,14.5388,208.004,187.237,4.08,True,True,0.012289,0.834756,185.65,0.041315
heuristic,2,0,7,4.28868,5,0.916667,57.6766,0.924392,0.615732,186.163,20.23,0.47863,9.48627,40.6835,8.1367,7.45865,11.5016,0.979926,0.0408125,17.9153,11.2511,207.902,192.183,4.08,True,True,0.012289,0.834756,185.65,0.0408125
heuristic,2,0,8,2.25868,5,0.916667,57.6766,0.873243,0.615012,185.945,20.23,0.441844,16.6278,37.5568,7.51135,6.88541,32.6217,0.898019,0.0477582,22.3169,22.8592,208.172,181.784,4.08,True,True,0.0126016,0.834756,185.65,0.0408125
heuristic,2,1,9,3.27368,9.66667,0.916667,57.6766,0.874033,0.615607,186.125,20.23,0.702116,18.2302,59.6799,6.17378,5.6593,62.3107,0.885997,0.0664465,22.4993,13.5106,208.074,181.863,4.08,True,True,0.0126016,0.834756,185.65,0.0408125
heuristic,2,1,10,3.27368,5,0.916667,71.6766,0.933931,0.615865,186.203,20.23,0.464876,12.0704,39.5145,7.9029,7.24432,18.0862,0.99473,0.040408,19.3285,13.523,207.837,194.106,4.1,True,True,0.0126016,0.834756,185.65,0.040408
heuristic,2,1,11,3.27368,5,0.916667,43.6766,0.856598,0.61539,186.06,20.23,0.464902,12.0711,39.5167,7.90334,7.24473,18.0893,0.91933,0.0412976,19.2979,14.9262,208.014,178.184,4.06,True,True,0.0131516,0.834756,185.65,0.040408
heuristic,2,1,12,1.65993,8.66626,0.688289,62.4906,0.808368,0.612553,185.202,20.23,0.680673,34.8553,57.8572,6.67615,4.59512,220.824,0.814371,0.108657,107.051,14.823,208.372,168.441,4.06,True,True,0.0177875,0.808368,185.202,0.040408
heuristic,2,1,13,1.65993,8.66626,0.688289,76.4906,0.884254,0.61317,185.388,20.23,0.677504,34.693,57.5879,6.64507,4.57372,217.754,0.890464,0.109626,110.157,10.6523,208.29,184.181,4.06,True,True,0.0177875,0.808368,185.202,0.040408
heuristic,2,1,14,1.65993,8.66626,0.688289,48.4906,0.826945,0.611365,184.843,20.23,0.683215,34.9855,58.0733,6.70108,4.61228,223.307,0.823787,0.107565,104.679,15.7204,208.43,172.361,4.06,True,True,0.0177961,0.808368,184.843,0.040408
heuristic,2,1,15,2.67493,8.66626,0.688289,62.4906,0.857799,0.615271,186.024,20.23,0.73163,23.2487,62.1886,7.17594,4.93912,105.599,0.870926,0.0878811,42.4423,13.0219,208.122,178.527,4.06,True,True,0.0177961,0.808368,184.843,0.040408
heuristic,2,1,16,2.67493,13.3329,0.688289,62.4906,0.808573,0.613949,185.624,20.23,0.94096,29.9005,79.9816,5.9988,4.12891,224.645,0.818327,0.123248,77.0218,8.12034,208.164,168.316,4.08,True,True,0.0177961,0.808368,184.843,0.040408
heuristic,2,1,17,2.67493,5,0.688289,62.4906,0.885477,0.615213,186.006,20.23,0.521003,16.5557,44.2853,8.85705,6.09621,38.1333,0.89856,0.0583534,20.3177,18.7675,208.091,184.26,4.08,True,True,0.0177961,0.808368,184.843,0.040408
heuristic,2,2,18,2.67493,5,0.916667,62.4906,0.90209,0.615383,186.057,20.23,0.453021,14.3955,38.5068,7.70136,7.05958,25.0691,0.931948,0.043732,20.8018,18.5643,207.977,187.614,4.08,True,True,0.0177961,0.808368,184.843,0.040408
heuristic,2,2,19,2.67493,5,0.916667,76.4906,0.914854,0.615729,186.162,20.23,0.452763,14.3873,38.4848,7.69696,7.05555,25.0262,0.947195,0.0428993,20.768,15.6265,207.875,190.175,4.1,True,True,0.0177961,0.808368,184.843,0.040408
heuristic,2,2,20,2.67493,5,0.916667,48.4906,0.841937,0.615408,186.065,20.23,0.453016,14.3953,38.5063,7.70127,7.0595,25.0682,0.861171,0.0424977,20.7982,19.0383,208.086,175.195,4.06,True,True,0.0183454,0.808368,184.843,0.040408
heuristic,2,2,21,2.67493,5,0.683333,48.4906,0.847895,0.61505,185.957,20.23,0.523418,16.6324,44.4905,8.89811,6.08037,38.666,0.855876,0.0600563,19.827,17.5149,208.142,176.483,4.08,True,True,0.0183454,0.808368,184.843,0.040408
heuristic,2,2,22,3.68993,5,0.916667,48.4906,0.894547,0.615549,186.108,20.23,0.471322,10.8572,40.0624,8.01247,7.34477,14.8363,0.972775,0.0414488,18.6066,12.9142,207.955,186.026,4.08,True,True,0.0183454,0.808368,184.843,0.040408
heuristic,2,2,23,1.65993,5,0.916667,48.4906,0.955627,0.614294,185.728,20.23,0.418676,21.4392,35.5875,7.11749,6.52437,51.3883,1.01016,0.0601364,40.2165,34.7913,208.535,199.282,4.06,True,True,0.0183454,0.808368,184.843,0.040408
heuristic,2,2,24,2.72608,13.4425,0.894957,67.3226,0.856262,0.615335,186.043,20.23,0.84397,26.3153,71.7374,5.33663,4.77605,156.067,0.866394,0.091651,49.1172,10.7231,208.109,178.196,4.06,True,True,0.0183454,0.808368,184.843,0.040408
heuristic,2,2,25,2.72608,18.1091,0.894957,67.3226,0.815461,0.61423,185.709,20.23,0.998907,31.1463,84.9071,4.68864,4.19613,258.765,0.824057,0.11727,74.6508,7.5037,208.141,169.731,4.08,False,True,0.0183454,0.808368,184.843,0.040408
heuristic,2,2,26,2.72608,8.77579,0.894957,67.3226,0.884913,0.61594,186.226,20.23,0.654465,20.4064,55.6295,6.33897,5.67311,72.7763,0.897472,0.0651937,27.2764,16.6937,208.113,184.162,4.08,True,True,0.0183454,0.808368,184.843,0.040408
heuristic,2,3,27,3.74108,13.4425,0.894957,67.3226,0.848201,0.615762,186.172,20.23,0.87512,19.8834,74.3852,5.5336,4.95233,92.3881,0.843387,0.0808302,27.2408,10.0532,208.022,176.444,4.08,True,True,0.0183454,0.808368,184.843,0.040408
heuristic,2,3,28,3.74108,13.4425,0.894957,80,0.868944,0.615836,186.195,20.23,0.874476,19.8687,74.3305,5.52953,4.94869,92.1845,0.862578,0.0776004,24.3081,10.0363,207.975,180.719,4.08,True,True,0.0183454,0.808368,184.843,0.040408
heuristic,2,3,29,3.74108,13.4425,0.894957,53.3226,0.828957,0.615318,186.038,20.23,0.875515,19.8923,74.4187,5.5361,4.95457,92.5133,0.828394,0.0848836,29.3723,8.1703,208.053,172.467,4.08,True,True,0.0184883,0.808368,184.843,0.040408
heuristic,2,3,30,3.74108,13.4425,0.916667,53.3226,0.832479,0.615343,186.045,20.23,0.865756,19.6706,73.5892,5.47439,5.01819,89.4539,0.832203,0.0828862,28.432,8.28415,208.053,173.2,4.08,True,True,0.0185072,0.808368,184.843,0.040408
heuristic,2,3,31,3.74108,13.4425,0.661624,53.3226,0.777815,0.614843,185.894,20.23,0.993542,22.574,84.4511,6.28242,4.1566,135.199,0.77394,0.118914,45.5076,6.01217,208.068,161.838,4.06,True,True,0.0235614,0.777815,184.843,0.040408
heuristic,2,3,32,3.74108,18.1091,0.661624,53.3226,0.711929,0.613919,185.615,20.23,1.13553,25.8,96.5199,5.3299,3.52639,201.84,0.705463,0.161026,68.5459,7.52501,208.121,148.167,4.06,True,True,0.0316859,0.711929,184.843,0.040408
heuristic,2,3,33,3.74108,18.1091,0.894957,53.3226,0.782711,0.614936,185.922,20.23,1.0342,23.4978,87.9071,4.8543,4.34439,152.486,0.779414,0.108405,43.4372,5.91103,208.07,162.859,4.06,True,True,0.0319602,0.711929,184.843,0.040408
heuristic,2,3,34,3.74108,18.1091,0.428291,53.3226,0.588256,0.611327,184.831,20.23,1.23101,27.9694,104.636,5.77807,2.47469,257.157,0.58985,0.295051,125.976,12.0984,208.25,122.505,4.08,False,True,0.0319602,0.711929,184.843,0.040408
heuristic,2,3,35,4.4,18.1091,0.661624,53.3226,0.734888,0.614672,185.842,20.23,1.14779,22.1733,97.5625,5.38748,3.56448,150.693,0.726849,0.155873,51.1902,6.23065,208.069,152.907,4.06,True,True,0.0321814,0.711929,184.843,0.040408
