strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,ok,hv,best_t180,best_e_reb_mJ,best_e_rebound
random,4,0,0,4.23486,11.8177,0.900829,43.2334,0.851167,0.616533,186.405,20.23,0.819666,16.4519,69.6716,5.89553,5.31086,59.2432,True,True,0.00109856,0.851167,186.405,0.616533
random,4,0,1,3.26133,10.0198,0.784601,46.9811,0.817363,0.615805,186.185,20.23,0.772053,20.122,65.6245,6.54947,5.13872,83.4753,True,True,0.00214721,0.817363,186.185,0.615805
random,4,0,2,4.02774,12.2526,0.851477,59.0861,0.852148,0.615989,186.241,20.23,0.854965,18.0429,72.672,5.93118,5.05026,74.3239,True,True,0.00214721,0.817363,186.185,0.615805
random,4,0,3,2.74844,15.5193,0.906102,54.789,0.781725,0.614414,185.764,20.23,0.912756,28.2285,77.5843,4.99922,4.5298,194.222,True,True,0.0033726,0.781725,185.764,0.614414
random,4,0,4,4.30991,17.387,0.368462,64.3541,0.855255,0.615984,186.239,20.23,1.24144,24.4837,105.523,6.06904,2.23621,198.724,False,True,0.0033726,0.781725,185.764,0.614414
random,4,0,5,3.54411,17.5707,0.693772,45.3358,0.818034,0.614899,185.911,20.23,1.10437,26.4867,93.8718,5.34251,3.70648,206.891,True,True,0.0033726,0.781725,185.764,0.614414
random,4,0,6,2.94382,11.5816,0.583484,78.3433,0.812638,0.614756,185.868,20.23,0.930968,26.8809,79.1323,6.83259,3.98671,179.635,True,True,0.0033726,0.781725,185.764,0.614414
random,4,0,7,2.51482,7.98362,0.598058,65.6468,0.776761,0.614542,185.803,20.23,0.730866,24.703,62.1236,7.78139,4.65372,119.099,True,True,0.00352886,0.776761,185.764,0.614414
random,4,0,8,4.22341,12.7602,0.428556,77.191,0.861924,0.615621,186.129,20.23,1.07811,21.6979,91.6392,7.18164,3.07773,135.54,True,True,0.00352886,0.776761,185.764,0.614414
random,4,1,9,2.926,14.0107,0.567359,48.6792,0.783137,0.614527,185.799,20.23,1.0386,30.1711,88.2809,6.30097,3.57491,252.464,False,True,0.00352886,0.776761,185.764,0.614414
random,4,1,10,3.5084,15.2751,0.377192,58.3966,0.821573,0.615647,186.137,20.23,1.17456,28.4568,99.8379,6.536,2.46533,253.991,False,True,0.00352886,0.776761,185.764,0.614414
random,4,1,11,2.54926,7.2764,0.397568,78.5003,0.78475,0.614499,185.79,20.23,0.783679,26.1302,66.6127,9.15463,3.63958,142.887,True,True,0.00352886,0.776761,185.764,0.614414
random,4,1,12,4.06425,10.0972,0.742982,41.6787,0.845324,0.616264,186.324,20.23,0.811467,16.9711,68.9747,6.83105,5.07535,62.4107,True,True,0.00352886,0.776761,185.764,0.614414
random,4,1,13,4.15367,12.1623,0.796845,51.0375,0.851476,0.615948,186.228,20.23,0.879208,17.992,74.7327,6.14463,4.89632,76.0008,True,True,0.00352886,0.776761,185.764,0.614414
random,4,1,14,2.59076,9.64058,0.898293,57.1784,0.781964,0.615448,186.077,20.23,0.687238,22.5475,58.4152,6.05931,5.44303,93.2984,True,True,0.00352886,0.776761,185.764,0.614414
random,4,1,15,2.94911,17.7464,0.85213,55.8004,0.793677,0.61445,185.775,20.23,1.02006,29.4004,86.7049,4.88578,4.16332,235.45,True,True,0.00352886,0.776761,185.764,0.614414
random,4,1,16,2.39134,15.7606,0.321648,55.6876,0.727724,0.615562,186.111,20.23,1.18574,42.1472,100.788,6.39493,2.05692,562.468,False,True,0.00352886,0.776761,185.764,0.614414
random,4,1,17,4.04166,17.2352,0.405651,43.1488,0.831952,0.615754,186.17,20.23,1.22516,25.7664,104.139,6.04221,2.45103,217.205,False,True,0.00352886,0.776761,185.764,0.614414
random,4,2,18,3.78441,13.2904,0.408337,60.2357,0.837178,0.615435,186.073,20.23,1.10242,24.7609,93.7055,7.05063,2.87903,180.488,False,True,0.00352886,0.776761,185.764,0.614414
random,4,2,19,1.70711,14.3345,0.60115,68.1859,0.643906,0.61403,185.648,20.23,0.9611,47.8548,81.6935,5.69909,3.42601,587.744,False,True,0.00352886,0.776761,185.764,0.614414
