specimen,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,crutch_Fpeak_cfc_N,crutch_Fpeak_raw_N,lander_Fpeak_cfc_N,lander_Fpeak_raw_N
0,37.7587820077315,106.56830024905503,54.508703611791134,8.187300961464643,3.3498636675067246,737.6053164305797,736.6945212403109,4745.697954550175,5424.320652061975
1,25.501292808912694,74.25556703470647,65.12327421456575,10.471983790397644,4.811533945146948,738.4038868073936,737.3998557269612,4707.514730568442,4952.023166472852
2,31.16182927042246,92.55501165986061,46.833085268735886,6.515905469655991,5.457536712754518,737.1269036517242,737.4657406165885,4778.652891469277,5461.499422559601
3,35.78689333982766,60.046966690570116,73.69729064404964,11.756631921976805,3.956646262202412,736.7383602371891,737.1010955745105,4726.522075675714,4972.352600153673
4,34.11029818467796,87.72439019754529,60.65514259040356,10.60051853209734,3.678102243691683,738.0482377675971,736.3874208581034,4700.649546137164,5371.4603641224385
5,29.352952148765326,68.4731325507164,58.77171769738197,6.933767784386873,5.179078301414847,736.8350382451349,737.2674862932138,4768.44573749389,5017.830596179528
6,27.573784696869552,98.51502030156553,78.0183370783925,9.353928107768297,4.53341855853796,738.1751757576018,736.567228449836,4716.287761809751,5382.102467207783
7,39.6989917056635,79.4590758997947,42.38512512296438,8.543610848486423,3.07166207768023,736.8667990324135,736.6033906593127,4745.394144264206,4991.48757689225
8,38.28642936423421,96.13397660665214,75.22903189063072,7.337269920855761,4.602785000577569,737.2304571903825,737.4416060214328,4761.561799174238,5008.7817483121635
9,28.043353399261832,66.16648406721652,44.59337554872036,11.122590221464634,3.609864853322506,737.6925580516588,737.1602751765627,4702.00203545669,4949.832360984896
10,29.82477438170463,107.21758207306266,63.45177199691534,8.680545754730701,4.2142042722553015,737.9410301352613,736.511908599885,4725.188820185818,4970.988202952853
11,32.69914537202567,77.05477628856897,56.565908677875996,9.416050303727388,5.246344555169344,737.8201307290213,741.707241714018,4731.548927602008,5408.383415867491
12,34.376190579496324,102.69823897629976,49.00227326899767,9.751857966184616,4.899545250926167,738.6372803001923,737.0836438723438,4705.768221038474,5369.959153480596
13,31.633200556971133,84.22972237691283,70.86892303079367,7.583003472536802,3.8673193608410656,737.1166971616892,737.17992817246,4762.6140263950265,5435.94615334424
14,25.97131268121302,88.58728901483119,52.34195701777935,11.514079492539167,3.2633235626854002,737.7361743265576,737.6677698191226,4667.795407765651,4910.3400623868865
15,36.34576939046383,70.3140841703862,67.95896604657173,6.207517862319946,4.25632991315797,736.4802232529892,736.064609185294,4780.066358744521,5463.125785725342
16,36.860307031311095,90.56285940110683,43.40534910559654,9.065284665673971,4.040077623911202,737.8142979158351,738.2870032120181,4734.000370699307,5409.406662298633
17,26.603015302680433,71.50538856163621,76.53909049928188,8.281471565365791,5.35176847781986,737.5201476293108,737.5131287491732,4752.001877631911,5426.442110401464
18,32.20633175224066,101.54956345446408,55.416903756558895,10.724961385130882,4.747614764608443,738.5368232130064,736.2337775804195,4676.029854307307,4918.931934612836
19,35.06648709066212,82.29678086005151,64.8010103777051,6.985104706138372,3.397019083611667,736.7244985663099,736.8375171183661,4768.911030981372,5016.93601851354
20,33.008576137945056,109.9814537819475,72.05154199153185,6.652205877006054,3.1185033819638193,737.0706016149234,736.6721914676964,4774.377430750534,5455.854105285773
21,30.251427572220564,77.47188200242817,47.68785651773214,11.8195517398417,4.469166192691773,738.43840599097,736.6578892978316,4680.120702715265,5348.523047119169
22,28.29419049900025,95.77208826318383,69.1024111956358,7.887077573686838,5.073662334587425,737.876092205271,737.638283927061,4750.407760487383,5411.124243738108
23,38.65448877681047,63.45782972872257,50.98851278424263,10.197989903390408,3.7619049469940364,736.682535475133,736.8137046022405,4747.063023452256,4993.445190738832
24,39.12585327401757,99.6643633954227,66.31310310214758,11.404237870126963,5.318819991778582,739.1804564683436,737.9523843681346,4665.85128773865,5329.990383717397
25,26.883495366200805,81.3926849886775,53.19676626473665,6.11813934892416,4.163379007484764,736.6946446080881,736.9953183275491,4780.194389937641,5028.733331360513
26,28.83840743917972,85.74796150438488,74.84817430377007,10.07268076390028,3.5178772541694343,737.9194284918742,736.4189978179003,4708.363092743272,4952.724970201672
27,33.47860268782824,67.28096985258162,45.48204444348812,7.836398039013147,4.712223102804273,736.8875605032854,736.4133296540454,4758.432300429166,5431.032910038792
28,35.53604905959219,92.91642316617072,57.58609466254711,8.989605411887169,4.365395481698215,737.9720455593953,737.3413230349347,4728.198116217175,4974.196544572252
29,30.793777094222605,62.755144191905856,61.972639709711075,9.657773282378912,3.1709825033321977,736.9613136155083,736.3700813495244,4746.065105835392,5400.838714568756
30,25.19185491837561,103.80547758191824,41.238599605858326,7.239102657884359,3.816828473471105,737.3244066385176,736.5150237247097,4760.694756348438,5007.894073156827
31,37.3321358859539,73.83951036259532,79.3747853860259,11.044977620244026,4.972335991449654,737.8607411721661,738.2133045215345,4696.754346937182,4945.087964014405
32,37.47441398445517,91.82321074418724,62.935967445373535,10.256231032311916,3.026517326477915,737.6128037939458,739.9438913528733,4705.147365550919,5364.187631368367
33,25.341575085185468,60.876139709725976,57.31978811323643,8.016329292207956,4.493075352627784,736.9779598739623,737.5022915709351,4758.602607652494,5430.6141319881535
34,30.8856987580657,105.7396044395864,75.88506441563368,11.971560034900904,5.136327645275742,739.0738884116488,735.8527395938397,4633.101853213384,5286.398794811475
35,35.62076468952,74.98784516006708,44.01909176260233,6.687701873481274,3.6305596162565053,736.562357663155,736.6268539527043,4772.752228581449,5021.832267388949
36,33.796833558008075,97.78360057622194,51.58212635666132,7.043301489204168,3.9773395489901304,737.160838102184,739.7055235702776,4770.457360699274,5451.739367468634
37,29.163851719349623,80.28863048180938,68.46851419657469,10.854260310530663,5.483193781226873,738.85129686443,739.0894962994165,4694.4141636405575,4937.735854374647
38,27.26855758111924,86.89454988576472,49.5706058293581,8.433435514569283,4.83967356570065,737.9171356523708,738.5000026517707,4743.640865449781,5413.207556802125
39,39.50348034966737,69.2042665462941,70.20663410425186,9.100827869027853,3.3730299323797226,736.5876506084537,735.749999999924,4753.791046802967,5406.325970148007
40,39.039433393627405,107.94986140914261,47.40630071610212,10.916451171040535,4.3014354556798935,738.4346214686874,736.0852691369602,4669.176826013335,5320.641773446688
41,28.671936010941863,76.2260816898197,73.03988460451365,7.1801219545304775,3.303627299144864,736.7953242767347,736.8999775826668,4768.5249278921665,5015.933245476312
42,30.569540006108582,96.9631476700306,53.7537556886673,9.623013999313116,3.9101091884076595,738.0664823415032,737.3372190823402,4713.730541676429,5385.1612932830585
43,33.33413801621646,65.43468119576573,65.6377051025629,8.836868986487389,4.9471273850649595,737.0820069337976,736.5534446436561,4746.634389969259,4996.513741758068
44,35.15852009411901,89.31842403486371,78.67925234138966,7.707827243953943,5.225614481139928,737.4149584680717,740.75772125759,4754.791446500209,5001.801509202508
45,32.2909369925037,69.48424488306046,41.815724074840546,10.01374726742506,4.188510081265122,737.5170427034199,736.9609240426289,4721.901088048544,5378.623571288444
46,26.745403790846467,103.52779178880155,60.14422092586756,6.083335720002651,3.581762057263404,736.8881301714653,737.3952534850403,4783.339822197018,5452.765085651023
47,37.009915858507156,83.49830088205636,59.53048001974821,11.251548651605844,4.579655820969492,738.3801297519409,736.7487122290905,4686.641862503183,5345.305782891429
