check,n,value,p
"spearman(sim_zeta, meas_zeta)",6,-0.5428571428571429,0.26570262390670546
"spearman(sim_fn, meas_fn)",6,-0.3714285714285715,0.4684781341107872
"spearman(sobol R_mm, sim_zeta)",48,-0.11170212765957445,0.44972980647508
"spearman(sobol H_mm, sim_zeta)",48,0.051454624402952676,0.7283498893616022
"spearman(sobol twist_deg, sim_zeta)",48,-0.012483716891011723,0.9328870006544884
"spearman(sobol strut_d_mm, sim_zeta)",48,0.2129830655666522,0.14610460176594445
"spearman(sobol cable_d_mm, sim_zeta)",48,0.09096830221450282,0.5386136195178086
median |dt180|/t180 from zeta injection,6,0.0012223476841071528,0.039170208171313226
median |de_reb|/e_reb from zeta injection,6,9.324970672943752e-05,0.0012411619679140711
