H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible
2.39129,8.51313,0.701172,74.4742,0.887347,0.615722,186.16,20.23,0.706057,25.0972,60.0148,7.04967,4.94303,118.757,0.89089,0.0869647,48.413,15.029,208.101,184.658,4.08,True
3.35638,14.6581,0.404678,45.8427,0.670448,0.610893,184.7,20.23,1.14505,28.9983,97.3291,6.63997,2.68705,257.12,0.67117,0.263398,134.169,12.773,208.278,139.64,4.08,False
3.04875,10.4784,0.47604,43.8628,0.800643,0.613012,185.341,20.23,0.946754,26.3958,80.4741,7.68001,3.65599,176.147,0.804447,0.158487,83.068,9.16911,208.189,166.685,4.08,True
2.65291,12.6668,0.751527,75.2332,0.862298,0.61508,185.966,20.23,0.878465,28.1463,74.6696,5.8949,4.43018,185.839,0.870056,0.105418,61.1305,7.02323,208.083,179.429,4.08,True
1.84466,7.68562,0.273865,59.7748,0.690211,0.607808,183.767,20.23,0.844907,38.9325,71.8171,9.34434,2.55909,341.98,0.691682,0.276296,254.789,25.225,208.576,143.961,4.06,False
4.25403,15.4974,0.665207,61.1388,0.774116,0.615152,185.987,20.23,1.07253,21.4303,91.1652,5.88261,3.91315,131.533,0.765845,0.128336,42.2163,5.44306,208.033,161.042,4.06,True
4.30692,10.082,0.809819,71.3478,0.872511,0.61584,186.196,20.23,0.78426,15.4779,66.6621,6.61197,5.3545,50.171,0.86738,0.0674416,17.1538,9.78181,207.989,181.473,4.08,True
1.80272,13.1022,0.418325,47.7188,0.672667,0.608001,183.825,20.23,1.03123,48.6233,87.6543,6.69006,2.79862,651.046,0.67126,0.228545,271.669,28.2604,208.617,140.33,4.06,False
2.5997,8.08191,0.607085,67.28,0.865682,0.615298,186.032,20.23,0.734774,24.0242,62.4558,7.72784,4.69146,113.245,0.876786,0.0970685,49.4313,11.7661,208.104,180.152,4.06,True
3.09029,15.062,0.331425,53.6434,0.601222,0.609941,184.412,20.23,1.18042,32.468,100.335,6.66149,2.20779,332.288,0.600117,0.348512,190.145,17.796,208.38,125.283,4.08,False
3.39225,5.90834,0.549291,56.6487,0.863665,0.6155,186.093,20.23,0.649253,16.2684,55.1865,9.34044,5.13062,45.8851,0.8709,0.0810516,23.7083,12.2073,208.036,179.673,4.08,True
2.34376,17.2616,0.845612,63.0151,0.806081,0.612779,185.27,20.23,0.979156,35.5106,83.2283,4.82159,4.07719,329.713,0.814878,0.127059,102.369,10.1248,208.245,167.862,4.08,False
2.06433,8.94849,0.367301,41.9891,0.785158,0.60858,184.001,20.23,0.892662,36.7559,75.8762,8.47922,3.11442,322.04,0.783656,0.208854,195.29,19.4453,208.472,163.684,4.06,False
3.99929,14.2617,0.737809,78.357,0.831629,0.61564,186.135,20.23,0.988088,21.0006,83.9875,5.88902,4.34497,116.366,0.822767,0.100471,32.4245,7.02579,207.973,172.957,4.08,True
3.78902,7.3904,0.39474,60.4001,0.784774,0.614962,185.93,20.23,0.823906,18.4829,70.032,9.47607,3.74059,75.16,0.780668,0.146953,44.9742,5.72191,208.033,163.259,4.06,True
1.94609,16.2487,0.671367,59.2637,0.76047,0.609435,184.259,20.23,1.00813,44.0322,85.6908,5.27369,3.54058,521.944,0.758541,0.162822,176.996,17.0989,208.438,158.511,4.06,False
2.5512,11.2163,0.521994,75.7377,0.823096,0.613114,185.372,20.23,0.933619,31.1059,79.3576,7.07521,3.69322,241.227,0.828948,0.150729,100.403,8.48754,208.162,171.337,4.08,True
3.51332,12.3582,0.911871,44.6084,0.834854,0.615185,185.997,20.23,0.821229,19.8685,69.8045,5.64846,5.15067,86.5694,0.838231,0.0817684,28.8529,9.95733,208.077,173.714,4.08,True
3.25384,9.84514,0.634129,45.0989,0.823884,0.614757,185.868,20.23,0.835044,21.8138,70.9787,7.20952,4.57177,106.106,0.821853,0.103828,41.9208,9.56692,208.1,171.45,4.06,True
2.8553,13.7033,0.265259,73.9677,0.54704,0.609911,184.403,20.23,1.14959,34.2225,97.7153,7.1308,1.89151,359.53,0.544196,0.42381,229.475,20.3043,208.43,114.02,4.08,False
1.63634,5.40239,0.782307,51.029,0.878238,0.613921,185.615,20.23,0.477361,24.7967,40.5757,7.51069,5.87566,78.3794,0.896063,0.0691144,48.4119,33.7602,208.468,183.084,4.06,True
