seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
9,2,23,4.4,18.3333,0.683385,80,0.788653,0.615293,186.03,20.23,1.14202,22.0617,97.0716,5.29482,3.6184,148.43,0.779139,0.141894,43.942,4.88784,207.999,164.039,4.06,True,0.0220755,0.77611,184.488,0.0395863
9,2,24,4.4,5,0.84486,40,0.898861,0.61547,186.084,20.23,0.49978,9.65485,42.4813,8.49627,7.17816,12.4405,0.955911,0.0451222,17.0958,11.4301,207.967,186.934,4.08,True,0.0220755,0.77611,184.488,0.0395863
9,2,25,4.4,12.8408,0.585232,80,0.819134,0.615598,186.122,20.23,1.0179,19.6639,86.5213,6.73801,3.94329,105.103,0.809082,0.120362,33.7833,4.59942,207.969,170.355,4.08,True,0.0220755,0.77611,184.488,0.0395863
9,2,26,4.4,10.1682,0.767628,40,0.843843,0.615383,186.057,20.23,0.809021,15.6288,68.7668,6.76291,5.1914,52.7692,0.844035,0.0802086,20.83,9.81207,208.007,175.525,4.08,True,0.0220755,0.77611,184.488,0.0395863
9,3,27,3.05032,5,0.546226,80,0.907891,0.616094,186.272,20.23,0.578073,16.1085,49.1362,9.82724,5.3679,40.0556,0.919545,0.0692746,20.0495,13.5138,207.973,188.817,4.08,True,0.0220755,0.77611,184.488,0.0395863
9,3,28,2.95969,5,0.916667,80,0.915362,0.61582,186.189,20.23,0.458888,13.1789,39.0055,7.80109,7.151,21.283,0.952173,0.0406817,19.9935,12.5099,207.813,190.224,4.1,True,0.0220755,0.77611,184.488,0.0395863
9,3,29,3.09717,5,0.469685,80,0.90248,0.616068,186.264,20.23,0.608104,16.689,51.6889,10.3378,4.8555,45.2282,0.911573,0.0852005,25.4134,13.0281,207.961,187.68,4.08,True,0.0220755,0.77611,184.488,0.0395863
9,3,30,2.92642,17.9873,0.916667,80,0.843314,0.61504,185.954,20.23,0.991727,28.8055,84.2968,4.68646,4.29592,219.741,0.848562,0.108246,58.8519,5.55226,208.041,175.444,4.08,True,0.0220755,0.77611,184.488,0.0395863
9,3,31,3.05004,5,0.627621,80,0.90962,0.61571,186.156,20.23,0.548717,15.2919,46.6409,9.32819,5.85457,34.2642,0.923497,0.0582459,16.2149,13.2894,207.969,189.173,4.08,True,0.0220755,0.77611,184.488,0.0395863
9,3,32,3.20582,5,0.52179,40,0.860561,0.615233,186.012,20.23,0.594161,15.7538,50.5037,10.1007,5.27046,39.3769,0.862056,0.0807705,22.8927,14.5888,208.062,179.05,4.08,True,0.0220755,0.77611,184.488,0.0395863
