strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,ok,hv,best_t180,best_e_reb_mJ,best_e_rebound
heuristic,7,0,0,3.31278,16.9629,0.767124,49.0083,0.810914,0.614736,185.862,20.23,1.04999,26.9408,89.2489,5.26143,4.03617,203.505,True,True,0.002425,0.810914,185.862,0.614736
heuristic,7,0,1,3.31278,16.9629,0.916667,49.0083,0.81418,0.614941,185.924,20.23,0.975245,25.0231,82.8958,4.8869,4.47966,163.066,True,True,0.002425,0.810914,185.862,0.614736
heuristic,7,0,2,3.31278,16.9629,0.53379,49.0083,0.804922,0.615102,185.972,20.23,1.15263,29.5744,97.9733,5.77576,3.08305,269.209,False,True,0.002425,0.810914,185.862,0.614736
heuristic,7,0,3,4.32778,16.9629,0.767124,49.0083,0.851727,0.615412,186.066,20.23,1.074,21.0939,91.2898,5.38175,4.12847,127.611,True,True,0.002425,0.810914,185.862,0.614736
heuristic,7,0,4,2.29778,16.9629,0.767124,49.0083,0.722321,0.613839,185.591,20.23,1.00793,37.2857,85.6742,5.0507,3.87451,374.183,False,True,0.002425,0.810914,185.862,0.614736
heuristic,7,0,5,3.31278,16.9629,0.767124,63.0083,0.820914,0.614816,185.886,20.23,1.0489,26.9129,89.1565,5.25598,4.03199,202.873,True,True,0.002425,0.810914,185.862,0.614736
heuristic,7,0,6,3.31278,16.9629,0.767124,40,0.804438,0.614722,185.858,20.23,1.05039,26.9512,89.2833,5.26346,4.03773,203.74,True,True,0.00262871,0.804438,185.858,0.614722
heuristic,7,0,7,3.31278,18.3333,0.767124,40,0.80259,0.614712,185.854,20.23,1.08612,27.8679,92.32,5.03563,3.86296,225.244,True,True,0.00268747,0.80259,185.854,0.614712
heuristic,7,0,8,3.31278,13.6667,0.767124,40,0.809426,0.61498,185.936,20.23,0.935487,24.003,79.5164,5.81828,4.46334,143.925,True,True,0.00268747,0.80259,185.854,0.614712
heuristic,7,1,9,3.31278,18.3333,0.916667,40,0.806547,0.614822,185.888,20.23,1.01787,26.1167,86.5188,4.71921,4.32594,185.394,True,True,0.00268747,0.80259,185.854,0.614712
heuristic,7,1,10,3.31278,18.3333,0.53379,40,0.795732,0.615209,186.005,20.23,1.18743,30.4673,100.931,5.50534,2.9387,294.336,False,True,0.00268747,0.80259,185.854,0.614712
heuristic,7,1,11,4.32778,18.3333,0.767124,40,0.845682,0.615338,186.044,20.23,1.10966,21.7943,94.3208,5.14477,3.94668,140.748,True,True,0.00268747,0.80259,185.854,0.614712
heuristic,7,1,12,2.29778,18.3333,0.767124,40,0.710369,0.613974,185.631,20.23,1.04478,38.6488,88.8062,4.84398,3.71593,416.739,False,True,0.00268747,0.80259,185.854,0.614712
heuristic,7,1,13,3.31278,18.3333,0.767124,54,0.813068,0.614746,185.865,20.23,1.08534,27.848,92.2543,5.03205,3.86021,224.763,True,True,0.00268747,0.80259,185.854,0.614712
heuristic,7,1,14,3.82028,18.3333,0.767124,40,0.827849,0.615057,185.959,20.23,1.09931,24.4593,93.4415,5.09681,3.90988,175.622,True,True,0.00268747,0.80259,185.854,0.614712
heuristic,7,1,15,2.85701,9.04043,0.435617,50.1948,0.78429,0.614433,185.77,20.23,0.887835,26.4143,75.466,8.34761,3.63636,165.417,True,True,0.00328954,0.78429,185.77,0.614433
heuristic,7,1,16,2.85701,9.04043,0.435617,64.1948,0.795718,0.614549,185.805,20.23,0.884256,26.3078,75.1617,8.31395,3.6217,163.424,True,True,0.00328954,0.78429,185.77,0.614433
heuristic,7,1,17,2.85701,9.04043,0.435617,40,0.775749,0.614406,185.762,20.23,0.889934,26.4767,75.6444,8.36734,3.64496,166.593,True,True,0.00356245,0.775749,185.762,0.614406
heuristic,7,2,18,3.87201,9.04043,0.435617,40,0.832717,0.615162,185.991,20.23,0.908939,19.9534,77.2598,8.54603,3.7228,96.6358,True,True,0.00356245,0.775749,185.762,0.614406
heuristic,7,2,19,1.84201,9.04043,0.435617,40,0.645652,0.613729,185.557,20.23,0.851449,39.2903,72.3732,8.0055,3.48733,350.993,False,True,0.00356245,0.775749,185.762,0.614406
heuristic,7,2,20,2.85701,13.7071,0.435617,40,0.764441,0.614964,185.931,20.23,1.09043,32.4418,92.6866,6.76194,2.94562,306.462,False,True,0.00356245,0.775749,185.762,0.614406
heuristic,7,2,21,2.85701,5,0.435617,40,0.791462,0.615345,186.046,20.23,0.623131,18.539,52.9662,10.5932,4.61459,57.1902,True,True,0.00356245,0.775749,185.762,0.614406
heuristic,7,2,22,2.85701,9.04043,0.66895,40,0.78702,0.615027,185.95,20.23,0.767127,22.8231,65.2058,7.21269,4.82493,106.705,True,True,0.00356245,0.775749,185.762,0.614406
heuristic,7,2,23,2.85701,9.04043,0.25,40,0.764395,0.615443,186.076,20.23,0.97188,28.9148,82.6098,9.13782,2.28445,216.981,False,True,0.00356245,0.775749,185.762,0.614406
heuristic,7,2,24,3.87201,9.04043,0.435617,40,0.832717,0.615162,185.991,20.23,0.908939,19.9534,77.2598,8.54603,3.7228,96.6358,True,True,0.00356245,0.775749,185.762,0.614406
heuristic,7,2,25,1.84201,9.04043,0.435617,40,0.645652,0.613729,185.557,20.23,0.851449,39.2903,72.3732,8.0055,3.48733,350.993,False,True,0.00356245,0.775749,185.762,0.614406
heuristic,7,2,26,2.85701,9.04043,0.66895,40,0.78702,0.615027,185.95,20.23,0.767127,22.8231,65.2058,7.21269,4.82493,106.705,True,True,0.00356245,0.775749,185.762,0.614406
heuristic,7,3,27,2.85701,9.04043,0.25,40,0.764395,0.615443,186.076,20.23,0.97188,28.9148,82.6098,9.13782,2.28445,216.981,False,True,0.00356245,0.775749,185.762,0.614406
