tier,regime,seed,metric,r2,rho,nrmse,null_skill,n
B,lander,0,F_peak_N,0.4351901544601071,0.556530791769712,0.2257979502179158,0.24846168059114038,18
B,lander,1,F_peak_N,0.5856187697600037,0.7696285098507161,0.24168753515618424,0.35627550128956853,18
