candidate,rel_span,rho_vs_t180,p,meaning,rho_H_over_R,rho_H_over_strut_d,rho_cable_over_strut_d,rho_twist_deg
e_rebound,0.006533,0.8184,5.787e-20,restitution velocity ratio (the objective being replaced),0.7314,-0.1726,0.3215,0.09412
t1000,0.2898,0.9965,1.315e-83,CFC-1000 transmissibility (high-frequency transmission),0.9604,0.1093,0.1414,0.1864
out_180_g,0.2982,1,5.151e-165,absolute filtered peak at the top vertex,0.9655,0.1269,0.119,0.1832
pulse_ms,0.00491,0.4746,1.135e-05,input pulse width at half peak (mat-owned; null control),0.5332,0.3357,-0.2699,0.02573
in_180_g,0.001014,-0.9756,8.888e-52,input peak (mat-owned; null control),-0.9455,-0.02019,-0.1534,-0.05123
peak_tendon_strain,0.6312,-0.4059,0.0002273,max TPU tension strain above slack (survivability),-0.2538,0.1366,-0.7639,-0.3155
peak_tendon_energy_mJ,1.573,-0.8749,1.231e-25,peak elastic energy in the tendon network,-0.9169,-0.1707,0.2614,-0.06526
stroke_mm,1.217,-0.8903,1.096e-27,max top-vertex-to-plate compression (article deformation),-0.8345,0.08236,-0.1715,-0.1848
