seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
2,0,0,3.755,17.9182,0.263175,65.6013,0.556208,0.611706,184.946,20.23,1.27976,28.9692,108.779,6.07089,1.5977,286.794,0.557914,0.546335,189.354,19.3434,208.35,115.886,4.06,False,0,inf,inf,inf
2,0,1,2.74254,10.9075,0.657725,54.7054,0.816492,0.614241,185.712,20.23,0.857514,26.5771,72.8887,6.68245,4.39521,161.743,0.822301,0.111453,61.1431,7.87052,208.157,169.958,4.06,True,0.0131469,0.816492,185.712,0.111453
2,0,2,1.51219,14.7521,0.484183,72.809,0.675494,0.607261,183.602,20.23,1.01076,56.8146,85.9146,5.82391,2.81984,871.238,0.67841,0.222236,317.033,28.7427,208.666,140.952,4.06,False,0.0131469,0.816492,185.712,0.111453
2,0,3,3.44507,7.6218,0.751167,46.9129,0.862594,0.615317,186.038,20.23,0.671425,16.566,57.0712,7.48789,5.62466,49.2043,0.877582,0.0693802,20.4674,12.1415,208.054,179.466,4.08,True,0.0144066,0.816492,185.712,0.0693802
2,0,4,3.19703,12.7048,0.694869,41.3775,0.817974,0.614261,185.718,20.23,0.931853,24.7753,79.2075,6.23445,4.33212,152.741,0.824499,0.115103,53.97,7.31197,208.136,170.25,4.06,True,0.0144066,0.816492,185.712,0.0693802
2,0,5,2.21858,6.3813,0.383583,78.2939,0.877252,0.613159,185.385,20.23,0.719123,27.5516,61.1254,9.57883,3.67428,145.769,0.882004,0.159512,105.934,8.88994,208.173,182.62,4.06,True,0.0144066,0.816492,185.385,0.0693802
2,0,6,2.44957,15.8766,0.891178,59.2112,0.81492,0.613756,185.566,20.23,0.917752,31.846,78.0089,4.91346,4.37877,248.544,0.824759,0.111749,78.6691,8.81569,208.211,169.675,4.08,True,0.0146779,0.81492,185.385,0.0693802
2,0,7,4.32577,9.67439,0.540787,61.1278,0.815029,0.615404,186.064,20.23,0.892705,17.5414,75.8799,7.84338,4.2416,73.3505,0.807786,0.110689,30.1798,5.56801,208.001,169.527,4.08,True,0.0147147,0.81492,185.385,0.0693802
2,0,8,4.14767,13.4423,0.847529,76.7129,0.857041,0.615774,186.176,20.23,0.905194,18.5505,76.9415,5.72384,4.85112,83.1809,0.849188,0.0800669,23.0149,9.01738,207.976,178.244,4.08,True,0.0148847,0.81492,185.385,0.0693802
2,1,9,3.14146,5,0.916667,70.9981,0.931041,0.61587,186.205,20.23,0.462565,12.5159,39.3181,7.86361,7.20831,19.3493,0.986227,0.0409627,19.5934,14.5051,207.846,193.513,4.1,True,0.0148847,0.81492,185.385,0.0409627
2,1,10,4.4,18.3333,0.7616,80,0.80991,0.615519,186.099,20.23,1.11092,21.461,94.4283,5.15064,3.92272,136.632,0.800039,0.12068,36.8921,4.48244,207.979,168.444,4.06,True,0.0157047,0.80991,185.385,0.0409627
2,1,11,4.4,5,0.916667,40,0.894333,0.61545,186.078,20.23,0.479676,9.26646,40.7724,8.15449,7.47495,10.9988,0.965704,0.0422252,17.7532,11.4928,207.997,186.019,4.08,True,0.0157047,0.80991,185.385,0.0409627
2,1,12,4.4,14.788,0.64499,80,0.814543,0.615561,186.111,20.23,1.05976,20.4726,90.0793,6.0914,3.92889,118.61,0.80456,0.120848,35.2767,4.43025,207.974,169.403,4.06,True,0.0157047,0.80991,185.385,0.0409627
2,1,13,1.51401,5,0.916667,76.8842,0.909047,0.615745,186.167,20.23,0.410432,23.0425,34.8867,6.97734,6.3959,58.193,0.951804,0.0599464,45.9993,28.7049,208.322,189.374,4.06,True,0.0157047,0.80991,185.385,0.0409627
2,1,14,4.04568,5,0.57979,40,0.876305,0.615355,186.049,20.23,0.583356,12.2563,49.5852,9.91705,5.74981,23.4005,0.891207,0.0673573,13.7445,10.5526,207.977,182.251,4.08,True,0.0157375,0.80991,185.385,0.0409627
2,1,15,4.4,10.9583,0.64341,80,0.854724,0.615728,186.162,20.23,0.903724,17.4583,76.8165,7.00992,4.51025,73.5543,0.845554,0.091417,23.3299,7.87227,207.953,177.743,4.08,True,0.0157821,0.80991,185.385,0.0409627
2,1,16,1.51196,5,0.916667,43.7939,0.978198,0.613748,185.563,20.23,0.410965,23.1038,34.932,6.9864,6.4042,58.5785,1.03895,0.0629802,55.2338,37.2724,208.617,204.068,4.04,True,0.0157821,0.80991,185.385,0.0409627
2,1,17,4.4,18.3333,0.916667,80,0.839715,0.615646,186.137,20.23,1.04391,20.1664,88.732,4.83992,4.4366,113.366,0.830233,0.0937401,27.6732,6.90457,207.963,174.63,4.08,True,0.0160365,0.80991,185.385,0.0409627
2,2,18,4.4,9.90337,0.913159,40,0.868255,0.615386,186.058,20.23,0.735907,14.2164,62.5521,6.31624,5.76773,39.7165,0.876979,0.0663997,16.3257,10.4356,207.985,180.584,4.08,True,0.0160761,0.80991,185.385,0.0409627
2,2,19,4.4,9.50956,0.655723,40,0.832129,0.615373,186.055,20.23,0.8289,16.0128,70.4565,7.40902,4.85827,56.7555,0.827848,0.0908788,23.6313,9.51302,208.011,173.092,4.08,True,0.0162705,0.80991,185.385,0.0409627
2,2,20,4.4,7.10979,0.863869,40,0.892885,0.615313,186.036,20.23,0.617382,11.9267,52.4774,7.38101,6.37623,23.4511,0.916318,0.0556039,16.6525,11.7531,207.95,185.675,4.08,True,0.0162705,0.80991,185.385,0.0409627
2,2,21,4.4,18.3333,0.916667,42.4909,0.790075,0.615146,185.986,20.23,1.04492,20.1859,88.8179,4.84461,4.4409,113.696,0.783707,0.105241,33.8671,6.62548,208.045,164.371,4.06,True,0.0199943,0.790075,185.385,0.0409627
2,2,22,4.4,12.1991,0.627987,51.5906,0.79517,0.615217,186.007,20.23,0.971159,18.761,82.5485,6.76678,4.24945,91.2792,0.789431,0.11252,33.0053,5.4846,208.026,165.416,4.08,True,0.0199943,0.790075,185.385,0.0409627
2,2,23,4.4,9.05991,0.773636,43.7238,0.857876,0.615428,186.071,20.23,0.752872,14.5441,63.9941,7.06344,5.46453,42.527,0.861634,0.072435,17.9502,9.81671,207.996,178.435,4.08,True,0.0200303,0.790075,185.385,0.0409627
2,2,24,2.29761,12.0809,0.916667,80,0.891148,0.615543,186.106,20.23,0.763915,28.2611,64.9328,5.37482,4.92692,162.926,0.891191,0.0866813,55.4014,15.2922,208.093,185.442,4.08,True,0.0200303,0.790075,185.385,0.0409627
2,2,25,4.4,12.5496,0.916667,40,0.841721,0.615374,186.055,20.23,0.844837,16.3207,71.8111,5.72217,5.24532,60.0924,0.842196,0.0784817,21.4957,9.74281,208.012,175.088,4.08,True,0.0202215,0.790075,185.385,0.0409627
2,2,26,4.4,8.5378,0.916667,50.5474,0.889535,0.61544,186.075,20.23,0.671479,12.9718,57.0757,6.68506,6.12797,30.1716,0.899955,0.0579678,16.725,10.7365,207.966,184.993,4.08,True,0.0202468,0.790075,185.385,0.0409627
