seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
0,0,0,2.87781,12.9003,0.579653,52.5541,0.782106,0.613087,185.363,20.23,0.991239,29.2776,84.2553,6.53126,3.78586,226.891,0.784356,0.146103,85.542,9.20295,208.194,162.829,4.08,True,0.0152653,0.782106,185.363,0.146103
0,0,1,3.85084,10.785,0.725032,74.9373,0.859903,0.615822,186.19,20.23,0.846234,18.679,71.9299,6.66943,4.83555,78.8437,0.85349,0.0825111,24.7371,10.2241,207.984,178.846,4.08,True,0.0173405,0.782106,185.363,0.0825111
0,0,2,3.15809,18.0264,0.399109,42.2773,0.622355,0.609855,184.386,20.23,1.23321,33.1918,104.823,5.81495,2.3208,362.799,0.621211,0.328194,186.893,17.6108,208.378,129.685,4.08,False,0.0173405,0.782106,185.363,0.0825111
0,0,3,1.91329,5.13809,0.87954,60.2067,0.865685,0.61503,185.951,20.23,0.447169,19.866,38.0094,7.39757,6.50646,47.1261,0.885016,0.0561464,29.3816,26.645,208.333,180.351,4.06,True,0.0180485,0.782106,185.363,0.0561464
0,0,4,1.53648,15.6513,0.626854,67.2589,0.708917,0.607498,183.673,20.23,0.97273,53.8125,82.6821,5.28276,3.31152,752.191,0.713668,0.17797,255.868,24.1695,208.594,147.876,4.06,False,0.0180485,0.782106,185.363,0.0561464
0,0,5,3.55169,7.72073,0.479915,45.2665,0.819229,0.614854,185.897,20.23,0.8016,19.1841,68.136,8.82508,4.23529,78.7789,0.819673,0.120244,40.784,7.5856,208.063,170.451,4.06,True,0.0191002,0.782106,185.363,0.0561464
0,0,6,4.1369,13.3964,0.810892,77.6163,0.853722,0.61574,186.165,20.23,0.920589,18.9151,78.2501,5.84113,4.73653,87.9536,0.845502,0.0838776,24.3527,8.79399,207.971,177.549,4.08,True,0.019325,0.782106,185.363,0.0561464
0,0,7,2.5749,9.66311,0.332339,59.9214,0.729351,0.60998,184.424,20.23,0.956047,31.56,81.264,8.40971,2.79487,254.286,0.72982,0.247642,160.902,14.735,208.345,151.957,4.06,False,0.019325,0.782106,185.363,0.0561464
0,0,8,2.30711,17.3385,0.786042,49.4202,0.800159,0.611389,184.85,20.23,1.01006,37.2132,85.8551,4.95169,3.89224,373.517,0.800672,0.139475,118.808,12.7436,208.327,166.695,4.06,False,0.019325,0.782106,185.363,0.0561464
0,1,9,1.5,5,0.570383,44.9734,0.865372,0.6119,185.004,20.23,0.519774,29.4539,44.1808,8.83616,5.04,120.412,0.865713,0.0934564,91.0478,24.9694,208.47,180.404,4.04,True,0.019325,0.782106,185.004,0.0561464
0,1,10,4.4,5,0.916667,43.3959,0.900539,0.615484,186.088,20.23,0.479716,9.26723,40.7758,8.15516,7.47557,11.0015,0.96768,0.0420445,17.7821,11.0623,207.978,187.292,4.08,True,0.019325,0.782106,185.004,0.0420445
0,1,11,1.60476,5,0.505659,55.3303,0.820939,0.612555,185.202,20.23,0.549438,29.1024,46.7023,9.34045,4.72309,124.264,0.813361,0.105961,89.006,21.9478,208.385,171.071,4.06,True,0.0197932,0.782106,185.004,0.0420445
0,1,12,1.52203,5,0.674893,53.4148,0.841967,0.613371,185.449,20.23,0.481924,26.9138,40.9635,8.19271,5.5292,93.2177,0.845614,0.0783904,61.9245,34.8684,208.458,175.514,4.04,True,0.0201751,0.782106,185.004,0.0420445
0,1,13,1.5,11.0137,0.601348,40,0.740506,0.608242,183.898,20.23,0.824051,46.6962,70.0443,6.35974,3.82442,479.828,0.738115,0.143196,202.26,24.2798,208.593,154.465,4.06,False,0.0201751,0.782106,185.004,0.0420445
0,1,14,4.4,5,0.916667,80,0.93879,0.615893,186.212,20.23,0.479614,9.26527,40.7672,8.15344,7.47398,10.9945,0.98859,0.0382891,17.7726,8.25269,207.838,195.116,4.08,True,0.0201751,0.782106,185.004,0.0382891
0,1,15,1.5,10.6593,0.916667,46.0078,0.817269,0.610892,184.699,20.23,0.659182,37.3536,56.0305,5.2565,4.81846,245.606,0.815719,0.0986839,109.187,18.7745,208.496,170.397,4.04,True,0.0204579,0.782106,184.699,0.0382891
0,1,16,1.5,5,0.604223,76.3435,0.876892,0.614831,185.891,20.23,0.500601,28.3674,42.5511,8.51022,5.14207,107.572,0.891563,0.0911041,81.1775,24.0705,208.292,182.65,4.06,True,0.0204579,0.782106,184.699,0.0382891
0,1,17,4.4,5,0.509759,66.7013,0.884553,0.61584,186.196,20.23,0.611829,11.8194,52.0055,10.4011,5.30206,22.824,0.88225,0.0711778,13.7264,9.94897,207.965,183.956,4.08,True,0.0204579,0.782106,184.699,0.0382891
0,2,18,2.72818,12.2873,0.64957,40,0.835884,0.613099,185.367,20.23,0.924022,28.7891,78.5419,6.39211,4.15212,204.507,0.837749,0.126243,77.2395,9.39781,208.221,174.049,4.06,True,0.0204579,0.782106,184.699,0.0382891
0,2,19,1.5,5,0.916667,40,1.00395,0.613679,185.542,20.23,0.410244,23.2471,34.8707,6.97414,6.39297,59.2039,1.06846,0.0640134,61.2006,36.4993,208.639,209.464,4.04,True,0.0204579,0.782106,184.699,0.0382891
0,2,20,1.5,9.15228,0.82986,40,0.849424,0.610706,184.643,20.23,0.633184,35.8804,53.8207,5.88058,4.88006,217.678,0.845199,0.0966952,114.162,19.22,208.509,177.113,4.04,True,0.0204579,0.782106,184.643,0.0382891
0,2,21,2.85145,13.474,0.633789,40,0.819194,0.612871,185.298,20.23,0.987222,29.4285,83.9138,6.22785,3.94714,228.308,0.821696,0.137433,83.931,9.65422,208.221,170.574,4.06,True,0.0204579,0.782106,184.643,0.0382891
0,2,22,2.92084,5,0.899104,40,0.818508,0.615437,186.074,20.23,0.46301,13.4742,39.3559,7.87117,7.07701,22.4472,0.847093,0.0433597,19.9391,17.8075,208.091,170.324,4.06,True,0.02293,0.782106,184.643,0.0382891
0,2,23,4.4,13.4743,0.654062,40,0.784173,0.615089,185.968,20.23,1.01225,19.5549,86.0415,6.38559,4.17657,103.364,0.774566,0.119917,37.0013,6.04557,208.048,163.145,4.06,True,0.0237966,0.782106,184.643,0.0382891
0,2,24,4.4,18.3333,0.690436,80,0.790733,0.615321,186.039,20.23,1.13921,22.0075,96.8329,5.2818,3.64675,147.338,0.781154,0.139775,43.2521,4.8447,207.996,164.47,4.06,True,0.0237966,0.782106,184.643,0.0382891
0,2,25,1.5,7.42303,0.916667,40,0.895442,0.612167,185.085,20.23,0.527168,29.8728,44.8093,6.03652,5.53348,125.623,0.904211,0.0770183,83.597,28.6027,208.532,186.728,4.04,True,0.0237966,0.782106,184.643,0.0382891
0,2,26,4.4,5,0.804312,40,0.899758,0.615484,186.088,20.23,0.511781,9.88668,43.5014,8.70027,6.99773,13.3584,0.948566,0.0471611,16.6258,11.4055,207.955,187.109,4.08,True,0.0237966,0.782106,184.643,0.0382891
0,3,27,2.63256,7.43058,0.629518,58.3839,0.850397,0.615094,185.97,20.23,0.690794,22.3043,58.7175,7.90214,4.97454,91.769,0.864372,0.0881309,41.3082,13.5752,208.137,176.999,4.06,True,0.0237966,0.782106,184.643,0.0382891
0,3,28,3.16192,5,0.916667,58.1255,0.90635,0.615489,186.089,20.23,0.46305,12.4479,39.3593,7.87186,7.21587,19.1597,0.965262,0.0414839,19.6459,15.6184,207.922,188.45,4.08,True,0.0237966,0.782106,184.643,0.0382891
0,3,29,2.09893,11.9128,0.883177,72.0548,0.872943,0.614825,185.889,20.23,0.761428,30.8355,64.7214,5.43292,4.79823,193.33,0.876243,0.0946916,71.3154,12.1657,208.192,181.74,4.08,True,0.0237966,0.782106,184.643,0.0382891
0,3,30,4.4,11.3255,0.916667,40,0.853688,0.615383,186.057,20.23,0.7956,15.3696,67.626,5.97111,5.47352,50.1864,0.857405,0.0728133,19.0323,9.79883,208.001,177.568,4.08,True,0.0237966,0.782106,184.643,0.0382891
0,3,31,3.82053,17.4332,0.824437,44.4344,0.775212,0.614698,185.85,20.23,1.05193,23.4035,89.4138,5.12893,4.22848,153.857,0.767753,0.11661,46.0707,6.36901,208.087,161.311,4.06,True,0.0251234,0.775212,184.643,0.0382891
0,3,32,3.22183,7.73122,0.916667,40,0.857983,0.615018,185.947,20.23,0.611137,16.1233,51.9467,6.71908,6.15916,42.4246,0.885959,0.0585066,18.5472,12.8791,208.067,178.518,4.08,True,0.0251234,0.775212,184.643,0.0382891
0,3,33,2.98361,5,0.909818,80,0.916015,0.61582,186.19,20.23,0.461165,13.1381,39.199,7.83981,7.1328,21.2565,0.952679,0.0408276,19.8686,12.4017,207.815,190.362,4.1,True,0.0251234,0.775212,184.643,0.0382891
0,3,34,3.05525,5,0.609556,40,0.853805,0.615173,185.994,20.23,0.558053,15.5256,47.4345,9.48689,5.7828,35.9202,0.86496,0.0667825,18.6323,15.1587,208.083,177.662,4.08,True,0.0251234,0.775212,184.643,0.0382891
0,3,35,2.06164,9.24186,0.640685,59.4963,0.825755,0.61334,185.44,20.23,0.756708,31.1985,64.3202,6.95966,4.45895,196.683,0.829835,0.112143,86.8999,10.5816,208.271,171.981,4.08,True,0.0251234,0.775212,184.643,0.0382891
