seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,hv,best_t180,best_e_reb_mJ
1,0,0,32.1266,89.6262,59.7792,7.8831,5.3902,0.748538,206.945,22.5528,1.23784,0.748538,206.945
1,0,1,33.7842,80.0836,77.408,10.8717,3.0003,0.73902,172.252,18.7931,5.81675,0.73902,172.252
1,0,2,38.9665,99.995,47.6915,7.0737,3.9241,0.695723,195.37,21.3126,6.76591,0.695723,172.252
1,0,3,25.1224,72.0587,65.1213,10.1789,4.664,0.773181,187.049,20.3866,6.76591,0.695723,172.252
1,0,4,27.6114,104.13,70.4432,9.2816,4.4922,0.826827,188.33,20.5235,6.76591,0.695723,172.252
1,0,5,36.3001,63.2297,52.994,6.4571,4.055,0.583724,204.756,22.3494,8.16991,0.583724,172.252
1,0,6,35.9821,96.4464,62.1055,11.662,3.4949,0.746173,173.439,18.9226,8.16991,0.583724,172.252
1,0,7,30.1066,74.8199,44.4573,8.5803,4.9377,0.693671,197.263,21.5084,8.18528,0.583724,172.252
1,0,8,29.0207,100.866,63.7624,6.199,3.1969,0.800004,191.253,20.8503,8.18528,0.583724,172.252
1,1,9,39.9855,60,40.8051,10.8212,3,0.506071,172.3,18.8167,16.2975,0.506071,172.252
1,1,10,40,60,70.9228,11.7333,3,0.576477,172.117,18.7958,16.3446,0.506071,172.117
1,1,11,40,60,40,7.97637,3,0.494237,180.662,19.7332,16.7781,0.494237,172.117
1,1,12,34.8002,60,40,11.5625,3,0.561421,170.611,18.6312,17.243,0.494237,170.611
1,1,13,40,89.1989,42.2011,10.6704,3,0.648252,171.9,18.7583,17.243,0.494237,170.611
1,1,14,40,60,57.1466,8.77767,3,0.537289,178.962,19.5469,17.243,0.494237,170.611
1,1,15,38.8872,60,40,6,3,0.498938,192.061,20.9779,17.243,0.494237,170.611
1,1,16,40,60,40,12,4.38437,0.558786,179.615,19.6275,17.243,0.494237,170.611
1,1,17,40,71.1972,80,12,3,0.655105,171.294,18.6955,17.243,0.494237,170.611
1,2,18,40,60,40,12,3,0.507216,170.201,18.585,17.4826,0.494237,170.201
1,2,19,40,60,40,9.40325,3,0.499836,175.666,19.1853,17.5138,0.494237,170.201
1,2,20,40,60,40,8.66775,3,0.497183,177.993,19.4407,17.5209,0.494237,170.201
1,2,21,37.3396,60,40,12,3,0.53455,170.064,18.5705,17.5663,0.494237,170.064
1,2,22,40,60,40,10.1887,3,0.502302,173.62,18.962,17.574,0.494237,170.064
1,2,23,40,60,40,11.3477,3,0.505576,171.267,18.7027,17.5764,0.494237,170.064
1,2,24,40,60,40,8.31842,3,0.495729,179.276,19.5813,17.5784,0.494237,170.064
1,2,25,40,60,40,9.02736,3,0.498551,176.797,19.3095,17.5799,0.494237,170.064
1,2,26,40,60,40,9.78186,3,0.501092,174.62,19.072,17.5812,0.494237,170.064
1,3,27,38.6651,60,40,12,3,0.52074,170.133,18.5778,17.5821,0.494237,170.064
1,3,28,40,64.1422,40,12,3,0.530965,170.09,18.571,17.5823,0.494237,170.064
1,3,29,39.3298,60,40,12,3,0.513919,170.167,18.5814,17.5825,0.494237,170.064
1,3,30,40,62.0817,40,12,3,0.519329,170.144,18.5778,17.5826,0.494237,170.064
1,3,31,40,65.3694,40,12,3,0.53769,170.06,18.567,17.5841,0.494237,170.06
1,3,32,38.015,60,40,12,3,0.527515,170.1,18.5743,17.5843,0.494237,170.06
1,3,33,40,66.1693,40,12,3,0.542069,170.04,18.5645,17.5907,0.494237,170.04
1,3,34,39.6643,60,40,12,3,0.510591,170.184,18.5832,17.5907,0.494237,170.04
1,3,35,37.6791,60,40,12,3,0.53105,170.082,18.5724,17.5907,0.494237,170.04
