R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta,feasible,pareto
37.7587820077315,106.56830024905503,54.508703611791134,8.187300961464643,3.3498636675067246,4745.697954550175,0.0007297977189422028,0.7324569205658688,1,0
25.501292808912694,74.25556703470647,65.12327421456575,10.471983790397644,4.811533945146948,4707.514730568442,0.0017723155735651834,0.7326399663397416,1,0
31.16182927042246,92.55501165986061,46.833085268735886,6.515905469655991,5.457536712754518,4778.652891469277,0.000683006881692618,0.7324557052223183,1,0
35.78689333982766,60.046966690570116,73.69729064404964,11.756631921976805,3.956646262202412,4726.522075675714,0.007529500671493879,0.7339346245184364,1,1
34.11029818467796,87.72439019754529,60.65514259040356,10.60051853209734,3.678102243691683,4700.649546137164,0.0015341844867919315,0.7324446249894441,1,0
29.352952148765326,68.4731325507164,58.77171769738197,6.933767784386873,5.179078301414847,4768.44573749389,0.0021083247062813506,0.732887064188067,1,0
27.573784696869552,98.51502030156553,78.0183370783925,9.353928107768297,4.53341855853796,4716.287761809751,0.0007328984710004523,0.732500672458596,1,0
39.6989917056635,79.4590758997947,42.38512512296438,8.543610848486423,3.07166207768023,4745.394144264206,0.003920118863138343,0.7329762445708323,1,0
38.28642936423421,96.13397660665214,75.22903189063072,7.337269920855761,4.602785000577569,4761.561799174238,0.0010808075857312908,0.7326776848843857,1,0
28.043353399261832,66.16648406721652,44.59337554872036,11.122590221464634,3.609864853322506,4702.00203545669,0.003494770468540587,0.7338276218644655,1,0
29.82477438170463,107.21758207306266,63.45177199691534,8.680545754730701,4.2142042722553015,4725.188820185818,0.0005801310381371949,0.7327184518151573,1,0
32.69914537202567,77.05477628856897,56.565908677875996,9.416050303727388,5.246344555169344,4731.548927602008,0.0023610862174377216,0.7324465307449977,1,0
34.376190579496324,102.69823897629976,49.00227326899767,9.751857966184616,4.899545250926167,4705.768221038474,0.0008826530257145327,0.732499259252105,1,0
31.633200556971133,84.22972237691283,70.86892303079367,7.583003472536802,3.8673193608410656,4762.6140263950265,0.001254259022286446,0.732461755518099,1,0
25.97131268121302,88.58728901483119,52.34195701777935,11.514079492539167,3.2633235626854002,4667.795407765651,0.0010281760250739325,0.7327249834928425,1,0
36.34576939046383,70.3140841703862,67.95896604657173,6.207517862319946,4.25632991315797,4780.066358744521,0.0028343181655577196,0.7328397999370188,1,0
36.860307031311095,90.56285940110683,43.40534910559654,9.065284665673971,4.040077623911202,4734.000370699307,0.0014807730722068478,0.7324530298860431,1,0
26.603015302680433,71.50538856163621,76.53909049928188,8.281471565365791,5.35176847781986,4752.001877631911,0.0017898822238867917,0.7324867686188675,1,0
32.20633175224066,101.54956345446408,55.416903756558895,10.724961385130882,4.747614764608443,4676.029854307307,0.0009277788039395692,0.7327221714073556,1,0
35.06648709066212,82.29678086005151,64.8010103777051,6.985104706138372,3.397019083611667,4768.911030981372,0.0015423796219903932,0.7326795827709506,1,0
33.008576137945056,109.9814537819475,72.05154199153185,6.652205877006054,3.1185033819638193,4774.377430750534,0.00043461312674657226,0.7325606288183831,1,0
30.251427572220564,77.47188200242817,47.68785651773214,11.8195517398417,4.469166192691773,4680.120702715265,0.002225106905010007,0.7324164288173447,1,0
28.29419049900025,95.77208826318383,69.1024111956358,7.887077573686838,5.073662334587425,4750.407760487383,0.0006369593571201508,0.7325248566783038,1,0
