seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,hv,best_t180,best_e_reb_mJ,best_e_rebound
4,0,0,3.8569,10.5422,0.53227,51.3023,0.839655,0.615233,186.012,20.23,0.935999,20.6279,79.56,7.54679,4.01693,106.354,True,0.00150144,0.839655,186.012,0.615233
4,0,1,1.88311,14.83,0.852641,62.52,0.6811,0.613219,185.403,20.23,0.865966,39.088,73.6071,4.9634,4.232,353.31,False,0.00150144,0.839655,186.012,0.615233
4,0,2,2.56758,7.97681,0.403394,49.0203,0.759464,0.614182,185.694,20.23,0.834795,27.636,70.9576,8.89548,3.58838,170.255,True,0.00410618,0.759464,185.694,0.614182
4,0,3,3.49246,17.4973,0.713328,75.283,0.836883,0.615085,185.967,20.23,1.08969,26.5211,92.624,5.29362,3.77608,204.672,True,0.00410618,0.759464,185.694,0.614182
4,0,4,3.27668,6.02317,0.806994,74.6159,0.844388,0.616456,186.382,20.23,0.55752,14.4626,47.3892,7.86782,6.34928,31.1401,True,0.00410618,0.759464,185.694,0.614182
4,0,5,2.73518,15.2833,0.497223,40.9374,0.754423,0.614826,185.889,20.23,1.10809,34.4355,94.1874,6.16277,3.06427,350.878,False,0.00410618,0.759464,185.694,0.614182
4,0,6,1.71406,8.38126,0.59214,66.9372,0.663861,0.613027,185.345,20.23,0.71367,35.3908,60.662,7.23781,4.28579,238.697,True,0.00740971,0.663861,185.345,0.613027
4,0,7,4.07407,12.8253,0.271932,58.1352,0.844388,0.615969,186.235,20.23,1.14153,23.8165,97.0302,7.56553,2.05731,172.907,False,0.00740971,0.663861,185.345,0.613027
4,0,8,4.32878,7.27705,0.648391,44.2681,0.855582,0.616683,186.451,20.23,0.708556,13.9132,60.2272,8.27632,5.3663,36.6267,True,0.00740971,0.663861,185.345,0.613027
4,1,9,1.5,8.94384,0.636572,79.356,0.628549,0.612933,185.317,20.23,0.699057,39.6132,59.4199,6.64366,4.22917,292.929,False,0.00740971,0.663861,185.345,0.613027
4,1,10,1.5,9.21085,0.911518,42.1027,0.610168,0.612559,185.204,20.23,0.604678,34.2651,51.3976,5.58012,5.08638,189.582,True,0.00931171,0.610168,185.204,0.612559
4,1,11,1.5,9.7319,0.901579,80,0.638559,0.612946,185.321,20.23,0.62642,35.4971,53.2457,5.47126,4.93277,210.776,True,0.00931171,0.610168,185.204,0.612559
4,1,12,1.5,7.77403,0.407991,80,0.620656,0.613875,185.602,20.23,0.748156,42.3955,63.5933,8.18022,3.33745,359.088,False,0.00931171,0.610168,185.204,0.612559
4,1,13,1.5,9.02345,0.50621,40,0.576822,0.613248,185.412,20.23,0.784624,44.462,66.693,7.39108,3.74144,414.199,False,0.00931171,0.610168,185.204,0.612559
4,1,14,1.5,7.1574,0.550228,40,0.596363,0.612571,185.207,20.23,0.66032,37.4181,56.1272,7.84185,4.3148,246.881,True,0.00977354,0.596363,185.204,0.612559
