strut_d_mm,crutch_freemass_peak_g,crutch_constmass_peak_g,lander_freemass_peak_g,lander_constmass_peak_g
6.0,1.0012056510986356,1.0024228468706866,97.56937946753193,96.59716817580336
6.5,1.0014163437034906,1.0024968955013476,97.40674009295209,96.58362108936029
7.0,1.001638912651352,1.0026366317483844,97.23587955860282,96.57716894090474
7.5,1.001884390030106,1.0027831168301937,97.04787181681617,96.56706183339215
8.0,1.0021612954782873,1.0027777550135037,96.96476647388839,96.55371385795581
8.5,1.002465038342967,1.0027752856700818,96.75761991054267,96.54033347298669
9.0,1.0027759095422353,1.0027759095422353,96.52693430599818,96.52693430599818
9.5,1.0030634322804173,1.0027688001568755,96.29004689603082,96.51343171272494
10.0,1.0033157453962684,1.0027553173269705,96.02976318372195,96.5034032023622
10.5,1.0035036884906847,1.0027312228252754,95.88608948202565,96.49464323389034
11.0,1.0035967475831464,1.0027002667187244,95.60826472091983,96.48082743913227
11.5,1.0035939464433627,1.0026562310749303,95.31727667563555,96.46698410207784
12.0,1.003576230157797,1.0026181430242538,95.12446780461678,96.45316682061298
