strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,ok,hv,best_t180,best_e_reb_mJ,best_e_rebound
sobol,7,3,30,2.64976,14.2245,0.739339,70.1512,0.783466,0.614321,185.736,20.23,0.945553,30.3318,80.372,5.65023,4.17744,232.301,True,True,0.00744413,0.659371,185.482,0.613479
sobol,7,3,31,3.29851,8.73133,0.547481,43.6179,0.813859,0.615102,185.972,20.23,0.821913,21.1801,69.8626,8.00136,4.38059,98.4574,True,True,0.00744413,0.659371,185.482,0.613479
sobol,7,3,32,3.23703,16.159,0.307507,57.2373,0.803791,0.615869,186.204,20.23,1.22083,32.0574,103.771,6.42186,1.97476,335.029,False,True,0.00744413,0.659371,185.482,0.613479
sobol,7,3,33,2.62057,6.71731,0.83275,68.9853,0.799809,0.616133,186.284,20.23,0.571828,18.5477,48.6054,7.23584,6.02564,52.5306,True,True,0.00744413,0.659371,185.482,0.613479
sobol,7,3,34,1.887,14.6649,0.528122,46.9453,0.648259,0.614347,185.744,20.23,1.03208,46.4902,87.7271,5.98212,3.15929,595.671,False,True,0.00744413,0.659371,185.482,0.613479
sobol,7,3,35,3.96478,9.12284,0.674804,79.3183,0.861237,0.6159,186.214,20.23,0.791001,16.9581,67.2351,7.36998,4.97329,60.7436,True,True,0.00744413,0.659371,185.482,0.613479
sobol,7,4,36,4.25498,12.0156,0.872222,74.1597,0.865512,0.616051,186.259,20.23,0.839862,16.7776,71.3883,5.94129,5.18212,63.1301,True,True,0.00744413,0.659371,185.482,0.613479
sobol,7,4,37,1.59698,10.8357,0.352187,42.0796,0.579322,0.614673,185.843,20.23,0.966068,51.4195,82.1158,7.57829,2.66897,682.074,False,True,0.00744413,0.659371,185.482,0.613479
sobol,7,4,38,2.31905,17.1556,0.630773,63.8657,0.73622,0.614456,185.777,20.23,1.07468,39.3903,91.3479,5.32466,3.35866,445.273,False,True,0.00744413,0.659371,185.482,0.613479
sobol,7,4,39,3.53837,6.65915,0.489299,52.4107,0.83303,0.615661,186.141,20.23,0.728414,17.4982,61.9152,9.29775,4.54938,59.5572,True,True,0.00744413,0.659371,185.482,0.613479
sobol,7,4,40,3.45269,14.1323,0.586032,42.9325,0.812814,0.614843,185.894,20.23,1.04914,25.8283,89.1769,6.31013,3.69794,186.893,True,True,0.00744413,0.659371,185.482,0.613479
sobol,7,4,41,2.49534,9.68406,0.439726,70.7938,0.768743,0.614418,185.766,20.23,0.901522,30.7091,76.6294,7.91295,3.47953,227.027,True,True,0.00744413,0.659371,185.482,0.613479
sobol,7,4,42,1.76195,15.0275,0.910971,52.6405,0.650516,0.612929,185.315,20.23,0.836251,40.3423,71.0813,4.73008,4.30897,363.435,False,True,0.00744413,0.659371,185.482,0.613479
sobol,7,4,43,4.18065,7.8254,0.385453,61.1268,0.855201,0.61538,186.057,20.23,0.86153,17.5164,73.2301,9.35799,3.60706,70.588,True,True,0.00744413,0.659371,185.482,0.613479
sobol,7,4,44,3.74318,18.3148,0.567573,65.9437,0.839077,0.615383,186.058,20.23,1.17805,26.7511,100.134,5.4674,3.10315,225.121,True,True,0.00744413,0.659371,185.482,0.613479
