strategy,seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,print_scale,ok,hv,best_t180,best_e_reb_mJ
random,1,0,0,32.6773,107.523,45.7664,11.6919,3.77958,0.76931,174.503,19.0329,0.708045,True,4.23001,0.76931,174.503
random,1,0,1,31.3499,101.385,56.368,9.29756,3.0689,0.779341,175.299,19.1179,0.842679,True,4.23001,0.76931,174.503
random,1,0,2,36.3027,86.9072,53.1893,10.7306,3.75799,0.698616,177.599,19.3847,0.787876,True,7.03605,0.698616,174.503
random,1,0,3,31.8025,66.7021,56.1245,7.22073,3.65578,0.657556,192.562,21.0163,1.05681,True,8.05148,0.657556,174.503
random,1,0,4,36.2555,74.0204,59.4076,11.8844,5.40414,0.667582,188.168,20.5316,0.745517,True,8.18782,0.657556,174.503
random,1,0,5,35.8718,87.0613,51.0756,6.96391,5.42481,0.688927,214.84,23.4214,0.903297,True,8.18782,0.657556,174.503
random,1,0,6,32.741,65.7933,64.9396,10.6601,4.53251,0.673239,185.769,20.2744,0.844491,True,8.2487,0.657556,174.503
random,1,0,7,38.7595,61.9796,61.1436,8.75602,3.15587,0.572886,180.648,19.7327,0.978084,True,11.6432,0.572886,174.503
random,1,0,8,34.6199,102.632,63.7176,7.56058,5.0997,0.76558,205.962,22.446,0.859248,True,11.6432,0.572886,174.503
random,1,1,9,32.6424,85.5444,70.1212,6.88753,5.04907,0.748768,211.916,23.0927,0.944565,True,11.6432,0.572886,174.503
random,1,1,10,35.2493,99.3548,47.6647,10.8142,3.47831,0.733059,174.689,19.0591,0.760682,True,11.7487,0.572886,174.503
random,1,1,11,26.2233,102.761,74.4513,11.2592,4.17977,0.838292,178.511,19.4564,0.738688,True,11.7487,0.572886,174.503
random,1,1,12,29.1107,60.3546,65.8288,10.3195,5.08892,0.689755,192.189,20.9592,0.870157,True,11.7487,0.572886,174.503
random,1,1,13,29.2282,70.7609,65.5733,10.8303,5.40918,0.733421,191.764,20.9041,0.806349,True,11.7487,0.572886,174.503
random,1,1,14,27.2579,84.1106,75.7886,8.5363,4.47376,0.800524,192.908,21.024,0.899653,True,11.7487,0.572886,174.503
random,1,1,15,25.3674,93.673,76.7635,10.961,5.2138,0.834037,187.812,20.4613,0.751269,True,11.7487,0.572886,174.503
random,1,1,16,34.9053,72.2776,70.7407,7.27005,5.07819,0.68655,211.146,23.0192,0.958669,True,11.7487,0.572886,174.503
random,1,1,17,25.9408,101.274,46.5803,8.25088,3.79185,0.803205,185.564,20.2266,0.883915,True,11.7487,0.572886,174.503
random,1,2,18,35.3701,68.9286,55.8502,6.03495,3.65624,0.620661,202.226,22.0695,1.12657,True,11.7487,0.572886,174.503
random,1,2,19,31.3178,65.2961,65.3264,8.28255,4.81323,0.681972,200.347,21.8474,0.949902,True,11.7487,0.572886,174.503
random,1,2,20,34.808,81.5613,74.6928,9.79281,5.02569,0.735533,193.593,21.1103,0.820739,True,11.7487,0.572886,174.503
random,1,2,21,30.1269,87.1835,47.8519,11.9768,3.60804,0.744488,173.057,18.8813,0.747114,True,11.9321,0.572886,173.057
random,1,2,22,28.853,63.6595,50.3121,10.5788,4.74473,0.67726,186.635,20.3598,0.849315,True,11.9321,0.572886,173.057
random,1,2,23,26.9301,78.8119,56.8369,9.98991,4.13982,0.762936,182.712,19.9241,0.849761,True,11.9321,0.572886,173.057
random,1,2,24,33.7978,101.984,69.0589,8.19004,4.12099,0.781195,190.896,20.8141,0.870693,True,11.9321,0.572886,173.057
random,1,2,25,30.5155,65.4867,48.1297,7.70284,3.78533,0.651844,190.478,20.7892,1.02054,True,11.9321,0.572886,173.057
random,1,2,26,29.6957,88.835,78.8676,10.648,4.97783,0.802203,187.986,20.4898,0.776942,True,11.9321,0.572886,173.057
random,1,3,27,36.389,89.8494,76.7077,10.1378,4.25089,0.751369,184.471,20.1234,0.805105,True,11.9321,0.572886,173.057
random,1,3,28,26.1563,84.4225,48.5132,6.79618,4.26516,0.763486,200.915,21.8948,1.00204,True,11.9321,0.572886,173.057
random,1,3,29,36.7763,74.7503,70.7509,9.15378,3.37262,0.680017,180.618,19.718,0.917343,True,11.9327,0.572886,173.057
random,1,3,30,39.4745,80.0818,51.8094,11.082,3.31115,0.64085,173.791,18.9732,0.792178,True,12.4697,0.572886,173.057
random,1,3,31,36.0039,69.3912,55.6997,7.3914,5.10307,0.64272,209.76,22.8807,0.948485,True,12.4697,0.572886,173.057
random,1,3,32,30.8511,108.735,65.0105,10.1617,4.30381,0.809554,183.103,19.961,0.760645,True,12.4697,0.572886,173.057
random,1,3,33,29.6345,79.7778,77.6374,7.20722,5.47055,0.777268,214.1,23.3225,0.932705,True,12.4697,0.572886,173.057
random,1,3,34,36.3746,77.9893,65.6605,8.28589,3.95373,0.684747,190.297,20.7669,0.932433,True,12.4697,0.572886,173.057
random,1,3,35,32.557,60.8361,59.7429,11.8296,3.71366,0.640784,175.628,19.1807,0.827986,True,12.47,0.572886,173.057
