seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,hv,best_t180,best_e_reb_mJ,best_e_rebound
6,0,0,3.50003,8.70975,0.764035,66.9382,0.840549,0.616192,186.302,20.23,0.722967,17.5576,61.4522,7.05556,5.3907,59.514,True,0.00142802,0.840549,186.302,0.616192
6,0,1,1.78782,15.3951,0.447688,49.2048,0.625686,0.614824,185.888,20.23,1.0893,51.7897,92.5905,6.01429,2.69252,780.193,False,0.00142802,0.840549,186.302,0.616192
6,0,2,2.56748,6.83128,0.689897,76.7221,0.795788,0.615514,186.097,20.23,0.627584,20.7771,53.3447,7.80888,5.38733,72.3451,True,0.0028262,0.795788,186.097,0.615514
6,0,3,4.30788,13.517,0.34995,59.6161,0.853301,0.615783,186.178,20.23,1.14018,22.4973,96.9155,7.16988,2.5091,154.1,False,0.0028262,0.795788,186.097,0.615514
6,0,4,3.82069,6.54218,0.560407,54.1127,0.845656,0.61642,186.371,20.23,0.693415,15.4266,58.9402,9.00927,5.04886,44.0658,True,0.0028262,0.795788,186.097,0.615514
6,0,5,2.6467,13.1876,0.900315,72.0098,0.789512,0.614679,185.845,20.23,0.828692,26.6138,70.4388,5.34127,4.80883,156.739,True,0.00310018,0.789512,185.845,0.614679
6,0,6,1.88985,11.3312,0.319604,44.5607,0.641974,0.615012,185.945,20.23,1.02035,45.8923,86.7294,7.65403,2.44626,573.846,False,0.00310018,0.789512,185.845,0.614679
6,0,7,3.08097,17.9754,0.635911,61.8352,0.803017,0.614861,185.9,20.23,1.12502,31.0379,95.6267,5.31986,3.38296,289.41,False,0.00310018,0.789512,185.845,0.614679
6,0,8,3.26687,7.79947,0.268079,73.5671,0.825046,0.615451,186.078,20.23,0.889617,23.1467,75.6174,9.6952,2.59908,127.278,False,0.00310018,0.789512,185.845,0.614679
6,1,9,1.96774,14.1021,0.916667,76.6085,0.713608,0.613529,185.497,20.23,0.816476,35.269,69.4004,4.92128,4.51117,271.206,False,0.00310018,0.789512,185.845,0.614679
6,1,10,1.72106,5,0.916667,40,0.810246,0.615166,185.992,20.23,0.421454,20.8149,35.8236,7.16472,6.56766,48.7602,True,0.00310018,0.789512,185.845,0.614679
6,1,11,1.5,10.477,0.916667,73.0696,0.628434,0.612688,185.243,20.23,0.650462,36.8595,55.2893,5.2772,4.83743,235.988,True,0.00866692,0.628434,185.243,0.612688
6,1,12,1.50486,17.9234,0.916667,77.0727,0.611702,0.613467,185.478,20.23,0.893116,50.4465,75.9148,4.23551,3.88255,606.93,False,0.00866692,0.628434,185.243,0.612688
6,1,13,2.29377,13.325,0.916667,73.1636,0.755853,0.614144,185.683,20.23,0.809746,30.0067,68.8284,5.16534,4.7349,194.694,True,0.00866692,0.628434,185.243,0.612688
6,1,14,1.5,5.05234,0.916667,47.5356,0.772293,0.614513,185.795,20.23,0.413078,23.4077,35.1116,6.94957,6.37044,60.4393,True,0.00866692,0.628434,185.243,0.612688
6,1,15,1.5,5.45519,0.916667,53.5863,0.725796,0.614364,185.749,20.23,0.433839,24.5842,36.8763,6.75986,6.19653,70.0179,True,0.00866692,0.628434,185.243,0.612688
6,1,16,1.5,13.2154,0.916667,72.5635,0.616992,0.612704,185.247,20.23,0.747913,42.3817,63.5726,4.81051,4.40963,358.737,False,0.00866692,0.628434,185.243,0.612688
6,1,17,2.33268,16.2742,0.916667,40,0.726411,0.613692,185.546,20.23,0.912644,33.2557,77.5747,4.76673,4.3695,269.527,False,0.00866692,0.628434,185.243,0.612688
