specimen,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,pychrono_peak_g,pychrono_peak_ke_J,pychrono_settled_com_z_m
0,37.7587820077315,106.56830024905503,54.508703611791134,8.187300961464643,3.3498636675067246,302.0498318143435,0.011232921001781394,0.053394651632818556
34,30.8856987580657,105.7396044395864,75.88506441563368,11.971560034900904,5.136327645275742,147.12419453364623,0.023143354788616836,0.05324150645626806
68,34.3281072890386,105.63041855581105,44.89649936556816,8.802916087210178,5.460939867887646,216.2140190585399,0.012664730003552048,0.053135017282978016
102,27.05075786449015,106.46101919934154,65.96158266067505,10.969953641295433,3.0495130685158074,188.5748849582298,0.019292092121380652,0.05325815639315954
136,38.239612258039415,105.91549136675894,64.6609503030777,6.541597466915846,3.9219638747163117,nan,nan,nan
170,30.403504157438874,106.7464760877192,45.726075023412704,10.230630610138178,4.635484939906746,131.26171192336378,0.01700134978668707,0.053618920172928616
204,34.81270151678473,106.2592399213463,74.74236410111189,7.450175978243351,4.266928075347096,236.34741300614692,0.00913839278242369,0.053246559117269256
238,26.56478140503168,105.4294023104012,56.118760369718075,9.709509775042534,4.178368490654975,206.15456680250526,0.014952775122061819,0.052695466834979075
272,36.89970470033586,105.3893075697124,70.1034252718091,10.653094617649913,4.764361693058163,216.82582107237627,0.018763108734928206,0.05321281143961348
306,31.9640453113243,106.12234984524548,59.03833869844675,8.368860935792327,3.7590612140484154,246.37342565519506,0.011403080628371387,0.053059167391587406
340,33.29707836732268,106.80948024615645,60.49076162278652,11.53823453374207,4.04953144909814,212.0179068309485,0.021934801941245082,0.05363710310834654
374,27.832305137999356,106.07834783382714,49.11440350115299,7.87117731012404,4.429793408606201,305.72529403784534,0.009934012631992135,0.052932420910395184
408,39.259765576571226,106.31115989759564,40.25817073881626,9.298889307305217,4.963515786919743,194.44208718397599,0.014521611101649946,0.05348263851786248
442,29.603535612113774,105.57888046838343,68.88177178800106,7.109882270917296,3.468810808379203,nan,nan,nan
476,35.653357496485114,105.86355024948716,50.33912483602762,9.891066553071141,3.2222865563817322,176.71290786822902,0.016127579815270507,0.05312700679623557
511,37.72493470925838,74.06296263448894,41.13796558231115,11.39066637866199,4.147530295420438,172.85460255971634,0.01631831689969786,0.038010496772655875
