cable_stiffness_Npm,peak_g,peak_strain_J,settled_z_m
5.000000000000000000e+02,3.632740438974788333e+01,6.390328010169827461e-03,1.054258022072580431e-01
8.891397050194613030e+02,3.637137443686358296e+01,6.886111940240269638e-03,1.055131526753679272e-01
1.581138830084189522e+03,3.644929772581135552e+01,6.711291354646991766e-03,1.055643705730760495e-01
2.811706625951745082e+03,3.658702156742020861e+01,5.929969609557377008e-03,1.055939347166377357e-01
4.999999999999999091e+03,3.682926497914727548e+01,4.744903689695769214e-03,1.056108226703665887e-01
8.891397050194613257e+03,3.726124912851071258e+01,3.430695047335520151e-03,1.056204071029537839e-01
1.581138830084189431e+04,3.835665156112460750e+01,2.419546857860666901e-03,1.056258253972615635e-01
2.811706625951745082e+04,3.974032952060661472e+01,1.760156027624831809e-03,1.056288815306430373e-01
5.000000000000000000e+04,4.137085328375290771e+01,1.279080128385493356e-03,1.056306030600200618e-01
