specimen,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,crutch_payload_Fpeak_N,crutch_floor_Fpeak_N,crutch_floor_impulse_Ns,crutch_static_weight_N,lander_payload_Fpeak_N,lander_floor_Fpeak_N,lander_floor_impulse_Ns,lander_static_weight_N
0,37.7587820077315,106.56830024905503,54.508703611791134,8.187300961464643,3.3498636675067246,737.6053164305797,39.65681508608854,0.6273790116032796,735.75,4745.697954550175,5079.792769820444,56.53322204077514,49.050000000000004
1,25.501292808912694,74.25556703470647,65.12327421456575,10.471983790397644,4.811533945146948,738.4038868073936,55.925815676423,0.8075583424267714,735.75,4707.514730568442,5053.437275687906,57.08684358823338,49.050000000000004
2,31.16182927042246,92.55501165986061,46.833085268735886,6.515905469655991,5.457536712754518,737.1269036517242,27.87228995783879,0.35004720770801073,735.75,4778.652891469277,5103.011725802835,56.82232016905813,49.050000000000004
3,35.78689333982766,60.046966690570116,73.69729064404964,11.756631921976805,3.956646262202412,736.7383602371891,49.00746184671323,0.9388491475323217,735.75,4726.522075675714,5066.0151105845225,57.38893655315864,49.050000000000004
4,34.11029818467796,87.72439019754529,60.65514259040356,10.60051853209734,3.678102243691683,738.0482377675971,57.09155151604757,0.9407585696250431,735.75,4700.649546137164,5050.340968445966,57.06292631356375,49.050000000000004
5,29.352952148765326,68.4731325507164,58.77171769738197,6.933767784386873,5.179078301414847,736.8350382451349,27.1653259634814,0.32347283661640286,735.75,4768.44573749389,5104.673292246157,57.07314706909783,49.050000000000004
6,27.573784696869552,98.51502030156553,78.0183370783925,9.353928107768297,4.53341855853796,738.1751757576018,56.236522887537035,0.791609970993159,735.75,4716.287761809751,5045.590185854181,56.7511442397786,49.050000000000004
7,39.6989917056635,79.4590758997947,42.38512512296438,8.543610848486423,3.07166207768023,736.8667990324135,29.73221196239262,0.5240399375986318,735.75,4745.394144264206,5094.388232327581,57.022543853420075,49.050000000000004
8,38.28642936423421,96.13397660665214,75.22903189063072,7.337269920855761,4.602785000577569,737.2304571903825,32.31489973869042,0.4600592729295897,735.75,4761.561799174238,5086.786553518033,56.59545225742616,49.050000000000004
9,28.043353399261832,66.16648406721652,44.59337554872036,11.122590221464634,3.609864853322506,737.6925580516588,50.516053207352854,0.8247918734325597,735.75,4702.00203545669,5081.974887803838,57.22760593889727,49.050000000000004
10,29.82477438170463,107.21758207306266,63.45177199691534,8.680545754730701,4.2142042722553015,737.9410301352613,51.10476940954534,0.7266105920346593,735.75,4725.188820185818,5050.473460713472,56.33559836200589,49.050000000000004
11,32.69914537202567,77.05477628856897,56.565908677875996,9.416050303727388,5.246344555169344,737.8201307290213,47.44956574737107,0.672237937031712,735.75,4731.548927602008,5082.153098147302,57.20108689745652,49.050000000000004
12,34.376190579496324,102.69823897629976,49.00227326899767,9.751857966184616,4.899545250926167,738.6372803001923,61.04541545433967,0.9089325884530852,735.75,4705.768221038474,5036.3892582676835,56.68342972169049,49.050000000000004
13,31.633200556971133,84.22972237691283,70.86892303079367,7.583003472536802,3.8673193608410656,737.1166971616892,30.07786956248463,0.43200442940477723,735.75,4762.6140263950265,5084.910591285445,57.01492826025545,49.050000000000004
14,25.97131268121302,88.58728901483119,52.34195701777935,11.514079492539167,3.2633235626854002,737.7361743265576,74.05746213155632,1.1128668086905162,735.75,4667.795407765651,5010.773852163864,56.890245597505526,49.050000000000004
15,36.34576939046383,70.3140841703862,67.95896604657173,6.207517862319946,4.25632991315797,736.4802232529892,21.22864723395669,0.26660744629997696,735.75,4780.066358744521,5123.757675006182,57.21240604067793,49.050000000000004
16,36.860307031311095,90.56285940110683,43.40534910559654,9.065284665673971,4.040077623911202,737.8142979158351,42.72844499595614,0.6809656852125877,735.75,4734.000370699307,5072.357020909869,56.95237719626078,49.050000000000004
17,26.603015302680433,71.50538856163621,76.53909049928188,8.281471565365791,5.35176847781986,737.5201476293108,37.28478915115053,0.47936849053181924,735.75,4752.001877631911,5082.628596385436,57.23234175788967,49.050000000000004
18,32.20633175224066,101.54956345446408,55.416903756558895,10.724961385130882,4.747614764608443,738.5368232130064,74.754074917867,1.1073273896152371,735.75,4676.029854307307,5016.558131461604,56.57792723729733,49.050000000000004
19,35.06648709066212,82.29678086005151,64.8010103777051,6.985104706138372,3.397019083611667,736.7244985663099,24.211960828317554,0.35386940756167967,735.75,4768.911030981372,5089.807898317884,56.85766350441532,49.050000000000004
20,33.008576137945056,109.9814537819475,72.05154199153185,6.652205877006054,3.1185033819638193,737.0706016149234,28.317432950092392,0.4144434048767332,735.75,4774.377430750534,5102.783504127324,56.38391038043929,49.050000000000004
21,30.251427572220564,77.47188200242817,47.68785651773214,11.8195517398417,4.469166192691773,738.43840599097,69.35686654593025,1.0975387707581055,735.75,4680.120702715265,5046.433303472339,57.28896249284939,49.050000000000004
22,28.29419049900025,95.77208826318383,69.1024111956358,7.887077573686838,5.073662334587425,737.876092205271,38.70929966482167,0.5298801012482298,735.75,4750.407760487383,5072.6606164633085,56.764774312992174,49.050000000000004
23,38.65448877681047,63.45782972872257,50.98851278424263,10.197989903390408,3.7619049469940364,736.682535475133,38.17208560496758,0.708834283274434,735.75,4747.063023452256,5085.3521814919,57.292425807539786,49.050000000000004
24,39.12585327401757,99.6643633954227,66.31310310214758,11.404237870126963,5.318819991778582,739.1804564683436,79.54234501008828,1.2712472983021625,735.75,4665.85128773865,5014.6860922001015,56.85571554265131,49.050000000000004
25,26.883495366200805,81.3926849886775,53.19676626473665,6.11813934892416,4.163379007484764,736.6946446080881,21.14410397722989,0.2677262058430353,735.75,4780.194389937641,5097.759362153393,56.844579513385476,49.050000000000004
26,28.83840743917972,85.74796150438488,74.84817430377007,10.07268076390028,3.5178772541694343,737.9194284918742,53.57685819370156,0.8222288157716499,735.75,4708.363092743272,5049.564511717146,56.8892987033664,49.050000000000004
27,33.47860268782824,67.28096985258162,45.48204444348812,7.836398039013147,4.712223102804273,736.8875605032854,32.0747754960371,0.4186042222248031,735.75,4758.432300429166,5132.440635945845,57.28853919781795,49.050000000000004
28,35.53604905959219,92.91642316617072,57.58609466254711,8.989605411887169,4.365395481698215,737.9720455593953,44.671686340099136,0.6862362699646934,735.75,4728.198116217175,5054.53540802695,56.70872547177213,49.050000000000004
29,30.793777094222605,62.755144191905856,61.972639709711075,9.657773282378912,3.1709825033321977,736.9613136155083,34.009495570356485,0.5721873246348611,735.75,4746.065105835392,5076.244584168437,57.40405856115554,49.050000000000004
30,25.19185491837561,103.80547758191824,41.238599605858326,7.239102657884359,3.816828473471105,737.3244066385176,34.506693921702606,0.47126389080322323,735.75,4760.694756348438,5087.726783825745,56.38865701215431,49.050000000000004
31,37.3321358859539,73.83951036259532,79.3747853860259,11.044977620244026,4.972335991449654,737.8607411721661,57.564137153115496,0.9421005719155129,735.75,4696.754346937182,5061.374013904529,57.17725238273091,49.050000000000004
