specimen,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,crutch_payload_Fpeak_N,crutch_floor_Fpeak_N,crutch_floor_impulse_Ns,crutch_static_weight_N,lander_payload_Fpeak_N,lander_floor_Fpeak_N,lander_floor_impulse_Ns,lander_static_weight_N
32,37.47441398445517,91.82321074418724,62.935967445373535,10.256231032311916,3.026517326477915,737.6128037939458,51.466287617783394,0.894295246168137,735.75,4705.147365550919,5045.062512363204,56.97064798806026,49.050000000000004
33,25.341575085185468,60.876139709725976,57.31978811323643,8.016329292207956,4.493075352627784,736.9779598739623,30.836175884085485,0.39110349762963664,735.75,4758.602607652494,5159.529577529488,57.35670893843593,49.050000000000004
34,30.8856987580657,105.7396044395864,75.88506441563368,11.971560034900904,5.136327645275742,739.0738884116488,100.43448524367321,1.463603335370256,735.75,4633.101853213384,4975.696190519357,56.69201401848738,49.050000000000004
35,35.62076468952,74.98784516006708,44.01909176260233,6.687701873481274,3.6305596162565053,736.562357663155,22.49566837896176,0.30834313109707767,735.75,4772.752228581449,5102.51405220802,56.975953633764604,49.050000000000004
36,33.796833558008075,97.78360057622194,51.58212635666132,7.043301489204168,3.9773395489901304,737.160838102184,29.318446083133402,0.4190969380001341,735.75,4770.457360699274,5098.025415448805,56.717587045756574,49.050000000000004
37,29.163851719349623,80.28863048180938,68.46851419657469,10.854260310530663,5.483193781226873,738.85129686443,64.79353669779928,0.9540571254870871,735.75,4694.4141636405575,5043.459998626102,57.02366227615455,49.050000000000004
38,27.26855758111924,86.89454988576472,49.5706058293581,8.433435514569283,4.83967356570065,737.9171356523708,40.70923022290127,0.5675569935358094,735.75,4743.640865449781,5067.248840845713,56.97494268410155,49.050000000000004
39,39.50348034966737,69.2042665462941,70.20663410425186,9.100827869027853,3.3730299323797226,736.5876506084537,31.07647706264155,0.5625384647636633,735.75,4753.791046802967,5081.963800758256,57.327043625425674,49.050000000000004
40,39.039433393627405,107.94986140914261,47.40630071610212,10.916451171040535,4.3014354556798935,738.4346214686874,76.3258989607431,1.2193612409212757,735.75,4669.176826013335,5008.072468974379,56.60483537971078,49.050000000000004
41,28.671936010941863,76.2260816898197,73.03988460451365,7.1801219545304775,3.303627299144864,736.7953242767347,24.639769702692313,0.34918717204440547,735.75,4768.5249278921665,5098.5438442479735,56.96770758019539,49.050000000000004
42,30.569540006108582,96.9631476700306,53.7537556886673,9.623013999313116,3.9101091884076595,738.0664823415032,55.787810423881204,0.8307336731797712,735.75,4713.730541676429,5050.862209243837,56.81701191921743,49.050000000000004
43,33.33413801621646,65.43468119576573,65.6377051025629,8.836868986487389,4.9471273850649595,737.0820069337976,39.45211170503183,0.5348866060331666,735.75,4746.634389969259,5081.721109142922,57.184154010415746,49.050000000000004
44,35.15852009411901,89.31842403486371,78.67925234138966,7.707827243953943,5.225614481139928,737.4149584680717,35.978069343259605,0.48681163438337405,735.75,4754.791446500209,5078.077610497503,56.744266511911604,49.050000000000004
45,32.2909369925037,69.48424488306046,41.815724074840546,10.01374726742506,4.188510081265122,737.5170427034199,44.41698603000638,0.6949004034748387,735.75,4721.901088048544,5105.825036880858,57.323787760440524,49.050000000000004
46,26.745403790846467,103.52779178880155,60.14422092586756,6.083335720002651,3.581762057263404,736.8881301714653,23.72805146210218,0.32203840295978575,735.75,4783.339822197018,5101.526615091163,56.5320216035308,49.050000000000004
47,37.009915858507156,83.49830088205636,59.53048001974821,11.251548651605844,4.579655820969492,738.3801297519409,62.53778799813228,1.0538440949801096,735.75,4686.641862503183,5045.387205482952,57.17857701388698,49.050000000000004
