specimen,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,pybullet_peak_g,pybullet_peak_ke_J,pybullet_settled_com_z_m
0,37.7587820077315,106.56830024905503,54.508703611791134,8.187300961464643,3.3498636675067246,135.03706634126087,0.010395209815916708,0.051136220057074834
16,36.860307031311095,90.56285940110683,43.40534910559654,9.065284665673971,4.040077623911202,118.68157056773005,0.011057144973784027,0.04307701213444691
32,37.47441398445517,91.82321074418724,62.935967445373535,10.256231032311916,3.026517326477915,159.0016245508366,0.01406352935891525,0.044131821916426874
49,26.289489432238042,83.12700431793928,46.21635440737009,9.225361604243517,5.047973652370274,155.92640291809056,0.0099791828054571,0.04370163114989235
65,25.748602664098144,68.72751735150814,49.32554002851248,6.306450694799423,3.009165145456791,138.9949468047165,0.011417681530877615,0.10315123642857867
82,32.4241102905944,94.55315353348851,79.03076190501451,8.865927770733833,3.1124824467115104,88.3732493704285,0.010636030763054527,0.046754025144943125
98,30.638645109720528,87.83015393652022,59.812681414186954,7.806874517351389,3.9736074320971966,109.49498882452002,0.007765708338237779,0.043282755889374004
115,34.54341016244143,77.770282831043,71.84551924467087,8.650181092321873,4.725608806591481,119.24426590154707,0.008848593977816427,0.03744785091636364
131,35.96740596462041,76.04791767895222,66.72491706907749,11.14535253122449,4.520895753055811,147.3594689958299,0.014331714571580152,0.0365106790516076
148,33.180226855911314,93.97249025292695,67.73590479046106,7.260400101542473,5.406417201273143,139.8675533668152,0.007278005037031376,0.04867802939162012
164,33.735053413547575,88.78753049299121,48.51782161742449,6.060664985328913,4.546512909699231,98.4148344225113,0.00491665735512567,0.05264436803826652
181,30.152660771273077,74.0397644136101,60.5476076900959,7.466534502804279,3.755526456050575,155.78693563698138,0.006197099828369666,0.045721238735538385
197,29.524362599477172,65.69181782193482,64.9848309904337,10.362004738301039,4.524487873539329,141.31547592,0.010539328406826249,0.03352499309446468
214,28.707401868887246,85.27062795124948,54.61293041706085,10.811317171901464,4.478858345653862,100.73560279818103,0.013920512484293341,0.044058368044389964
230,26.979843792505562,97.49294225126505,74.14355203509331,11.861580960452557,5.493639336898923,126.18052951047166,0.018381138149847768,0.05168746810078038
247,38.31137381028384,80.98458032123744,57.42577005177736,10.64327447488904,3.4330453439615667,95.46143026773464,0.013919001806379713,0.03783747258867419
263,39.74370718933642,64.63758665136993,74.08319644629955,6.955640958622098,5.12387922918424,104.51954160817093,0.0054473895769527984,0.04121637480704819
280,39.08634105231613,97.31320612132549,59.534459337592125,9.816429695114493,3.5014356411993504,86.06971492860006,0.013742775715879259,0.04631328292885738
296,38.99837979581207,85.3167215269059,79.06515814363956,9.504446754232049,3.892904649954289,127.24403444766801,0.011694470391356302,0.03963148713499821
313,27.578937360085547,76.62098597735167,52.34798651188612,9.972753329202533,4.332385819405317,117.15682550324095,0.010896393700706296,0.03924781873031959
329,28.209124449640512,63.09994034469128,53.02789229899645,7.056130008772016,3.8707268768921494,97.73005621121852,0.004885766257911785,0.04357568235281188
346,29.026088560931385,88.82838817313313,62.657511197030544,8.117712439969182,3.80434791976586,125.51452529693194,0.008389376442489504,0.04466856872224871
362,30.286666895262897,93.79972451366484,43.43935023993254,8.555729119107127,3.5705022113397717,139.8252141355483,0.009719182822516995,0.047272434902908354
379,33.95697106141597,83.7393825314939,65.46974666416645,7.899859691038728,5.2794383415021,97.21932541717469,0.007837754631064989,0.03996167709408799
395,32.56935383658856,82.13907279074192,70.58840334415436,11.89640654437244,4.898366478271782,123.5703406181819,0.016631109441345084,0.04171617125096246
412,35.40626087691635,87.83212554641068,73.95298313349485,6.5121853072196245,4.715817311778665,156.46261414922807,0.005635928654827436,0.06398610593080835
428,35.25901922490448,94.39032984897494,54.73482545465231,6.809519408270717,4.948442326392978,119.12295689774857,0.006506665658450608,0.04487372678816606
445,31.44210869912058,79.64283199049532,76.76705293357372,6.7162129227072,3.200366275385022,130.8282383329568,0.00540836846344743,0.04265067647793715
461,31.98488438501954,72.17351746745408,78.61890137195587,9.609395926818252,4.931242882274091,116.05136108249593,0.010022725805648856,0.03567979081990304
478,25.30938013922423,91.65494254790246,48.32749284803867,11.562461664900184,5.018688500393182,106.29899348858976,0.016415188173288492,0.04889034899504345
494,26.62786557804793,90.57159278541803,67.8581889718771,11.109796861186624,4.625998797826469,158.74035652925892,0.015267273774881403,0.04764662804577421
511,37.72493470925838,74.06296263448894,41.13796558231115,11.39066637866199,4.147530295420438,120.11432509677672,0.014778565370910527,0.03460595901973966
