seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,hv,best_t180,best_e_reb_mJ,best_e_rebound
9,0,0,3.04604,8.09386,0.797262,40.8754,0.806056,0.616341,186.347,20.23,0.668733,18.6611,56.8423,7.02289,5.59908,62.1862,True,0.00244474,0.806056,186.347,0.616341
9,0,1,1.71558,14.1673,0.423337,76.3205,0.6481,0.614978,185.935,20.23,1.03952,51.5042,88.3593,6.23684,2.64028,736.355,False,0.00244474,0.806056,186.347,0.616341
9,0,2,2.68779,10.3998,0.748671,59.7777,0.785886,0.614732,185.861,20.23,0.787314,24.8984,66.9217,6.4349,4.81762,130.335,True,0.00320839,0.785886,185.861,0.614732
9,0,3,4.26015,17.3325,0.374562,63.0435,0.853084,0.615952,186.229,20.23,1.23781,24.6972,105.214,6.07032,2.27371,201.614,False,0.00320839,0.785886,185.861,0.614732
9,0,4,3.82758,8.61558,0.562199,65.221,0.848836,0.615592,186.121,20.23,0.816028,18.1218,69.3624,8.05081,4.52616,71.5607,True,0.00320839,0.785886,185.861,0.614732
9,0,5,2.47448,15.7321,0.852334,51.9551,0.751721,0.613918,185.614,20.23,0.933946,32.0816,79.3854,5.04607,4.30094,256.686,False,0.00320839,0.785886,185.861,0.614732
9,0,6,2.01933,6.33476,0.319592,74.1235,0.717617,0.614252,185.715,20.23,0.738659,31.0925,62.786,9.91134,3.16759,190.688,True,0.00542675,0.717617,185.715,0.614252
9,0,7,3.56906,12.6443,0.609543,48.6785,0.825384,0.61499,185.939,20.23,0.985727,23.4759,83.7868,6.62643,4.0391,145.067,True,0.00542675,0.717617,185.715,0.614252
9,0,8,3.42922,11.3973,0.266383,54.7156,0.815024,0.615768,186.174,20.23,1.08152,26.8075,91.9289,8.06586,2.14861,207.547,False,0.00542675,0.717617,185.715,0.614252
9,1,9,1.57679,9.17376,0.916667,53.832,0.638572,0.612888,185.303,20.23,0.607118,32.728,51.605,5.62529,5.15651,173.653,True,0.00827901,0.638572,185.303,0.612888
9,1,10,1.5,18.3333,0.910653,53.6374,0.580466,0.613324,185.435,20.23,0.9107,51.6063,77.4095,4.22234,3.84509,647.665,False,0.00827901,0.638572,185.303,0.612888
9,1,11,1.5,5,0.316709,71.7374,0.623095,0.613568,185.509,20.23,0.614756,34.8361,52.2542,10.4508,3.30987,199.219,True,0.00878134,0.623095,185.303,0.612888
9,1,12,1.5,5,0.283597,78.2435,0.626053,0.614018,185.645,20.23,0.623612,35.338,53.007,10.6014,3.00653,207.954,True,0.00878134,0.623095,185.303,0.612888
9,1,13,1.5,12.7685,0.916667,54.3476,0.602433,0.612467,185.176,20.23,0.7346,41.6273,62.441,4.89023,4.48271,339.92,False,0.00878134,0.623095,185.303,0.612888
9,1,14,1.5,17.6698,0.916667,49.6222,0.578311,0.613192,185.395,20.23,0.889167,50.3861,75.5792,4.27731,3.92087,602.8,False,0.00878134,0.623095,185.303,0.612888
9,1,15,1.5,5.1191,0.515392,71.7141,0.639352,0.612973,185.329,20.23,0.542035,30.7153,46.073,9.00021,4.63863,136.555,True,0.00878134,0.623095,185.303,0.612888
9,1,16,1.5,7.88808,0.73776,53.3063,0.618462,0.612549,185.2,20.23,0.612027,34.6815,52.0223,6.59505,4.86557,196.578,True,0.00903695,0.618462,185.2,0.612549
9,1,17,1.5,17.8144,0.916667,59.3307,0.588735,0.613244,185.411,20.23,0.892291,50.5632,75.8447,4.25749,3.9027,609.177,False,0.00903695,0.618462,185.2,0.612549
9,2,18,1.5,10.476,0.916667,54.2934,0.613945,0.612432,185.165,20.23,0.651929,36.9426,55.414,5.28962,4.84882,237.588,True,0.00922026,0.613945,185.165,0.612432
9,2,19,1.5,10.6828,0.916667,50.2061,0.609446,0.612397,185.155,20.23,0.659924,37.3957,56.0935,5.25083,4.81326,246.437,True,0.0093811,0.609446,185.155,0.612397
9,2,20,1.5,10.4053,0.916667,59.2103,0.617952,0.612471,185.177,20.23,0.648954,36.774,55.1611,5.30124,4.85947,234.35,True,0.0093811,0.609446,185.155,0.612397
