channel,n,spearman_rho,spearman_p,n_batch1,rho_batch1,p_batch1
t180,10,-0.10303030303030303,0.7769984634438898,7,0.7500000000000002,0.0521814004570578
fn_flex_hz,8,-0.2380952380952381,0.5701563208157683,6,-0.14285714285714288,0.7871720116618076
zeta_flex_pct,8,-0.261904761904762,0.530922861565801,6,-0.3142857142857143,0.5440932944606415
e_rebound,10,0.49090909090909085,0.1496556734208368,7,0.10714285714285716,0.8191508555699912
