print_id,session,mass_g_with_label,pred_printed_mass_g,rh_pct_at_print,defects,any_defect,moisture_defect,window_start,window_end,window_quality,chamber_rh_recorded_pct,tpu_nozzle_mm,outdoor_temp_mean_C,outdoor_temp_max_C,outdoor_rh_mean_pct,tpu_roll_age_days,days_since_tpu_dried,t180_obs,t180_resid,t180_z,ereb_obs,ereb_resid,ereb_z,mass_offset_g
r2d2c3,r2d2c,18.63000,18.70000,11.00000,none,0,0,2026-08-21,2026-08-24,window,11.00000,0.60000,25.90729,34.60000,46.26042,40.00000,5.00000,1.33365,0.30817,3.68580,5.59153,-3.02165,-0.79345,-0.07000
r2d2c4,r2d2c,19.33000,19.30000,11.00000,spaghetti string on one top tendon; one TPU piece about 1/4 detached from the tendon,1,0,2026-08-21,2026-08-24,window,11.00000,0.60000,25.90729,34.60000,46.26042,40.00000,5.00000,1.18468,0.15142,1.53992,6.44300,-2.59280,-0.65652,0.03000
r2d2c5,r2d2c,23.47000,22.50000,11.00000,none,0,0,2026-08-21,2026-08-24,window,11.00000,0.60000,25.90729,34.60000,46.26042,40.00000,5.00000,1.15155,0.13134,1.33327,6.70613,-2.10839,-0.52022,0.97000
r2d2c6,r2d2c,19.11000,18.70000,11.00000,none,0,0,2026-08-21,2026-08-24,window,11.00000,0.60000,25.90729,34.60000,46.26042,40.00000,5.00000,1.05485,-0.00407,-0.04083,4.06643,-5.12495,-1.37321,0.41000
r2d2c7,r2d2c,18.51000,17.60000,11.00000,none,0,0,2026-08-21,2026-08-24,window,11.00000,0.60000,25.90729,34.60000,46.26042,40.00000,5.00000,0.94838,-0.09910,-0.94624,12.16638,3.57613,0.83835,0.91000
r2d2c8,r2d2c,19.98000,20.00000,11.00000,spaghetti string on two of the bottom tendons; spanning the entire tendon,1,0,2026-08-21,2026-08-24,window,11.00000,0.60000,25.90729,34.60000,46.26042,40.00000,5.00000,1.07043,0.01994,0.16559,7.89260,-0.94383,-0.23553,-0.02000
r2d2c9,r2d2c,17.91000,17.40000,11.00000,none,0,0,2026-08-21,2026-08-24,window,11.00000,0.60000,25.90729,34.60000,46.26042,40.00000,5.00000,1.05299,0.03947,0.30436,5.84132,-2.41347,-0.59051,0.51000
drran1,drran,19.31000,20.14000,11.00000,none,0,0,2026-09-01,2026-09-02,day,11.00000,0.60000,19.97083,25.90000,55.27083,50.00000,15.00000,1.03259,0.00322,0.03109,18.09234,9.26530,2.43941,-0.83000
drran2,drran,19.33000,19.93000,11.00000,none,0,0,2026-09-01,2026-09-02,day,11.00000,0.60000,19.97083,25.90000,55.27083,50.00000,15.00000,1.03454,-0.00941,-0.14676,11.75853,3.95697,1.04691,-0.60000
drran3,drran,19.92000,20.19000,11.00000,some tiny bubbles on the diagonal tendons,1,1,2026-09-01,2026-09-02,day,11.00000,0.60000,19.97083,25.90000,55.27083,50.00000,15.00000,1.03891,-0.01714,-0.13916,4.23195,-4.69968,-1.16729,-0.27000
drran4,drran,19.92000,20.50000,11.00000,none,0,0,2026-09-01,2026-09-02,day,11.00000,0.60000,19.97083,25.90000,55.27083,50.00000,15.00000,1.03436,-0.00896,-0.06952,9.09563,0.09532,0.02189,-0.58000
drran5,drran,19.88000,19.89000,11.00000,some tiny bubbles on the diagonal tendons,1,1,2026-09-01,2026-09-02,day,11.00000,0.60000,19.97083,25.90000,55.27083,50.00000,15.00000,1.03733,-0.00078,-0.00725,4.96849,-3.98308,-0.99084,-0.01000
drran6,drran,19.24000,19.98000,11.00000,some tiny bubbles on the diagonal tendons,1,1,2026-09-01,2026-09-02,day,11.00000,0.60000,19.97083,25.90000,55.27083,50.00000,15.00000,1.04708,0.00405,0.03560,4.76610,-4.14964,-0.97222,-0.74000
drran7,drran,20.06000,20.48000,11.00000,some tiny bubbles on the diagonal tendons,1,1,2026-09-01,2026-09-02,day,11.00000,0.60000,19.97083,25.90000,55.27083,50.00000,15.00000,1.25129,0.21470,2.04476,8.17106,-0.57445,-0.14792,-0.42000
drran8,drran,19.32000,19.93000,11.00000,none,0,0,2026-09-01,2026-09-02,day,11.00000,0.60000,19.97083,25.90000,55.27083,50.00000,15.00000,0.98044,-0.05456,-0.52411,11.22127,3.09679,0.72688,-0.61000
drran9,drran,19.34000,19.94000,11.00000,none,0,0,2026-09-01,2026-09-02,day,11.00000,0.60000,19.97083,25.90000,55.27083,50.00000,15.00000,1.04249,0.00797,0.16189,5.20130,-3.82901,-0.94074,-0.60000
2dran1,2dran,19.48000,20.14000,11.00000,none,0,0,2026-09-04,2026-09-05,day,11.00000,0.60000,23.03333,28.50000,32.02083,53.00000,18.00000,1.07913,0.04353,0.42377,7.34440,-1.48264,-0.39036,-0.66000
2dran2,2dran,19.65000,19.93000,11.00000,none,0,0,2026-09-04,2026-09-05,day,11.00000,0.60000,23.03333,28.50000,32.02083,53.00000,18.00000,1.08997,0.04412,0.70887,4.47640,-5.95386,-1.35765,-0.28000
2dran3,2dran,20.15000,20.19000,11.00000,none,0,0,2026-09-04,2026-09-05,day,11.00000,0.60000,23.03333,28.50000,32.02083,53.00000,18.00000,1.05332,-0.00071,-0.00577,9.42891,0.49728,0.12351,-0.04000
2dran4,2dran,20.19000,20.50000,11.00000,none,0,0,2026-09-04,2026-09-05,day,11.00000,0.60000,23.03333,28.50000,32.02083,53.00000,18.00000,1.04333,0.00104,0.00793,11.18831,2.18800,0.50251,-0.31000
2dran5,2dran,20.22000,19.89000,11.00000,none,0,0,2026-09-04,2026-09-05,day,11.00000,0.60000,23.03333,28.50000,32.02083,53.00000,18.00000,1.06043,0.02650,0.23928,4.97704,-3.97453,-0.98871,0.33000
2dran6,2dran,19.54000,19.98000,11.00000,none,0,0,2026-09-04,2026-09-05,day,11.00000,0.60000,23.03333,28.50000,32.02083,53.00000,18.00000,1.08590,0.04509,0.39917,7.73840,-1.17734,-0.27584,-0.44000
2dran7,2dran,20.32000,20.48000,11.00000,none,0,0,2026-09-04,2026-09-05,day,11.00000,0.60000,23.03333,28.50000,32.02083,53.00000,18.00000,1.02861,-0.00841,-0.07994,11.63227,2.88676,0.74334,-0.16000
2dran8,2dran,19.51000,19.93000,11.00000,none,0,0,2026-09-04,2026-09-05,day,11.00000,0.60000,23.03333,28.50000,32.02083,53.00000,18.00000,1.01085,-0.03590,-0.34064,9.90120,1.79293,0.42071,-0.42000
